accord,frequency,mean_strength,representative_notes,season_profile,dominant_season,dominant_season_by_share,season_eligible_perfume_count,day_share,night_share,daypart_eligible_perfume_count,daypart_tendency,representative_note_1,representative_note_2,representative_note_3,representative_note_4,representative_note_5,winter_share,winter_lift,spring_share,spring_lift,summer_share,summer_lift,autumn_share,autumn_lift
woody,81432,65.82835985853227,"[""Musk"", ""Sandalwood"", ""Patchouli"", ""Bergamot"", ""Amber""]","{""winter"": 0.21864752473550414, ""spring"": 0.2784235568854112, ""summer"": 0.2243747580069612, ""autumn"": 0.27855416037210706}",autumn,autumn,37480,0.6010168197923936,0.39898318020760337,29341,Neutral,Musk,Sandalwood,Patchouli,Bergamot,Amber,0.21864752473550414,1.0404047833890804,0.2784235568854112,0.9742553973477005,0.2243747580069612,0.9398349503245873,0.27855416037210706,1.0498623885846023
powdery,62885,48.34315019480003,"[""Musk"", ""Sandalwood"", ""Vanilla"", ""Amber"", ""Bergamot""]","{""winter"": 0.21895956910746753, ""spring"": 0.2838308770487645, ""summer"": 0.22545399896749344, ""autumn"": 0.27175555487625164}",winter,spring,28312,0.6177944073675836,0.38220559263241316,21977,Neutral,Musk,Sandalwood,Vanilla,Amber,Bergamot,0.21895956910746753,1.0418896044846455,0.2838308770487645,0.9931766083014925,0.22545399896749344,0.9443555496270214,0.27175555487625164,1.0242386456277985
sweet,60625,54.33283298969072,"[""Musk"", ""Vanilla"", ""Jasmine"", ""Amber"", ""Sandalwood""]","{""winter"": 0.22136511916918142, ""spring"": 0.2766405707750666, ""summer"": 0.23402766523434143, ""autumn"": 0.26796664482138743}",winter,spring,28279,0.6162688621088175,0.38373113789117935,22063,Neutral,Musk,Vanilla,Jasmine,Amber,Sandalwood,0.22136511916918142,1.0533360903020201,0.2766405707750666,0.968016399969637,0.23402766523434143,0.980267928013866,0.26796664482138743,1.0099583557372502
citrus,59969,67.28304624055762,"[""Bergamot"", ""Musk"", ""Jasmine"", ""Amber"", ""Sandalwood""]","{""winter"": 0.16019866011539244, ""spring"": 0.3171496691591755, ""summer"": 0.2938582203426821, ""autumn"": 0.22879345038272828}",summer,spring,26244,0.6803737449465675,0.319626255053429,20521,Day leaning,Bergamot,Musk,Jasmine,Amber,Sandalwood,0.16019866011539244,0.762283737161885,0.3171496691591755,1.109765209531214,0.2938582203426821,1.2308792146292493,0.22879345038272828,0.8623157449540514
aromatic,54606,56.06559718712229,"[""Bergamot"", ""Musk"", ""Amber"", ""Sandalwood"", ""Patchouli""]","{""winter"": 0.18901341077541678, ""spring"": 0.29485247611141957, ""summer"": 0.2583451640018851, ""autumn"": 0.2577889491112615}",summer,spring,24714,0.6329746135516481,0.3670253864483555,19216,Neutral,Bergamot,Musk,Amber,Sandalwood,Patchouli,0.18901341077541678,0.8993948453489926,0.29485247611141957,1.031743217012024,0.2583451640018851,1.08212624509561,0.2577889491112615,0.9715989217433503
fresh spicy,47271,51.15586723361046,"[""Bergamot"", ""Musk"", ""Amber"", ""Patchouli"", ""Sandalwood""]","{""winter"": 0.18731769183870656, ""spring"": 0.29638762841027255, ""summer"": 0.2621199511637916, ""autumn"": 0.25417472858721785}",summer,spring,21398,0.637023425748599,0.36297657425140006,16523,Neutral,Bergamot,Musk,Amber,Patchouli,Sandalwood,0.18731769183870656,0.8913259952891945,0.29638762841027255,1.037114998155973,0.2621199511637916,1.0979376355403685,0.25417472858721785,0.9579770315257525
floral,46586,56.22918902674623,"[""Musk"", ""Jasmine"", ""Rose"", ""Bergamot"", ""Amber""]","{""winter"": 0.17345172817065915, ""spring"": 0.32149063161293673, ""summer"": 0.272376835059355, ""autumn"": 0.23268080515703518}",summer,spring,20332,0.6802252662364576,0.31977473376354076,15740,Day leaning,Musk,Jasmine,Rose,Bergamot,Amber,0.17345172817065915,0.8253466756331089,0.32149063161293673,1.1249550381059608,0.272376835059355,1.140900480613043,0.23268080515703518,0.8769670700793978
amber,45478,61.021548880777516,"[""Amber"", ""Musk"", ""Vanilla"", ""Patchouli"", ""Bergamot""]","{""winter"": 0.2645594786204693, ""spring"": 0.24628877194666524, ""summer"": 0.17882767148850287, ""autumn"": 0.31032407794435074}",winter,autumn,19876,0.5349298696856146,0.4650701303143853,15316,Neutral,Amber,Musk,Vanilla,Patchouli,Bergamot,0.2645594786204693,1.2588706292496268,0.24628877194666524,0.8618098556722673,0.17882767148850287,0.7490525995123053,0.31032407794435074,1.1696022679063673
warm spicy,45319,57.098281074163154,"[""Patchouli"", ""Sandalwood"", ""Amber"", ""Musk"", ""Vanilla""]","{""winter"": 0.28021377302038486, ""spring"": 0.23449226196841674, ""summer"": 0.16074995865189903, ""autumn"": 0.3245440063592849}",winter,autumn,20587,0.5202999957349229,0.4797000042650776,16074,Night leaning,Patchouli,Sandalwood,Amber,Musk,Vanilla,0.28021377302038486,1.3333594797131982,0.23449226196841674,0.8205316906896089,0.16074995865189903,0.673330773685335,0.3245440063592849,1.2231967573631464
fruity,43222,64.46904354264032,"[""Musk"", ""Vanilla"", ""Jasmine"", ""Amber"", ""Sandalwood""]","{""winter"": 0.18307217298352654, ""spring"": 0.305618378832726, ""summer"": 0.27183870433462, ""autumn"": 0.2394707438491144}",summer,spring,20473,0.6612919649613347,0.3387080350386684,16047,Neutral,Musk,Vanilla,Jasmine,Amber,Sandalwood,0.18307217298352654,0.8711242659065221,0.305618378832726,1.0694150970457594,0.27183870433462,1.1386464210769263,0.2394707438491144,0.9025581481092024
