accord,related_accord,accord_frequency,related_accord_frequency,cooccurrence_count,union_count,jaccard_similarity,lift,jaccard_rank,is_top10
Champagne,aldehydic,311,3556,212,3655,0.058002735978112174,25.29049222544931,1,True
Champagne,fruity,311,43222,204,43329,0.004708163124004708,2.002204724550035,2,True
Champagne,sweet,311,60625,207,60729,0.0034085856839401276,1.4484441939868067,3,True
Champagne,citrus,311,59969,190,60090,0.003161923780995174,1.3440331094967126,4,True
Champagne,floral,311,46586,129,46768,0.0027582962709544988,1.1746742842439313,5,True
Champagne,powdery,311,62885,113,63083,0.0017912908390533106,0.7622800462335294,6,True
Champagne,woody,311,81432,131,81612,0.0016051561044944371,0.6824319756740203,7,True
alcohol,sweet,154,60625,116,60663,0.001912203484826006,1.6391891819520685,1,True
aldehydic,soapy,3556,1720,356,4920,0.07235772357723577,7.678976901143171,1,True
aldehydic,fresh,3556,33478,2137,34897,0.06123735564661719,2.3682460808505037,2,True
aldehydic,Champagne,3556,311,212,3655,0.058002735978112174,25.29049222544931,3,True
aldehydic,bitter,3556,1034,193,4397,0.043893563793495564,6.924980907850736,4,True
aldehydic,citrus,3556,59969,2135,61390,0.03477765108323831,1.3208481206103468,5,True
aldehydic,terpenic,3556,557,135,3978,0.033936651583710405,8.992084584579532,6,True
aldehydic,mineral,3556,770,138,4188,0.0329512893982808,6.64921186799702,7,True
aldehydic,green,3556,29755,941,32370,0.029070126660488107,1.1733065063220651,8,True
aldehydic,floral,3556,46586,1353,48789,0.027731660825186005,1.077517133062613,9,True
aldehydic,fresh spicy,3556,47271,1328,49499,0.026828824824743934,1.0422816586906138,10,True
aldehydic,yellow floral,3556,6986,267,10275,0.025985401459854014,1.4179616665437575,11,False
aldehydic,white floral,3556,39497,1036,42017,0.024656686579241735,0.9731447758715454,12,False
aldehydic,aromatic,3556,54606,1387,56775,0.0244297666226332,0.9423623064862195,13,False
aldehydic,musky,3556,41154,1024,43686,0.023440003662500573,0.9231445573604218,14,False
aldehydic,sweet,3556,60625,1402,62779,0.022332308574523327,0.8579817935129243,15,False
aldehydic,fruity,3556,43222,1005,45773,0.021956175037685974,0.8626666579569137,16,False
aldehydic,powdery,3556,62885,1351,65090,0.02075587647872177,0.7970583097880833,17,False
aldehydic,rose,3556,25617,582,28591,0.020356056101570423,0.8429009173946944,18,False
aldehydic,mossy,3556,6173,187,9542,0.01959756864389017,1.1238986245300255,19,False
aldehydic,woody,3556,81432,1574,83414,0.018869734097393724,0.7171193427302578,20,False
aldehydic,animalic,3556,18242,366,21432,0.01707726763717805,0.7443727123737863,21,False
aldehydic,iris,3556,7451,184,10823,0.017000831562413377,0.9161889926824507,22,False
aldehydic,ozonic,3556,5777,150,9183,0.01633453119895459,0.9633202765008364,23,False
