accord,note,accord_frequency,note_frequency,cooccurrence_count,p_note_given_accord,lift,representative_rank
Champagne,Champagne,311,410,311,1.0,321.780487804878,1
Champagne,Musk,311,49244,113,0.3633440514469453,0.9734379966573694,2
Champagne,Rose,311,27804,72,0.2315112540192926,1.0985210668524412,3
Champagne,Amber,311,36671,69,0.22186495176848875,0.7981959337573756,4
Champagne,Vanilla,311,35628,67,0.21543408360128619,0.7977494849421153,5
Champagne,Jasmine,311,33686,57,0.1832797427652733,0.7178084801704716,6
Champagne,Sandalwood,311,34292,48,0.15434083601286175,0.5937882449310874,7
Champagne,Patchouli,311,32473,37,0.1189710610932476,0.483350848090172,8
Champagne,White Musk,311,8339,30,0.09646302250803858,1.5261262213077744,9
Champagne,Bergamot,311,36337,29,0.0932475884244373,0.33855723754949535,10
Pear,Ambroxan,4,3051,2,0.5,21.620780072107507,1
Pear,Vetiver,4,17674,2,0.5,3.7323186601787937,2
Pear,Jasmine,4,33686,2,0.5,1.958231906429971,3
Pear,Borneol,4,18,1,0.25,1832.361111111111,4
Pear,Mugane,4,26,1,0.25,1268.5576923076924,5
Pear,Javanol,4,34,1,0.25,970.0735294117648,6
Pear,Orcanox™,4,106,1,0.25,311.1556603773585,7
Pear,Shiso,4,135,1,0.25,244.3148148148148,8
Pear,Acácia,4,180,1,0.25,183.23611111111111,9
Pear,Laurels,4,195,1,0.25,169.14102564102564,10
alcohol,Liquor,154,251,137,0.8896103896103896,467.5948155430227,1
alcohol,Vanilla,154,35628,52,0.33766233766233766,1.2503590492812453,2
alcohol,Amber,154,36671,37,0.24025974025974026,0.8643742339305591,3
alcohol,Patchouli,154,32473,31,0.2012987012987013,0.8178282777180322,4
alcohol,Musk,154,49244,29,0.18831168831168832,0.5045073722476046,5
alcohol,Sandalwood,154,34292,28,0.18181818181818182,0.6995005461120006,6
alcohol,Tonka Bean,154,14188,26,0.16883116883116883,1.5699109179515156,7
alcohol,Leather,154,10626,22,0.14285714285714285,1.7736818047377054,8
alcohol,Rose,154,27804,22,0.14285714285714285,0.6778572456172801,9
alcohol,Cedar,154,22305,19,0.12337662337662338,0.7297501870467573,10
aldehydic,Aldehydes,3556,3019,1892,0.532058492688414,23.250903259484083,1
aldehydic,Musk,3556,49244,1326,0.3728908886389201,0.9990150056480532,2
aldehydic,Jasmine,3556,33686,977,0.2747469066366704,1.0760363175377288,3
aldehydic,Rose,3556,27804,856,0.2407199100112486,1.1422161461582516,4
aldehydic,Bergamot,3556,36337,842,0.23678290213723285,0.8596958548852445,5
aldehydic,Amber,3556,36671,842,0.23678290213723285,0.8518657325670184,6
aldehydic,Sandalwood,3556,34292,823,0.2314398200224972,0.8904075427378996,7
aldehydic,Vanilla,3556,35628,604,0.16985376827896512,0.628966196503982,8
aldehydic,Lemon,3556,14685,562,0.1580427446569179,1.4198555875101926,9
aldehydic,Patchouli,3556,32473,549,0.15438695163104613,0.6272371055548891,10
almond,Almond,3438,2713,1867,0.5430482838859803,26.407799518274004,1
almond,Vanilla,3438,35628,1656,0.4816753926701571,1.783637435583637,2
almond,Musk,3438,49244,1114,0.3240255962769052,0.8680996043540756,3
almond,Sandalwood,3438,34292,935,0.2719604421175102,1.0463006278013274,4
almond,Heliotrope,3438,4180,883,0.2568353694008144,8.106289541877858,5
almond,Tonka Bean,3438,14188,875,0.2545084351367074,2.3665983822657037,6
almond,Jasmine,3438,33686,844,0.2454915648632926,0.9614588301494447,7
almond,Amber,3438,36671,652,0.18964514252472367,0.6822798302006161,8
almond,Bergamot,3438,36337,636,0.1849912739965096,0.6716542031086636,9
almond,Rose,3438,27804,583,0.16957533449680046,0.8046350841664108,10
amber,Amber,45478,36671,24418,0.5369189498218919,1.9316549057839218,1
amber,Musk,45478,49244,16470,0.3621531289854435,0.9702473866267883,2
amber,Vanilla,45478,35628,13616,0.29939751088438366,1.1086649155433013,3
amber,Patchouli,45478,32473,13095,0.28794142222613134,1.169836843971715,4
amber,Bergamot,45478,36337,13062,0.28721579664892916,1.0428043055809015,5
amber,Sandalwood,45478,34292,12249,0.2693390210651304,1.036215357783817,6
amber,Jasmine,45478,33686,11252,0.2474163331720832,0.9689971155789627,7
amber,Rose,45478,27804,9661,0.21243238488939706,1.0079918191072563,8
amber,Cedar,45478,22305,8208,0.18048287083864725,1.0675232077894075,9
amber,Tonka Bean,45478,14188,7895,0.17360042218215402,1.6142587890112474,10
animalic,Musk,18242,49244,7431,0.40735664949018746,1.0913525052237925,1
animalic,Amber,18242,36671,6327,0.34683696963052296,1.2478034796802622,2
animalic,Jasmine,18242,33686,4793,0.2627453130139239,1.0290325104175913,3
animalic,Leather,18242,10626,4686,0.25687972809998905,3.1893602981584372,4
animalic,Vanilla,18242,35628,3529,0.19345466505865586,0.7163599966652202,5
animalic,Sandalwood,18242,34292,3225,0.1767898256770091,0.6801551878446229,6
animalic,Bergamot,18242,36337,3158,0.1731169827869751,0.6285418041964286,7
animalic,Rose,18242,27804,3090,0.1693893213463436,0.8037524516336898,8
animalic,Patchouli,18242,32473,3069,0.16823813178379562,0.6835111238948098,9
animalic,Ambergris,18242,6452,2657,0.1456528889376165,2.9782990758741077,10
anis,Anise,1418,1341,627,0.4421720733427362,43.50168652953557,1
anis,Star Anise,1418,983,588,0.4146685472496474,55.653328014899266,2
anis,Musk,1418,49244,442,0.31170662905500707,0.8350957593052368,3
anis,Bergamot,1418,36337,412,0.29055007052186177,1.054910168807255,4
anis,Vanilla,1418,35628,402,0.2834978843441467,1.0497888144583831,5
anis,Patchouli,1418,32473,358,0.2524682651622003,1.0257179263649518,6
anis,Amber,1418,36671,331,0.23342736248236953,0.8397936225436724,7
anis,Sandalwood,1418,34292,326,0.229901269393512,0.8844883492093211,8
anis,Jasmine,1418,33686,276,0.19464033850493653,0.7623018422773935,9
anis,Cedar,1418,22305,255,0.17983074753173484,1.063666017568338,10
aquatic,Musk,8872,49244,3398,0.38300270513976553,1.0261056552897667,1
aquatic,Amber,8872,36671,1910,0.21528403967538323,0.774520011845145,2
aquatic,Sandalwood,8872,34292,1868,0.21055004508566275,0.8100392933673011,3
aquatic,Jasmine,8872,33686,1818,0.20491433724075744,0.8025395865396049,4
aquatic,Bergamot,8872,36337,1771,0.19961677186654644,0.7247555029956648,5
aquatic,Pear,8872,6133,1597,0.18000450856627592,3.872166120193834,6
aquatic,Cedar,8872,22305,1409,0.15881424706943192,0.9393572569320848,7
aquatic,Rose,8872,27804,1388,0.1564472497745717,0.7423423127161287,8
aquatic,Patchouli,8872,32473,1258,0.14179440937781784,0.5760766307152253,9
aquatic,Vanilla,8872,35628,1226,0.13818755635707844,0.511706643937054,10
aromatic,Bergamot,54606,36337,20820,0.38127678277112403,1.3843147742244652,1
aromatic,Musk,54606,49244,18620,0.3409881697981907,0.9135441727210482,2
aromatic,Amber,54606,36671,15062,0.27583049481741934,0.9923459186076773,3
aromatic,Sandalwood,54606,34292,14886,0.27260740577958464,1.048789660693474,4
aromatic,Patchouli,54606,32473,14824,0.2714719994139838,1.1029255345267417,5
aromatic,Vetiver,54606,17674,14073,0.2577189319854961,1.923778357861633,6
aromatic,Cedar,54606,22305,12931,0.23680547925136433,1.400661146721923,7
aromatic,Jasmine,54606,33686,11800,0.21609346958209721,0.8463222538136342,8
aromatic,Lavender,54606,12996,11163,0.20442808482584332,2.075269100575062,9
aromatic,Vanilla,54606,35628,10447,0.19131597260374317,0.7084404475584326,10
asphault,Asphalt,29,41,29,1.0,3217.8048780487807,1
asphault,Leather,29,10626,8,0.27586206896551724,3.4250407263900517,2
asphault,Woody Notes,29,8278,6,0.20689655172413793,3.2973981721388643,3
asphault,Lavender,29,12996,6,0.20689655172413793,2.100327952367307,4
asphault,Patchouli,29,32473,6,0.20689655172413793,0.8405709995678107,5
asphault,Musk,29,49244,6,0.20689655172413793,0.5542982306263813,6
asphault,Cedar,29,22305,5,0.1724137931034483,1.0197960871615301,7
asphault,Rose,29,27804,4,0.13793103448275862,0.6544828578373739,8
asphault,Amber,29,36671,4,0.13793103448275862,0.49622975591912805,9
asphault,Rain Notes,29,159,3,0.10344827586206896,85.83604424202993,10
bacon,Guaiac Wood,7,3983,3,0.42857142857142855,14.195688820343603,1
bacon,Maple,7,147,2,0.2857142857142857,256.4237123420797,2
bacon,Pepper,7,4316,2,0.2857142857142857,8.733615781808552,3
bacon,Nutmeg,7,6277,2,0.2857142857142857,6.00514349438995,4
bacon,Grapefruit,7,9759,2,0.2857142857142857,3.8625151874460206,5
bacon,Bergamot,7,36337,2,0.2857142857142857,1.0373527180087987,6
bacon,Bourbon Whiskey,7,74,1,0.14285714285714285,254.6911196911197,7
bacon,Maple syrup,7,99,1,0.14285714285714285,190.37518037518038,8
bacon,Syrup,7,133,1,0.14285714285714285,141.70784103114931,9
bacon,Pumpkin,7,145,1,0.14285714285714285,129.98029556650246,10
balsamic,Vanilla,18162,35628,6588,0.36273538156590684,1.3432041902433505,1
balsamic,Patchouli,18162,32473,6468,0.35612817971589034,1.4468632633239125,2
balsamic,Sandalwood,18162,34292,5861,0.3227067503578901,1.2415345146015526,3
balsamic,Musk,18162,49244,4363,0.24022684726351723,0.6435936958710874,4
balsamic,Amber,18162,36671,4227,0.23273868516683185,0.8373159917662493,5
balsamic,Incense,18162,7023,3895,0.21445876004845282,4.028697737888706,6
balsamic,Bergamot,18162,36337,3405,0.1874793524942187,0.6806877555814259,7
balsamic,Jasmine,18162,33686,2928,0.16121572514040303,0.6313955535763632,8
balsamic,Rose,18162,27804,2902,0.15978416473956614,0.7581759766253402,9
balsamic,Cedar,18162,22305,2743,0.15102962228829425,0.8933126235595005,10
bbq,Ember,3,16,1,0.3333333333333333,2748.5416666666665,1
bbq,Pecan,3,33,1,0.3333333333333333,1332.6262626262626,2
bbq,Smoke,3,1224,1,0.3333333333333333,35.92864923747277,3
bbq,Spices,3,2884,1,0.3333333333333333,15.248497457235322,4
bbq,Cedarwood,3,4766,1,0.3333333333333333,9.227164638410967,5
bbq,Incense,3,7023,1,0.3333333333333333,6.261806445488633,6
bbq,Amber,3,36671,1,0.3333333333333333,1.1992219101378927,7
beeswax,Beeswax,349,663,349,1.0,198.9894419306184,1
beeswax,Musk,349,49244,82,0.2349570200573066,0.6294752590398923,2
beeswax,Honey,349,3974,81,0.23209169054441262,7.705046988808343,3
beeswax,Vanilla,349,35628,79,0.22636103151862463,0.8382118246393889,4
beeswax,Jasmine,349,33686,74,0.21203438395415472,0.8304249918384977,5
beeswax,Patchouli,349,32473,65,0.18624641833810887,0.7566744671372126,6
beeswax,Sandalwood,349,34292,64,0.1833810888252149,0.7055134447891812,7
beeswax,Bergamot,349,36337,61,0.17478510028653296,0.6345982959738639,8
beeswax,Amber,349,36671,59,0.16905444126074498,0.6082013698980144,9
beeswax,Rose,349,27804,56,0.16045845272206305,0.7613754735873175,10
bitter,Grapefruit,1034,9759,311,0.30077369439071566,4.066100368989355,1
bitter,Musk,1034,49244,145,0.1402321083172147,0.3756969793333225,2
bitter,Bergamot,1034,36337,127,0.12282398452611218,0.4459412796469158,3
bitter,Fig,1034,1810,120,0.11605415860735009,8.459129914402043,4
bitter,Amber,1034,36671,120,0.11605415860735009,0.41752406929365704,5
bitter,Vetiver,1034,17674,119,0.11508704061895551,0.8590830184937649,6
bitter,Cedar,1034,22305,111,0.10735009671179883,0.634956209782005,7
bitter,Sandalwood,1034,34292,108,0.10444874274661509,0.4018407392558302,8
bitter,Patchouli,1034,32473,103,0.09961315280464217,0.40470431587831246,9
bitter,Artemisia,1034,1759,92,0.08897485493230174,6.673367033097538,10
brown scotch tape,Industrial glue,1,14,1,1.0,9423.57142857143,1
brown scotch tape,Hawthorn,1,364,1,1.0,362.44505494505495,2
brown scotch tape,Lilac,1,1417,1,1.0,93.10515172900494,3
brown scotch tape,Styrax,1,1435,1,1.0,91.93728222996516,4
brown scotch tape,Aldehydes,1,3019,1,1.0,43.69990062934747,5
brown scotch tape,Saffron,1,8393,1,1.0,15.719051590611224,6
brown scotch tape,Leather,1,10626,1,1.0,12.415772633163938,7
brown scotch tape,Musk,1,49244,1,1.0,2.6791081146941758,8
cacao,Cacao,2035,1305,952,0.4678132678132678,47.29394974912216,1
cacao,Vanilla,2035,35628,928,0.456019656019656,1.68863459129542,2
cacao,Tonka Bean,2035,14188,480,0.23587223587223588,2.193305897844945,3
cacao,Patchouli,2035,32473,451,0.22162162162162163,0.9003954220595738,4
cacao,Amber,2035,36671,427,0.20982800982800984,0.7548910402391354,5
cacao,Musk,2035,49244,416,0.20442260442260443,0.5476702583355171,6
cacao,Cocoa,2035,576,414,0.20343980343980345,46.59689803439804,7
cacao,Sandalwood,2035,34292,391,0.19213759213759213,0.739201928458898,8
cacao,Chocolate,2035,1099,320,0.15724815724815724,18.876933017060406,9
cacao,Bergamot,2035,36337,310,0.15233415233415235,0.5530848643928975,10
camphor,Eucalyptus,793,923,432,0.544766708701135,77.86681677024998,1
camphor,Musk,793,49244,199,0.2509457755359395,0.6723108635865587,2
camphor,Bergamot,793,36337,184,0.23203026481715006,0.8424402905393018,3
camphor,Patchouli,793,32473,178,0.2244640605296343,0.911943568677814,4
camphor,Cedar,793,22305,170,0.21437578814627994,1.2679936216157235,5
camphor,Sandalwood,793,34292,153,0.19293820933165196,0.7422821053634913,6
camphor,Amber,793,36671,148,0.18663303909205547,0.6714432889044444,7
camphor,Bay Leaf,793,678,143,0.18032786885245902,35.089462739977755,8
camphor,Lavender,793,12996,137,0.17276166456494324,1.7538047403857313,9
camphor,Camphor,793,182,123,0.15510718789407313,112.4356664772806,10
cannabis,cannabis,388,508,387,0.9974226804123711,259.03538233622857,1
cannabis,Patchouli,388,32473,112,0.28865979381443296,1.1727554152045745,2
cannabis,Musk,388,49244,93,0.23969072164948454,0.642157357388037,3
cannabis,Tobacco,388,5072,91,0.2345360824742268,6.1006201421184425,4
cannabis,Vetiver,388,17674,90,0.23195876288659795,1.7314880382272755,5
cannabis,Incense,388,7023,81,0.20876288659793815,3.9216983666333447,6
cannabis,Amber,388,36671,69,0.17783505154639176,0.6397910706148037,7
cannabis,Cedar,388,22305,59,0.15206185567010308,0.8994180954295764,8
cannabis,Woody Notes,388,8278,56,0.14432989690721648,2.3002468348597573,9
cannabis,Leather,388,10626,53,0.13659793814432988,1.6959689421589914,10
caramel,Caramel,4008,4734,3484,0.8692614770459082,24.22510913955781,1
caramel,Vanilla,4008,35628,2268,0.5658682634730539,2.095402492421691,2
caramel,Musk,4008,49244,1457,0.36352295409181634,0.9739172961849836,3
caramel,Amber,4008,36671,1059,0.26422155688622756,0.9505808404461291,4
caramel,Jasmine,4008,33686,1023,0.25523952095808383,0.9996363474440421,5
caramel,Sandalwood,4008,34292,843,0.21032934131736528,0.8091901901318092,6
caramel,Patchouli,4008,32473,826,0.2060878243512974,0.8372853344830063,7
caramel,Bergamot,4008,36337,729,0.18188622754491018,0.6603806037922778,8
caramel,Tonka Bean,4008,14188,653,0.1629241516966068,1.5149833192369138,9
caramel,Rose,4008,27804,620,0.15469061876247506,0.7340070973001487,10
cherry,Cherry,1803,1599,1282,0.7110371602884082,58.66612417564083,1
cherry,Vanilla,1803,35628,746,0.4137548530227399,1.5321285999576195,2
cherry,Musk,1803,49244,629,0.3488630061009429,0.9346417105616398,3
cherry,Sandalwood,1803,34292,458,0.2540210759844703,0.9772833475630226,4
cherry,Jasmine,1803,33686,426,0.23627287853577372,0.9253541787456102,5
cherry,Amber,1803,36671,421,0.23349972268441485,0.8400539503628167,6
cherry,Patchouli,1803,32473,415,0.23017193566278424,0.9351332944905345,7
cherry,Rose,1803,27804,405,0.22462562396006655,1.0658487472684355,8
