accord,accord_frequency,eligible_perfume_count,mean_winter_share,corpus_winter_share,winter_lift,mean_spring_share,corpus_spring_share,spring_lift,mean_summer_share,corpus_summer_share,summer_lift,mean_autumn_share,corpus_autumn_share,autumn_lift,dominant_season_by_share,strongest_season_by_lift,second_season_by_lift,weakest_season_by_lift
woody,81432,37480,0.21864752473550414,0.21015620864724194,1.0404047833890804,0.2784235568854112,0.2857808718775258,0.9742553973477005,0.2243747580069612,0.23873846990843414,0.9398349503245873,0.27855416037210706,0.265324449566811,1.0498623885846023,autumn,autumn,winter,summer
powdery,62885,28312,0.21895956910746753,0.21015620864724194,1.0418896044846455,0.2838308770487645,0.2857808718775258,0.9931766083014925,0.22545399896749344,0.23873846990843414,0.9443555496270214,0.27175555487625164,0.265324449566811,1.0242386456277985,spring,winter,autumn,summer
sweet,60625,28279,0.22136511916918142,0.21015620864724194,1.0533360903020201,0.2766405707750666,0.2857808718775258,0.968016399969637,0.23402766523434143,0.23873846990843414,0.980267928013866,0.26796664482138743,0.265324449566811,1.0099583557372502,spring,winter,autumn,spring
citrus,59969,26244,0.16019866011539244,0.21015620864724194,0.762283737161885,0.3171496691591755,0.2857808718775258,1.109765209531214,0.2938582203426821,0.23873846990843414,1.2308792146292493,0.22879345038272828,0.265324449566811,0.8623157449540514,spring,summer,spring,winter
aromatic,54606,24714,0.18901341077541678,0.21015620864724194,0.8993948453489926,0.29485247611141957,0.2857808718775258,1.031743217012024,0.2583451640018851,0.23873846990843414,1.08212624509561,0.2577889491112615,0.265324449566811,0.9715989217433503,spring,summer,spring,winter
fresh spicy,47271,21398,0.18731769183870656,0.21015620864724194,0.8913259952891945,0.29638762841027255,0.2857808718775258,1.037114998155973,0.2621199511637916,0.23873846990843414,1.0979376355403685,0.25417472858721785,0.265324449566811,0.9579770315257525,spring,summer,spring,winter
floral,46586,20332,0.17345172817065915,0.21015620864724194,0.8253466756331089,0.32149063161293673,0.2857808718775258,1.1249550381059608,0.272376835059355,0.23873846990843414,1.140900480613043,0.23268080515703518,0.265324449566811,0.8769670700793978,spring,summer,spring,winter
amber,45478,19876,0.2645594786204693,0.21015620864724194,1.2588706292496268,0.24628877194666524,0.2857808718775258,0.8618098556722673,0.17882767148850287,0.23873846990843414,0.7490525995123053,0.31032407794435074,0.265324449566811,1.1696022679063673,autumn,winter,autumn,summer
warm spicy,45319,20587,0.28021377302038486,0.21015620864724194,1.3333594797131982,0.23449226196841674,0.2857808718775258,0.8205316906896089,0.16074995865189903,0.23873846990843414,0.673330773685335,0.3245440063592849,0.265324449566811,1.2231967573631464,autumn,winter,autumn,summer
fruity,43222,20473,0.18307217298352654,0.21015620864724194,0.8711242659065221,0.305618378832726,0.2857808718775258,1.0694150970457594,0.27183870433462,0.23873846990843414,1.1386464210769263,0.2394707438491144,0.265324449566811,0.9025581481092024,spring,summer,spring,winter
musky,41154,18127,0.19195417822992994,0.21015620864724194,0.913388091008698,0.3028038487037306,0.2857808718775258,1.0595665368167124,0.25623706761476595,0.23873846990843414,1.0732960955686917,0.2490049054515681,0.265324449566811,0.9384921210921667,spring,summer,spring,winter
