expression,possible_related_features,evidence_status
포근한,ACCORD / NOTE (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
촉촉한,ACCORD / NOTE (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
차가운,ACCORD / NOTE (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
깨끗한,ACCORD / NOTE (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
고급스러운,ACCORD / NOTE (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
섹시한,ACCORD / NOTE (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
도시적인,ACCORD / NOTE (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
자연스러운,ACCORD / NOTE (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
비 오는 숲,ACCORD / NOTE / CONTEXT (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
휴양지,ACCORD / NOTE / CONTEXT (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
호텔,ACCORD / NOTE / CONTEXT (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
빨래,ACCORD / NOTE (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
이불,ACCORD / NOTE / CONTEXT (외부 라벨 후 검증),EXTERNAL_MAPPING_REQUIRED
