note,accord,note_frequency,accord_frequency,cooccurrence_count,p_accord_given_note,lift,p_rank,lift_rank,selected_by
Absinthe,aromatic,236,54606,215,0.9110169491525424,2.201048714458025,1.0,,P_TOP5
Absinthe,woody,236,81432,164,0.6949152542372882,1.1258494141311208,2.0,,P_TOP5
Absinthe,fresh spicy,236,47271,115,0.4872881355932203,1.3599865399253994,3.0,,P_TOP5
Absinthe,amber,236,45478,95,0.4025423728813559,1.1677605711385128,4.0,,P_TOP5
Absinthe,warm spicy,236,45319,94,0.3983050847457627,1.1595222716853522,5.0,,P_TOP5
Absinthe,bitter,236,1034,84,0.3559322033898305,45.41405763367538,,1.0,LIFT_TOP5
Absinthe,anis,236,1418,20,0.0847457627118644,7.884702732423323,,2.0,LIFT_TOP5
Absinthe,herbal,236,8607,39,0.1652542372881356,2.533053505916548,,3.0,LIFT_TOP5
Absinthe,lavender,236,8336,37,0.15677966101694915,2.481278872116855,,4.0,LIFT_TOP5
Absinthe,smoky,236,7407,32,0.13559322033898305,2.4151226622548987,,5.0,LIFT_TOP5
Acai Berry,fruity,56,43222,51,0.9107142857142857,2.7798467381029504,1.0,2.0,P_AND_LIFT_TOP5
Acai Berry,sweet,56,60625,34,0.6071428571428571,1.3212430044182621,2.0,4.0,P_AND_LIFT_TOP5
Acai Berry,green,56,29755,27,0.48214285714285715,2.1377619607749,3.0,3.0,P_AND_LIFT_TOP5
Acai Berry,woody,56,81432,26,0.4642857142857143,0.7522007845283707,4.0,,P_TOP5
Acai Berry,citrus,56,59969,25,0.44642857142857145,0.9821294573624945,5.0,,P_TOP5
Acai Berry,tropical,56,6512,21,0.375,7.5973203316953315,,1.0,LIFT_TOP5
Acai Berry,floral,56,46586,24,0.42857142857142855,1.2137000079729656,,5.0,LIFT_TOP5
Acácia,floral,180,46586,154,0.8555555555555555,2.422904830731216,1.0,3.0,P_AND_LIFT_TOP5
Acácia,powdery,180,62885,100,0.5555555555555556,1.1655314374563799,2.0,5.0,P_AND_LIFT_TOP5
Acácia,woody,180,81432,95,0.5277777777777778,0.8550658490792591,3.0,,P_TOP5
Acácia,sweet,180,60625,93,0.5166666666666667,1.1243518900343643,4.0,,P_TOP5
Acácia,citrus,180,59969,66,0.36666666666666664,0.8066556609803954,5.0,,P_TOP5
Acácia,honey,180,3467,43,0.2388888888888889,9.090456045893022,,1.0,LIFT_TOP5
Acácia,yellow floral,180,6986,31,0.17222222222222222,3.2524016286541335,,2.0,LIFT_TOP5
Acácia,green,180,29755,52,0.28888888888888886,1.2808977016001046,,4.0,LIFT_TOP5
African Geranium,fresh spicy,66,47271,60,0.9090909090909091,2.537208090295607,1.0,2.0,P_AND_LIFT_TOP5
African Geranium,aromatic,66,54606,56,0.8484848484848485,2.04996897887789,2.0,3.0,P_AND_LIFT_TOP5
African Geranium,woody,66,81432,50,0.7575757575757576,1.22736724748219,3.0,5.0,P_AND_LIFT_TOP5
African Geranium,warm spicy,66,45319,34,0.5151515151515151,1.4996787085756391,4.0,4.0,P_AND_LIFT_TOP5
African Geranium,citrus,66,59969,32,0.48484848484848486,1.0666521136930849,5.0,,P_TOP5
African Geranium,herbal,66,8607,21,0.3181818181818182,4.877161295774052,,1.0,LIFT_TOP5
African Orange Flower,white floral,883,39497,758,0.8584371460928653,2.867397845001689,1.0,2.0,P_AND_LIFT_TOP5
African Orange Flower,citrus,883,59969,650,0.7361268403171007,1.619456953476548,2.0,,P_TOP5
African Orange Flower,sweet,883,60625,569,0.6443941109852774,1.402307877316085,3.0,,P_TOP5
African Orange Flower,woody,883,81432,527,0.5968289920724802,0.9669374315271921,4.0,,P_TOP5
African Orange Flower,powdery,883,62885,431,0.4881087202718007,1.0240309050720946,5.0,,P_TOP5
African Orange Flower,soapy,883,1720,85,0.09626274065685164,7.383688008638626,,1.0,LIFT_TOP5
African Orange Flower,yellow floral,883,6986,116,0.13137032842582105,2.480917181394013,,3.0,LIFT_TOP5
African Orange Flower,tuberose,883,3931,65,0.07361268403171008,2.4705472918604707,,4.0,LIFT_TOP5
African Orange Flower,honey,883,3467,42,0.04756511891279728,1.8099988861163385,,5.0,LIFT_TOP5
Agarwood,oud,1249,8298,852,0.6821457165732586,10.84544280399012,1.0,1.0,P_AND_LIFT_TOP5
Agarwood,woody,1249,81432,846,0.677341873498799,1.097378344762459,2.0,,P_TOP5
Agarwood,warm spicy,1249,45319,761,0.6092874299439551,1.773721631821223,3.0,,P_TOP5
Agarwood,amber,1249,45478,724,0.5796637309847879,1.6815830957566968,4.0,,P_TOP5
