note,perfume_count,perfume_share,idf,main_analysis_eligible
Musk,49244,0.37325854619874177,1.9854712190224477,True
Amber,36671,0.2779580080345638,2.280265537551839,True
Bergamot,36337,0.2754263624649435,2.2894150329638645,True
Vanilla,35628,0.2700523004623664,2.3091191456565507,True
Sandalwood,34292,0.2599257181838854,2.3473378069323623,True
Jasmine,33686,0.2553323732282271,2.365167052385602,True
Patchouli,32473,0.24613810353975593,2.4018392894791907,True
Rose,27804,0.21074812400515425,2.5570631980045864,True
Cedar,22305,0.1690669294322747,2.7774233580717684,True
Vetiver,17674,0.13396498142954597,3.010127846861477,True
Lemon,14685,0.11130902751459107,3.1953843996146944,True
Tonka Bean,14188,0.1075418782687789,3.229812042118937,True
Lavender,12996,0.09850678390055333,3.317560497044662,True
Mandarin Orange,11646,0.08827408474190859,3.4272304225235986,True
Orange Blossom,11479,0.08700826195709846,3.441672667752693,True
Leather,10626,0.0805427120442659,3.518881126253555,True
Cardamom,10562,0.0800576063063746,3.524921729803088,True
Pink Pepper,10387,0.07873114530432805,3.5416277648436116,True
Violet,9921,0.07519896915030698,3.587524544765256,True
Grapefruit,9759,0.07397104525126962,3.6039866582191125,True
Iris,9451,0.07163647388766771,3.636052699319452,True
Oakmoss,8737,0.06622451299931782,3.714597728114869,True
Geranium,8423,0.0638444629727886,3.7511942838124392,True
Saffron,8393,0.06361706965815205,3.7547618937327143,True
White Musk,8339,0.06320776169180627,3.761215842273458,True
Woody Notes,8278,0.0627453952853786,3.7685568704874446,True
Orange,8200,0.06215417266732358,3.778022960589839,True
Cinnamon,8039,0.060933828545440764,3.7978499754532384,True
Peach,7921,0.06003941484120367,3.8126353594443887,True
Lily-of-the-Valley,7339,0.05562798453725461,3.8889402160176894,True
Labdanum,7131,0.05405139088910786,3.9176873586432195,True
Ylang-Ylang,7086,0.05371030091715304,3.9240169388159942,True
Benzoin,7033,0.0533085727279618,3.931523524592323,True
Incense,7023,0.05323277495641628,3.9329462023112978,True
Ginger,6847,0.05189873417721519,3.9583224198046723,True
Neroli,6490,0.049192753733040245,4.011862456592782,True
Ambergris,6452,0.04890472220116729,4.017733919690411,True
Nutmeg,6277,0.047578261199120744,4.045227600224352,True
Raspberry,6229,0.047214431895702264,4.052902725844752,True
Pear,6133,0.04648677328886531,4.068431992952053,True
Tuberose,6058,0.04591829000227393,4.080734288681262,True
Agarwood (Oud),5939,0.045016296520882286,4.10056992526956,True
Apple,5727,0.043409383764117335,4.136912628985769,True
Freesia,5683,0.04307587356931706,4.144623848409259,True
Black Currant,5560,0.04214356097930721,4.166501110438686,True
Peony,5269,0.039937845827332674,4.2202486960908425,True
Tobacco,5072,0.038444629727886,4.25834670005956,True
Citruses,4982,0.03776244978397635,4.276246939344846,True
Black Pepper,4795,0.03634503145607519,4.314496821478846,True
Cedarwood,4766,0.036125217918593196,4.3205618824214245,True
Caramel,4734,0.03588266504964754,4.327297332006072,True
Magnolia,4621,0.035026150231183203,4.351451546791925,True
Mint,4605,0.034904873796710374,4.35491925724562,True
Green Notes,4529,0.034328810732964454,4.371557119149171,True
Floral Notes,4436,0.03362389145759115,4.392300586247341,True
Pepper,4316,0.032714318199044946,4.419718342070773,True
Moss,4302,0.03260820131888122,4.422966604787651,True
Pineapple,4299,0.03258546198741757,4.423664035944597,True
Heliotrope,4180,0.03168346850602592,4.451728606269685,True
Gardenia,4004,0.03034942772682483,4.494735478123792,True
Guaiac Wood,3983,0.030190252406579247,4.499992718921762,True
Honey,3974,0.030122034412188282,4.502254310537818,True
Coconut,3886,0.029455014022587735,4.524641406774027,True
Lime,3838,0.029091184719169258,4.537067142625453,True
Oud,3780,0.02865155764420526,4.5522905337353174,True
Plum,3763,0.02852270143257788,4.556796836920981,True
Coriander,3744,0.0283786856666414,4.561857441674931,True
Sage,3530,0.026756613355567345,4.620697941697864,True
Woodsy Notes,3240,0.024558477980747367,4.706397134484703,True
Olibanum,3213,0.02435382399757447,4.714762791328793,True
Rosemary,3207,0.024308345334647163,4.716631368639845,True
Lily of the Valley,3105,0.023535208064882893,4.748943333917618,True
Ambroxan,3051,0.023125900098537103,4.766481945221903,True
Lily,3044,0.023072841658455242,4.768778157482253,True
Aldehydes,3019,0.02288334722959145,4.777022227257335,True
Jasmine Sambac,2948,0.022345183051618284,4.800812928810974,True
Spices,2884,0.021860077313726977,4.8227541586840506,True
Mandarin,2875,0.021791859319336013,4.825878618785313,True
Basil,2857,0.02165542333055408,4.832156979136437,True
Osmanthus,2850,0.02160236489047222,4.834609248713578,True
Violet Leaf,2849,0.02159478511331767,4.834960064363554,True
Orchid,2814,0.021329492912908362,4.84731679705246,True
Tangerine,2765,0.020958083832335328,4.864876825401547,True
Petitgrain,2750,0.020844387175017055,4.870314576701675,True
Almond,2713,0.02056393542029864,4.883855497231436,True
Myrrh,2709,0.020533616311680436,4.885330423752504,True
Galbanum,2707,0.020518456757371333,4.886068703594085,True
Virginia Cedar,2694,0.020419919654362163,4.890880854283153,True
Cashmere Wood,2688,0.02037444099143485,4.8931096813573856,True
Cypress,2630,0.019934813916470857,4.914915056585958,True
Carnation,2588,0.019616463275979688,4.931007357874712,True
Clary Sage,2541,0.01926021374971576,4.949327885876851,True
Fruity Notes,2476,0.0187675282346699,4.975230908136891,True
Coffee,2469,0.01871446979458804,4.9780609080042275,True
Cashmeran,2386,0.01808534829076025,5.0122417112874205,True
Cloves,2381,0.018047449404987495,5.014338587711005,True
Orris,2380,0.018039869627832942,5.014758491139387,True
White Flowers,2317,0.01756234366709619,5.041574313726554,True
Spicy Notes,2213,0.016774046843022816,5.087478224357668,True
Sea Notes,2183,0.016546653528386267,5.101121000761455,True
Praline,2164,0.016402637762449785,5.10985869718966,True
Orris Root,2137,0.01619798377927689,5.12240824604126,True
Bulgarian Rose,2122,0.016084287121958616,5.129448875922995,True
Clove,2098,0.015902372470249376,5.140818017805618,True
Sugar,2094,0.015872053361631167,5.142725505270012,True
Mimosa,2076,0.015735617372849238,5.151354513750138,True
Cassis,2045,0.015500644281058138,5.1663923911146785,True
Vanille,2033,0.015409686955203518,5.1722747610177455,True
Strawberry,1980,0.01500795876601228,5.1986772909277,True
Apricot,1974,0.01496248010308497,5.201710660291028,True
Rum,1971,0.014939740771621314,5.203230802463669,True
Juniper,1914,0.01450769347381187,5.232561436011504,True
elemi,1868,0.014159023724702494,5.256875530170688,True
Melon,1847,0.01399984840445691,5.268175085424621,True
Turkish Rose,1811,0.013726976426893049,5.287847851023326,True
Fig,1810,0.013719396649738497,5.288399879742837,True
