source_type,source_expression,target_type,target_feature,association_score,association_metric,support_count,evidence_level,evidence_description
NATURAL_LANGUAGE_CONTEXT,가을,SEASON,autumn,1.0,EXACT_MATCH,57533.0,A,Explicit Korean season term maps directly to autumn
NATURAL_LANGUAGE_CONTEXT,겨울,SEASON,winter,1.0,EXACT_MATCH,57533.0,A,Explicit Korean season term maps directly to winter
NATURAL_LANGUAGE_CONTEXT,낮,DAYPART,day,1.0,EXACT_MATCH,44421.0,A,Explicit Korean daypart term maps directly to day
NATURAL_LANGUAGE_CONTEXT,밤,DAYPART,night,1.0,EXACT_MATCH,44421.0,A,Explicit Korean daypart term maps directly to night
NATURAL_LANGUAGE_CONTEXT,봄,SEASON,spring,1.0,EXACT_MATCH,57533.0,A,Explicit Korean season term maps directly to spring
NATURAL_LANGUAGE_CONTEXT,여름,SEASON,summer,1.0,EXACT_MATCH,57533.0,A,Explicit Korean season term maps directly to summer
NATURAL_LANGUAGE_DIRECT,AMBROX® SUPER,NOTE,AMBROX® SUPER,1.0,EXACT_MATCH,23.0,A,Exact canonical Note label; present in 23 perfumes
NATURAL_LANGUAGE_DIRECT,Abelia,NOTE,Abelia,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Absinthe,NOTE,Absinthe,1.0,EXACT_MATCH,236.0,A,Exact canonical Note label; present in 236 perfumes
NATURAL_LANGUAGE_DIRECT,Acai Berry,NOTE,Acai Berry,1.0,EXACT_MATCH,56.0,A,Exact canonical Note label; present in 56 perfumes
NATURAL_LANGUAGE_DIRECT,Accord Eudora®,NOTE,Accord Eudora®,1.0,EXACT_MATCH,33.0,A,Exact canonical Note label; present in 33 perfumes
NATURAL_LANGUAGE_DIRECT,Acerola,NOTE,Acerola,1.0,EXACT_MATCH,11.0,A,Exact canonical Note label; present in 11 perfumes
NATURAL_LANGUAGE_DIRECT,Acerola Blossom,NOTE,Acerola Blossom,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Acetylfuran,NOTE,Acetylfuran,1.0,EXACT_MATCH,2.0,A,Exact canonical Note label; present in 2 perfumes
NATURAL_LANGUAGE_DIRECT,Achillea Olympus,NOTE,Achillea Olympus,1.0,EXACT_MATCH,2.0,A,Exact canonical Note label; present in 2 perfumes
NATURAL_LANGUAGE_DIRECT,Acorn,NOTE,Acorn,1.0,EXACT_MATCH,9.0,A,Exact canonical Note label; present in 9 perfumes
NATURAL_LANGUAGE_DIRECT,Acronychia pedunculata,NOTE,Acronychia pedunculata,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Acácia,NOTE,Acácia,1.0,EXACT_MATCH,180.0,A,Exact canonical Note label; present in 180 perfumes
NATURAL_LANGUAGE_DIRECT,Advocaat,NOTE,Advocaat,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Affogato,NOTE,Affogato,1.0,EXACT_MATCH,3.0,A,Exact canonical Note label; present in 3 perfumes
NATURAL_LANGUAGE_DIRECT,African Freesia Petals,NOTE,African Freesia Petals,1.0,EXACT_MATCH,2.0,A,Exact canonical Note label; present in 2 perfumes
NATURAL_LANGUAGE_DIRECT,African Geranium,NOTE,African Geranium,1.0,EXACT_MATCH,66.0,A,Exact canonical Note label; present in 66 perfumes
NATURAL_LANGUAGE_DIRECT,African Ginger,NOTE,African Ginger,1.0,EXACT_MATCH,25.0,A,Exact canonical Note label; present in 25 perfumes
NATURAL_LANGUAGE_DIRECT,African Marigold,NOTE,African Marigold,1.0,EXACT_MATCH,14.0,A,Exact canonical Note label; present in 14 perfumes
NATURAL_LANGUAGE_DIRECT,African Orange Flower,NOTE,African Orange Flower,1.0,EXACT_MATCH,883.0,A,Exact canonical Note label; present in 883 perfumes
NATURAL_LANGUAGE_DIRECT,African Violet,NOTE,African Violet,1.0,EXACT_MATCH,15.0,A,Exact canonical Note label; present in 15 perfumes
NATURAL_LANGUAGE_DIRECT,Agarwood,NOTE,Agarwood,1.0,EXACT_MATCH,1249.0,A,"Exact canonical Note label; present in 1,249 perfumes"
NATURAL_LANGUAGE_DIRECT,Agarwood (Oud),NOTE,Agarwood (Oud),1.0,EXACT_MATCH,5939.0,A,"Exact canonical Note label; present in 5,939 perfumes"
NATURAL_LANGUAGE_DIRECT,Agave,NOTE,Agave,1.0,EXACT_MATCH,78.0,A,Exact canonical Note label; present in 78 perfumes
NATURAL_LANGUAGE_DIRECT,Agave nectar,NOTE,Agave nectar,1.0,EXACT_MATCH,14.0,A,Exact canonical Note label; present in 14 perfumes
NATURAL_LANGUAGE_DIRECT,Aglaia,NOTE,Aglaia,1.0,EXACT_MATCH,24.0,A,Exact canonical Note label; present in 24 perfumes
NATURAL_LANGUAGE_DIRECT,Airy Note,NOTE,Airy Note,1.0,EXACT_MATCH,77.0,A,Exact canonical Note label; present in 77 perfumes
NATURAL_LANGUAGE_DIRECT,Akashic Acord,NOTE,Akashic Acord,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Akebia fruit,NOTE,Akebia fruit,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Akigalawood,NOTE,Akigalawood,1.0,EXACT_MATCH,443.0,A,Exact canonical Note label; present in 443 perfumes
NATURAL_LANGUAGE_DIRECT,Alba Rose,NOTE,Alba Rose,1.0,EXACT_MATCH,5.0,A,Exact canonical Note label; present in 5 perfumes
NATURAL_LANGUAGE_DIRECT,Albizia,NOTE,Albizia,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Alcantara accord,NOTE,Alcantara accord,1.0,EXACT_MATCH,2.0,A,Exact canonical Note label; present in 2 perfumes
NATURAL_LANGUAGE_DIRECT,Aldambre,NOTE,Aldambre,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Aldehydes,NOTE,Aldehydes,1.0,EXACT_MATCH,3019.0,A,"Exact canonical Note label; present in 3,019 perfumes"
NATURAL_LANGUAGE_DIRECT,Alder,NOTE,Alder,1.0,EXACT_MATCH,2.0,A,Exact canonical Note label; present in 2 perfumes
NATURAL_LANGUAGE_DIRECT,Aldron,NOTE,Aldron,1.0,EXACT_MATCH,4.0,A,Exact canonical Note label; present in 4 perfumes
NATURAL_LANGUAGE_DIRECT,Algae,NOTE,Algae,1.0,EXACT_MATCH,108.0,A,Exact canonical Note label; present in 108 perfumes
NATURAL_LANGUAGE_DIRECT,Algerian Geranium,NOTE,Algerian Geranium,1.0,EXACT_MATCH,3.0,A,Exact canonical Note label; present in 3 perfumes
NATURAL_LANGUAGE_DIRECT,Allspice,NOTE,Allspice,1.0,EXACT_MATCH,169.0,A,Exact canonical Note label; present in 169 perfumes
NATURAL_LANGUAGE_DIRECT,Almaciga,NOTE,Almaciga,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Almdudler,NOTE,Almdudler,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Almond,NOTE,Almond,1.0,EXACT_MATCH,2713.0,A,"Exact canonical Note label; present in 2,713 perfumes"
NATURAL_LANGUAGE_DIRECT,Almond Blossom,NOTE,Almond Blossom,1.0,EXACT_MATCH,275.0,A,Exact canonical Note label; present in 275 perfumes
NATURAL_LANGUAGE_DIRECT,Almond Cream,NOTE,Almond Cream,1.0,EXACT_MATCH,39.0,A,Exact canonical Note label; present in 39 perfumes
NATURAL_LANGUAGE_DIRECT,Almond Milk,NOTE,Almond Milk,1.0,EXACT_MATCH,197.0,A,Exact canonical Note label; present in 197 perfumes
NATURAL_LANGUAGE_DIRECT,Almond Tree,NOTE,Almond Tree,1.0,EXACT_MATCH,36.0,A,Exact canonical Note label; present in 36 perfumes
NATURAL_LANGUAGE_DIRECT,Almond Wood,NOTE,Almond Wood,1.0,EXACT_MATCH,7.0,A,Exact canonical Note label; present in 7 perfumes
NATURAL_LANGUAGE_DIRECT,Aloe Vera,NOTE,Aloe Vera,1.0,EXACT_MATCH,158.0,A,Exact canonical Note label; present in 158 perfumes
NATURAL_LANGUAGE_DIRECT,Alpinia,NOTE,Alpinia,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Alstroemeria,NOTE,Alstroemeria,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Althaea,NOTE,Althaea,1.0,EXACT_MATCH,3.0,A,Exact canonical Note label; present in 3 perfumes
NATURAL_LANGUAGE_DIRECT,Aluminum,NOTE,Aluminum,1.0,EXACT_MATCH,3.0,A,Exact canonical Note label; present in 3 perfumes
NATURAL_LANGUAGE_DIRECT,Alumroot,NOTE,Alumroot,1.0,EXACT_MATCH,3.0,A,Exact canonical Note label; present in 3 perfumes
NATURAL_LANGUAGE_DIRECT,Alyssum,NOTE,Alyssum,1.0,EXACT_MATCH,2.0,A,Exact canonical Note label; present in 2 perfumes
NATURAL_LANGUAGE_DIRECT,Amalfi Lemon,NOTE,Amalfi Lemon,1.0,EXACT_MATCH,1325.0,A,"Exact canonical Note label; present in 1,325 perfumes"
NATURAL_LANGUAGE_DIRECT,Amaranth,NOTE,Amaranth,1.0,EXACT_MATCH,19.0,A,Exact canonical Note label; present in 19 perfumes
NATURAL_LANGUAGE_DIRECT,Amaretto,NOTE,Amaretto,1.0,EXACT_MATCH,118.0,A,Exact canonical Note label; present in 118 perfumes
NATURAL_LANGUAGE_DIRECT,Amarula,NOTE,Amarula,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Amaryllis,NOTE,Amaryllis,1.0,EXACT_MATCH,74.0,A,Exact canonical Note label; present in 74 perfumes
NATURAL_LANGUAGE_DIRECT,Amazon Lily,NOTE,Amazon Lily,1.0,EXACT_MATCH,10.0,A,Exact canonical Note label; present in 10 perfumes
NATURAL_LANGUAGE_DIRECT,Amazon Moonflower,NOTE,Amazon Moonflower,1.0,EXACT_MATCH,3.0,A,Exact canonical Note label; present in 3 perfumes
NATURAL_LANGUAGE_DIRECT,Amber,NOTE,Amber,1.0,EXACT_MATCH,36671.0,A,"Exact canonical Note label; present in 36,671 perfumes"
NATURAL_LANGUAGE_DIRECT,Amber Oil,NOTE,Amber Oil,1.0,EXACT_MATCH,19.0,A,Exact canonical Note label; present in 19 perfumes
NATURAL_LANGUAGE_DIRECT,Amber Xtreme,NOTE,Amber Xtreme,1.0,EXACT_MATCH,109.0,A,Exact canonical Note label; present in 109 perfumes
NATURAL_LANGUAGE_DIRECT,Amber from Tunis,NOTE,Amber from Tunis,1.0,EXACT_MATCH,6.0,A,Exact canonical Note label; present in 6 perfumes
NATURAL_LANGUAGE_DIRECT,Amberever,NOTE,Amberever,1.0,EXACT_MATCH,3.0,A,Exact canonical Note label; present in 3 perfumes
NATURAL_LANGUAGE_DIRECT,Ambergris,NOTE,Ambergris,1.0,EXACT_MATCH,6452.0,A,"Exact canonical Note label; present in 6,452 perfumes"
NATURAL_LANGUAGE_DIRECT,Amberketal,NOTE,Amberketal,1.0,EXACT_MATCH,2.0,A,Exact canonical Note label; present in 2 perfumes
NATURAL_LANGUAGE_DIRECT,Ambermax™,NOTE,Ambermax™,1.0,EXACT_MATCH,4.0,A,Exact canonical Note label; present in 4 perfumes
NATURAL_LANGUAGE_DIRECT,Ambertonic,NOTE,Ambertonic,1.0,EXACT_MATCH,49.0,A,Exact canonical Note label; present in 49 perfumes
NATURAL_LANGUAGE_DIRECT,Amberwood,NOTE,Amberwood,1.0,EXACT_MATCH,1757.0,A,"Exact canonical Note label; present in 1,757 perfumes"
NATURAL_LANGUAGE_DIRECT,Ambrarome,NOTE,Ambrarome,1.0,EXACT_MATCH,57.0,A,Exact canonical Note label; present in 57 perfumes
NATURAL_LANGUAGE_DIRECT,AmbreXolide,NOTE,AmbreXolide,1.0,EXACT_MATCH,1.0,A,Exact canonical Note label; present in 1 perfumes
NATURAL_LANGUAGE_DIRECT,Ambrein,NOTE,Ambrein,1.0,EXACT_MATCH,5.0,A,Exact canonical Note label; present in 5 perfumes
NATURAL_LANGUAGE_DIRECT,Ambreine,NOTE,Ambreine,1.0,EXACT_MATCH,21.0,A,Exact canonical Note label; present in 21 perfumes
NATURAL_LANGUAGE_DIRECT,Ambretone,NOTE,Ambretone,1.0,EXACT_MATCH,13.0,A,Exact canonical Note label; present in 13 perfumes
NATURAL_LANGUAGE_DIRECT,Ambrette,NOTE,Ambrette,1.0,EXACT_MATCH,1062.0,A,"Exact canonical Note label; present in 1,062 perfumes"
NATURAL_LANGUAGE_DIRECT,Ambrette (Musk Mallow),NOTE,Ambrette (Musk Mallow),1.0,EXACT_MATCH,1192.0,A,"Exact canonical Note label; present in 1,192 perfumes"
NATURAL_LANGUAGE_DIRECT,Ambrettolide,NOTE,Ambrettolide,1.0,EXACT_MATCH,131.0,A,Exact canonical Note label; present in 131 perfumes
NATURAL_LANGUAGE_DIRECT,Ambrinol,NOTE,Ambrinol,1.0,EXACT_MATCH,7.0,A,Exact canonical Note label; present in 7 perfumes
NATURAL_LANGUAGE_DIRECT,Ambrocenide,NOTE,Ambrocenide,1.0,EXACT_MATCH,87.0,A,Exact canonical Note label; present in 87 perfumes
NATURAL_LANGUAGE_DIRECT,Ambrofix™,NOTE,Ambrofix™,1.0,EXACT_MATCH,139.0,A,Exact canonical Note label; present in 139 perfumes
NATURAL_LANGUAGE_DIRECT,Ambronova ™,NOTE,Ambronova ™,1.0,EXACT_MATCH,3.0,A,Exact canonical Note label; present in 3 perfumes
NATURAL_LANGUAGE_DIRECT,Ambrostar™,NOTE,Ambrostar™,1.0,EXACT_MATCH,27.0,A,Exact canonical Note label; present in 27 perfumes
