query_id,query_type,query,resolution_status,condition_satisfaction_rate,evidence_coverage_mean,final_score_mean,top10_requested_accord_strength_mean,corpus_requested_accord_strength_mean,corpus_requested_accord_strength_when_present,top10_requested_note_presence_rate,corpus_requested_note_presence_rate,top10_requested_season_share_mean,corpus_requested_season_share_mean,top10_requested_daypart_share_mean,corpus_requested_daypart_share_mean,top10_median_popularity
Q001,ACCORD_ONLY,woody 향,RESOLVED,1.0,1.0,1.0,100.0,40.63166081905365,65.82835912704468,,,,,,,616.5
Q002,ACCORD_ONLY,powdery 향,RESOLVED,1.0,1.0,1.0,100.0,23.042969405651093,48.343148827552795,,,,,,,57.5
Q003,ACCORD_ONLY,sweet 향,RESOLVED,1.0,1.0,1.0,100.0,24.967241287231445,54.332828521728516,,,,,,,141.0
Q004,ACCORD_ONLY,citrus 향,RESOLVED,1.0,1.0,1.0,100.0,30.583620071411133,67.28305220603943,,,,,,,136.0
Q005,ACCORD_ONLY,aromatic 향,RESOLVED,1.0,1.0,1.0,100.0,23.205624520778656,56.0655951499939,,,,,,,95.0
Q006,ACCORD_ONLY,fresh spicy 향,RESOLVED,1.0,1.0,1.0,100.0,18.329334259033203,51.15587115287781,,,,,,,51.0
Q007,ACCORD_ONLY,floral 향,RESOLVED,1.0,1.0,1.0,100.0,19.85517293214798,56.229186058044434,,,,,,,35.0
Q008,ACCORD_ONLY,amber 향,RESOLVED,1.0,1.0,1.0,100.0,21.034927666187286,61.02154850959778,,,,,,,130.5
Q009,ACCORD_ONLY,warm spicy 향,RESOLVED,1.0,1.0,1.0,100.0,19.613711535930634,57.098281383514404,,,,,,,172.5
Q010,ACCORD_ONLY,fruity 향,RESOLVED,1.0,1.0,1.0,100.0,21.12090438604355,64.4690454006195,,,,,,,33.0
Q011,ACCORD_ONLY,musky 향,RESOLVED,1.0,1.0,1.0,100.0,16.250118613243103,52.09404230117798,,,,,,,180.5
Q012,ACCORD_ONLY,white floral 향,RESOLVED,1.0,1.0,1.0,100.0,19.872848689556122,66.38035774230957,,,,,,,430.5
Q013,ACCORD_ONLY,vanilla 향,RESOLVED,1.0,1.0,1.0,100.0,15.82527756690979,60.408222675323486,,,,,,,45.0
Q014,ACCORD_ONLY,fresh 향,RESOLVED,1.0,1.0,1.0,100.0,10.702168196439743,42.17506647109985,,,,,,,107.0
Q015,ACCORD_ONLY,green 향,RESOLVED,1.0,1.0,1.0,100.0,10.979299247264862,48.68085980415344,,,,,,,250.5
Q016,ACCORD_ONLY,rose 향,RESOLVED,1.0,1.0,1.0,100.0,11.460015922784805,59.020185470581055,,,,,,,255.0
Q017,ACCORD_ONLY,earthy 향,RESOLVED,1.0,1.0,1.0,100.0,6.199461966753006,42.93637573719025,,,,,,,126.5
Q018,ACCORD_ONLY,animalic 향,RESOLVED,1.0,1.0,1.0,100.0,4.220760613679886,30.525434017181396,,,,,,,35.5
