surface_form,normalized_form,feature_type,feature_name,mapping_type,evidence_level
Abelia,abelia,NOTE,Abelia,LEVEL_A_DIRECT,A
Absinthe,absinthe,NOTE,Absinthe,LEVEL_A_DIRECT,A
Acai Berry,acai berry,NOTE,Acai Berry,LEVEL_A_DIRECT,A
Accord Eudora®,accord eudora®,NOTE,Accord Eudora®,LEVEL_A_DIRECT,A
Acerola,acerola,NOTE,Acerola,LEVEL_A_DIRECT,A
Acerola Blossom,acerola blossom,NOTE,Acerola Blossom,LEVEL_A_DIRECT,A
Acetylfuran,acetylfuran,NOTE,Acetylfuran,LEVEL_A_DIRECT,A
Achillea Olympus,achillea olympus,NOTE,Achillea Olympus,LEVEL_A_DIRECT,A
Acorn,acorn,NOTE,Acorn,LEVEL_A_DIRECT,A
Acronychia pedunculata,acronychia pedunculata,NOTE,Acronychia pedunculata,LEVEL_A_DIRECT,A
Acácia,acácia,NOTE,Acácia,LEVEL_A_DIRECT,A
Advocaat,advocaat,NOTE,Advocaat,LEVEL_A_DIRECT,A
Affogato,affogato,NOTE,Affogato,LEVEL_A_DIRECT,A
African Freesia Petals,african freesia petals,NOTE,African Freesia Petals,LEVEL_A_DIRECT,A
African Geranium,african geranium,NOTE,African Geranium,LEVEL_A_DIRECT,A
African Ginger,african ginger,NOTE,African Ginger,LEVEL_A_DIRECT,A
African Marigold,african marigold,NOTE,African Marigold,LEVEL_A_DIRECT,A
African Orange Flower,african orange flower,NOTE,African Orange Flower,LEVEL_A_DIRECT,A
African Violet,african violet,NOTE,African Violet,LEVEL_A_DIRECT,A
Agarwood,agarwood,NOTE,Agarwood,LEVEL_A_DIRECT,A
Agarwood (Oud),agarwood (oud),NOTE,Agarwood (Oud),LEVEL_A_DIRECT,A
Agave,agave,NOTE,Agave,LEVEL_A_DIRECT,A
Agave nectar,agave nectar,NOTE,Agave nectar,LEVEL_A_DIRECT,A
Aglaia,aglaia,NOTE,Aglaia,LEVEL_A_DIRECT,A
Airy Note,airy note,NOTE,Airy Note,LEVEL_A_DIRECT,A
Akashic Acord,akashic acord,NOTE,Akashic Acord,LEVEL_A_DIRECT,A
Akebia fruit,akebia fruit,NOTE,Akebia fruit,LEVEL_A_DIRECT,A
Akigalawood,akigalawood,NOTE,Akigalawood,LEVEL_A_DIRECT,A
Alba Rose,alba rose,NOTE,Alba Rose,LEVEL_A_DIRECT,A
Albizia,albizia,NOTE,Albizia,LEVEL_A_DIRECT,A
Alcantara accord,alcantara accord,NOTE,Alcantara accord,LEVEL_A_DIRECT,A
alcohol,alcohol,ACCORD,alcohol,LEVEL_A_DIRECT,A
Aldambre,aldambre,NOTE,Aldambre,LEVEL_A_DIRECT,A
Aldehydes,aldehydes,NOTE,Aldehydes,LEVEL_A_DIRECT,A
aldehydic,aldehydic,ACCORD,aldehydic,LEVEL_A_DIRECT,A
Alder,alder,NOTE,Alder,LEVEL_A_DIRECT,A
Aldron,aldron,NOTE,Aldron,LEVEL_A_DIRECT,A
Algae,algae,NOTE,Algae,LEVEL_A_DIRECT,A
Algerian Geranium,algerian geranium,NOTE,Algerian Geranium,LEVEL_A_DIRECT,A
Allspice,allspice,NOTE,Allspice,LEVEL_A_DIRECT,A
Almaciga,almaciga,NOTE,Almaciga,LEVEL_A_DIRECT,A
Almdudler,almdudler,NOTE,Almdudler,LEVEL_A_DIRECT,A
almond,almond,ACCORD,almond,LEVEL_A_DIRECT,A
Almond,almond,NOTE,Almond,LEVEL_A_DIRECT,A
Almond Blossom,almond blossom,NOTE,Almond Blossom,LEVEL_A_DIRECT,A
Almond Cream,almond cream,NOTE,Almond Cream,LEVEL_A_DIRECT,A
Almond Milk,almond milk,NOTE,Almond Milk,LEVEL_A_DIRECT,A
Almond Tree,almond tree,NOTE,Almond Tree,LEVEL_A_DIRECT,A
Almond Wood,almond wood,NOTE,Almond Wood,LEVEL_A_DIRECT,A
Aloe Vera,aloe vera,NOTE,Aloe Vera,LEVEL_A_DIRECT,A
Alpinia,alpinia,NOTE,Alpinia,LEVEL_A_DIRECT,A
Alstroemeria,alstroemeria,NOTE,Alstroemeria,LEVEL_A_DIRECT,A
Althaea,althaea,NOTE,Althaea,LEVEL_A_DIRECT,A
Aluminum,aluminum,NOTE,Aluminum,LEVEL_A_DIRECT,A
Alumroot,alumroot,NOTE,Alumroot,LEVEL_A_DIRECT,A
Alyssum,alyssum,NOTE,Alyssum,LEVEL_A_DIRECT,A
Amalfi Lemon,amalfi lemon,NOTE,Amalfi Lemon,LEVEL_A_DIRECT,A
Amaranth,amaranth,NOTE,Amaranth,LEVEL_A_DIRECT,A
Amaretto,amaretto,NOTE,Amaretto,LEVEL_A_DIRECT,A
Amarula,amarula,NOTE,Amarula,LEVEL_A_DIRECT,A
Amaryllis,amaryllis,NOTE,Amaryllis,LEVEL_A_DIRECT,A
Amazon Lily,amazon lily,NOTE,Amazon Lily,LEVEL_A_DIRECT,A
Amazon Moonflower,amazon moonflower,NOTE,Amazon Moonflower,LEVEL_A_DIRECT,A
amber,amber,ACCORD,amber,LEVEL_A_DIRECT,A
Amber,amber,NOTE,Amber,LEVEL_A_DIRECT,A
Amber from Tunis,amber from tunis,NOTE,Amber from Tunis,LEVEL_A_DIRECT,A
Amber Oil,amber oil,NOTE,Amber Oil,LEVEL_A_DIRECT,A
Amber Xtreme,amber xtreme,NOTE,Amber Xtreme,LEVEL_A_DIRECT,A
Amberever,amberever,NOTE,Amberever,LEVEL_A_DIRECT,A
Ambergris,ambergris,NOTE,Ambergris,LEVEL_A_DIRECT,A
Amberketal,amberketal,NOTE,Amberketal,LEVEL_A_DIRECT,A
Ambermax™,ambermaxtm,NOTE,Ambermax™,LEVEL_A_DIRECT,A
Ambertonic,ambertonic,NOTE,Ambertonic,LEVEL_A_DIRECT,A
Amberwood,amberwood,NOTE,Amberwood,LEVEL_A_DIRECT,A
Ambrarome,ambrarome,NOTE,Ambrarome,LEVEL_A_DIRECT,A
Ambrein,ambrein,NOTE,Ambrein,LEVEL_A_DIRECT,A
Ambreine,ambreine,NOTE,Ambreine,LEVEL_A_DIRECT,A
Ambretone,ambretone,NOTE,Ambretone,LEVEL_A_DIRECT,A
Ambrette,ambrette,NOTE,Ambrette,LEVEL_A_DIRECT,A
Ambrette (Musk Mallow),ambrette (musk mallow),NOTE,Ambrette (Musk Mallow),LEVEL_A_DIRECT,A
Ambrettolide,ambrettolide,NOTE,Ambrettolide,LEVEL_A_DIRECT,A
AmbreXolide,ambrexolide,NOTE,AmbreXolide,LEVEL_A_DIRECT,A
Ambrinol,ambrinol,NOTE,Ambrinol,LEVEL_A_DIRECT,A
Ambrocenide,ambrocenide,NOTE,Ambrocenide,LEVEL_A_DIRECT,A
Ambrofix™,ambrofixtm,NOTE,Ambrofix™,LEVEL_A_DIRECT,A
Ambronova ™,ambronova tm,NOTE,Ambronova ™,LEVEL_A_DIRECT,A
Ambrostar™,ambrostartm,NOTE,Ambrostar™,LEVEL_A_DIRECT,A
Ambrox Super,ambrox super,NOTE,Ambrox Super,LEVEL_A_DIRECT,A
Ambroxan,ambroxan,NOTE,Ambroxan,LEVEL_A_DIRECT,A
AMBROX® SUPER,ambrox® super,NOTE,AMBROX® SUPER,LEVEL_A_DIRECT,A
