query_id,query_text,query_type,gold_accords,gold_notes,gold_seasons,gold_dayparts,gold_unresolved_expressions,resolution_status,annotator_confidence,annotator_comment
GQ0001,,DIRECT,,,,,,,,
GQ0002,,DIRECT,,,,,,,,
GQ0003,,DIRECT,,,,,,,,
GQ0004,,DIRECT,,,,,,,,
GQ0005,,DIRECT,,,,,,,,
GQ0006,,DIRECT,,,,,,,,
GQ0007,,DIRECT,,,,,,,,
GQ0008,,DIRECT,,,,,,,,
GQ0009,,DIRECT,,,,,,,,
GQ0010,,DIRECT,,,,,,,,
GQ0011,,DIRECT,,,,,,,,
GQ0012,,DIRECT,,,,,,,,
GQ0013,,DIRECT,,,,,,,,
GQ0014,,DIRECT,,,,,,,,
GQ0015,,DIRECT,,,,,,,,
GQ0016,,DIRECT,,,,,,,,
GQ0017,,DIRECT,,,,,,,,
GQ0018,,DIRECT,,,,,,,,
GQ0019,,DIRECT,,,,,,,,
GQ0020,,DIRECT,,,,,,,,
GQ0021,,DIRECT,,,,,,,,
GQ0022,,DIRECT,,,,,,,,
GQ0023,,DIRECT,,,,,,,,
GQ0024,,DIRECT,,,,,,,,
GQ0025,,CONTEXT,,,,,,,,
GQ0026,,CONTEXT,,,,,,,,
GQ0027,,CONTEXT,,,,,,,,
GQ0028,,CONTEXT,,,,,,,,
GQ0029,,CONTEXT,,,,,,,,
GQ0030,,CONTEXT,,,,,,,,
GQ0031,,CONTEXT,,,,,,,,
GQ0032,,CONTEXT,,,,,,,,
GQ0033,,CONTEXT,,,,,,,,
GQ0034,,CONTEXT,,,,,,,,
GQ0035,,CONTEXT,,,,,,,,
GQ0036,,CONTEXT,,,,,,,,
GQ0037,,CONTEXT,,,,,,,,
GQ0038,,CONTEXT,,,,,,,,
GQ0039,,CONTEXT,,,,,,,,
GQ0040,,CONTEXT,,,,,,,,
GQ0041,,CONTEXT,,,,,,,,
GQ0042,,CONTEXT,,,,,,,,
GQ0043,,SENSORY,,,,,,,,
GQ0044,,SENSORY,,,,,,,,
GQ0045,,SENSORY,,,,,,,,
GQ0046,,SENSORY,,,,,,,,
GQ0047,,SENSORY,,,,,,,,
GQ0048,,SENSORY,,,,,,,,
GQ0049,,SENSORY,,,,,,,,
GQ0050,,SENSORY,,,,,,,,
GQ0051,,SENSORY,,,,,,,,
GQ0052,,SENSORY,,,,,,,,
GQ0053,,SENSORY,,,,,,,,
GQ0054,,SENSORY,,,,,,,,
GQ0055,,SENSORY,,,,,,,,
GQ0056,,SENSORY,,,,,,,,
GQ0057,,SENSORY,,,,,,,,
GQ0058,,SENSORY,,,,,,,,
GQ0059,,SENSORY,,,,,,,,
GQ0060,,SENSORY,,,,,,,,
GQ0061,,SENSORY,,,,,,,,
GQ0062,,SENSORY,,,,,,,,
GQ0063,,SENSORY,,,,,,,,
GQ0064,,SENSORY,,,,,,,,
GQ0065,,SENSORY,,,,,,,,
GQ0066,,SENSORY,,,,,,,,
GQ0067,,SCENE_ABSTRACT,,,,,,,,
GQ0068,,SCENE_ABSTRACT,,,,,,,,
GQ0069,,SCENE_ABSTRACT,,,,,,,,
GQ0070,,SCENE_ABSTRACT,,,,,,,,
GQ0071,,SCENE_ABSTRACT,,,,,,,,
GQ0072,,SCENE_ABSTRACT,,,,,,,,
GQ0073,,SCENE_ABSTRACT,,,,,,,,
GQ0074,,SCENE_ABSTRACT,,,,,,,,
GQ0075,,SCENE_ABSTRACT,,,,,,,,
GQ0076,,SCENE_ABSTRACT,,,,,,,,
GQ0077,,SCENE_ABSTRACT,,,,,,,,
GQ0078,,SCENE_ABSTRACT,,,,,,,,
GQ0079,,SCENE_ABSTRACT,,,,,,,,
GQ0080,,SCENE_ABSTRACT,,,,,,,,
GQ0081,,SCENE_ABSTRACT,,,,,,,,
GQ0082,,SCENE_ABSTRACT,,,,,,,,
GQ0083,,SCENE_ABSTRACT,,,,,,,,
GQ0084,,SCENE_ABSTRACT,,,,,,,,
GQ0085,,SCENE_ABSTRACT,,,,,,,,
GQ0086,,SCENE_ABSTRACT,,,,,,,,
GQ0087,,SCENE_ABSTRACT,,,,,,,,
GQ0088,,SCENE_ABSTRACT,,,,,,,,
GQ0089,,SCENE_ABSTRACT,,,,,,,,
GQ0090,,SCENE_ABSTRACT,,,,,,,,
GQ0091,,MIXED,,,,,,,,
GQ0092,,MIXED,,,,,,,,
GQ0093,,MIXED,,,,,,,,
GQ0094,,MIXED,,,,,,,,
GQ0095,,MIXED,,,,,,,,
GQ0096,,MIXED,,,,,,,,
GQ0097,,MIXED,,,,,,,,
GQ0098,,MIXED,,,,,,,,
GQ0099,,MIXED,,,,,,,,
GQ0100,,MIXED,,,,,,,,
GQ0101,,MIXED,,,,,,,,
GQ0102,,MIXED,,,,,,,,
GQ0103,,MIXED,,,,,,,,
GQ0104,,MIXED,,,,,,,,
GQ0105,,MIXED,,,,,,,,
GQ0106,,MIXED,,,,,,,,
GQ0107,,MIXED,,,,,,,,
GQ0108,,MIXED,,,,,,,,
GQ0109,,MIXED,,,,,,,,
GQ0110,,MIXED,,,,,,,,
GQ0111,,MIXED,,,,,,,,
GQ0112,,MIXED,,,,,,,,
GQ0113,,MIXED,,,,,,,,
GQ0114,,MIXED,,,,,,,,
GQ0115,,MIXED,,,,,,,,
GQ0116,,MIXED,,,,,,,,
GQ0117,,MIXED,,,,,,,,
GQ0118,,MIXED,,,,,,,,
GQ0119,,MIXED,,,,,,,,
GQ0120,,MIXED,,,,,,,,
