query_id,query_text,gold_scent,pred_scent,scent_match,gold_context,pred_context,context_match,gold_performance,pred_performance,performance_match,gold_avoid,pred_avoid,avoid_match,gold_additional,pred_additional,additional_match,overall_exact_match,parser_error,error_components,error_type
UQ0001,비가 온 뒤의 숲같은 향을 찾고 있어,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""비가 온 뒤"",""숲""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0002,시트러스 계열의 깔끔한 향의 향수가 있어?,"[""Citrus""]","[""citrus""]",True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""깔끔한""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0003,향수 가격 적당한 거 추천해줘. 그냥 구색 갖추려고 사는 거야.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""가격 적당"",""구색 갖추려고""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0004,"여성스러운 향을 사고 싶은데, 너무 달콤한 건 싫어. 그런 향기가 있을까?",[],[],True,"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""season"":[],""daypart"":[],""gender"":[]}",False,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""달콤한""]",[],False,[],[],True,False,,"[""MISSED_GENDER"",""MISSED_AVOID""]",MULTIPLE_ERRORS
UQ0005,난 바닐라 향기가 좋은데. 너무 단 건 싫어.,"[""Vanilla""]","[""vanilla""]",True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""너무 단""]",[],False,[],[],True,False,,"[""MISSED_AVOID""]",MISSED_AVOID
UQ0006,바다 냄새 나는 향수가 있나? 가능함?,"[""Sea Notes""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,[],[],True,False,,"[""MISSED_SCENT""]",MISSED_SCENT
UQ0007,30대 초반 남자가 쓰기 좋은 향수 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""season"":[],""daypart"":[],""gender"":[]}",False,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""30대 초반""]",[],False,False,,"[""MISSED_GENDER"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0008,레몬 말고. 레몬 껍질 냄새나는 향수 있음?,"[""Lemon Peel"",""Lemon Zest""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,[],[],True,False,,"[""MISSED_SCENT""]",MISSED_SCENT
UQ0009,"중성적인 향수 뿌리고 싶어. 너무 여성스럽지 않되, 너무 남자 향수도 아니었으면 좋겠다.",[],[],True,"{""season"":[],""daypart"":[],""gender"":[""neuter""]}","{""season"":[],""daypart"":[],""gender"":[]}",False,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,[],[],True,False,,"[""MISSED_GENDER""]",MISSED_GENDER
UQ0010,"케이크 같으면서도, 너무 느끼하지 않고, 딱 맡았을 때 공주처럼 느껴지는 향수 그런 거 없음?","[""Cake""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""너무 느끼""]",[],False,"[""공주""]",[],False,False,,"[""MISSED_SCENT"",""MISSED_AVOID"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0011,나무 냄새 나는데 너무 절 냄새만 나면 안됨,"[""Trees""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""절 냄새""]",[],False,[],[],True,False,,"[""MISSED_SCENT"",""MISSED_AVOID""]",MULTIPLE_ERRORS
UQ0012,깨끗한 냄새 없나?,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""깨끗한 냄새""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0013,코코넛 향기 나는데 머리 너무 안 아팠으면 좋겠음,"[""Coconut""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""머리 너무 안 아팠으면""]",[],False,False,,"[""MISSED_SCENT"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0014,나 향수를 잘 모르는데 혹시 추천해줄 수 있어?,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""잘 모르는데 혹시 추천""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0016,여름에 뿌릴 향수 가지고 싶은데 향기 너무 많이 나면 코 아파서... 안 그런거 추천 가능한가?,[],[],True,"{""season"":[""summer""],""daypart"":[],""gender"":[]}","{""season"":[""summer""],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""향기 너무 많이 나면""]",[],False,[],[],True,False,,"[""MISSED_AVOID""]",MISSED_AVOID
UQ0017,어른스러운 느낌 나는 향수 가지고 싶다. 나는 34살 금융맨임.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""어른스러운 느낌"",""34살"",""금융맨""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0018,여자친구가 생겼는데 여친한테 점수 딸만한 향기 없나...?,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""여친한테 점수 딸만한""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0019,옷에 향수 뿌리고 싶어. 아무거나 추천 해줘.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""옷에 향수"",""아무거나 추천""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0020,향수 분사 적당히 되는 거 없나? 입자가 너무 작은 건 싫은데.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""입자가 너무 작은 건""]",[],False,"[""분사 적당히 되는 거""]",[],False,False,,"[""MISSED_AVOID"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0021,"나는 이솝 테싯 퍼퓸을 자주 쓰는데, 이게 내 체향에 잘 맞는 거 같더라고. 비슷한데 다른 향 없나?",[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""이솝 테싯 퍼퓸"",""체향에 잘 맞는""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0022,나 조말론 블랙베리는 별로더라... 이런 나한테 추천해줄 만한 향수 없나,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""조말론 블랙베리""]",[],False,[],[],True,False,,"[""MISSED_AVOID""]",MISSED_AVOID
