metric,value
exact_match_count,3.0
exact_match_rate,0.015
overall_exact_match,0.015
scent_exact_match,0.84
context_exact_match,0.805
performance_exact_match,0.915
avoid_exact_match,0.82
additional_exact_match,0.15
context_season_exact_match,0.99
context_daypart_exact_match,0.99
context_gender_exact_match,0.82
performance_intensity_exact_match,0.94
performance_longevity_exact_match,0.97
scent_micro_precision,0.7368421052631579
scent_micro_recall,0.30434782608695654
scent_micro_f1,0.43076923076923074
season_micro_precision,0.8333333333333334
season_micro_recall,1.0
season_micro_f1,0.9090909090909091
daypart_micro_precision,0.0
daypart_micro_recall,0.0
daypart_micro_f1,0.0
gender_micro_precision,0.0
gender_micro_recall,0.0
gender_micro_f1,0.0
avoid_micro_precision,0.0
avoid_micro_recall,0.0
avoid_micro_f1,0.0
additional_micro_precision,0.0
additional_micro_recall,0.0
additional_micro_f1,0.0
intensity_accuracy,0.94
longevity_accuracy,0.97
positive_scent_eligible_count,39.0
positive_scent_micro_precision,0.9333333333333333
positive_scent_micro_recall,0.30434782608695654
positive_scent_micro_f1,0.45901639344262296
positive_season_eligible_count,10.0
positive_season_micro_precision,1.0
positive_season_micro_recall,1.0
positive_season_micro_f1,1.0
positive_daypart_eligible_count,0.0
positive_gender_eligible_count,36.0
positive_gender_micro_precision,0.0
positive_gender_micro_recall,0.0
positive_gender_micro_f1,0.0
positive_avoid_eligible_count,36.0
positive_avoid_micro_precision,0.0
positive_avoid_micro_recall,0.0
positive_avoid_micro_f1,0.0
positive_additional_eligible_count,170.0
positive_additional_micro_precision,0.0
positive_additional_micro_recall,0.0
positive_additional_micro_f1,0.0
positive_intensity_eligible_count,12.0
positive_intensity_accuracy,0.0
positive_longevity_eligible_count,6.0
positive_longevity_accuracy,0.0
scent_prediction_coverage,0.09
context_prediction_coverage,0.07
any_condition_prediction_coverage,0.155
parser_error_count,0.0
gold_scent_preference_presence_count,39.0
gold_context_presence_count,43.0
gold_performance_presence_count,17.0
gold_avoid_presence_count,36.0
gold_additional_requirements_presence_count,170.0
pred_scent_preference_presence_count,18.0
pred_context_presence_count,14.0
pred_performance_presence_count,0.0
pred_avoid_presence_count,0.0
pred_additional_requirements_presence_count,0.0
