metric,current_rule,extended_rule,difference
exact_match_count,3.0,9.0,6.0
exact_match_rate,0.015,0.045,0.03
overall_exact_match,0.015,0.045,0.03
scent_exact_match,0.84,0.86,0.020000000000000018
context_exact_match,0.805,0.93,0.125
performance_exact_match,0.915,0.97,0.05499999999999994
avoid_exact_match,0.82,0.815,-0.0050000000000000044
additional_exact_match,0.15,0.15,0.0
context_season_exact_match,0.99,0.99,0.0
context_daypart_exact_match,0.99,0.99,0.0
context_gender_exact_match,0.82,0.95,0.13
performance_intensity_exact_match,0.94,0.97,0.030000000000000027
performance_longevity_exact_match,0.97,0.995,0.025000000000000022
scent_micro_precision,0.7368421052631579,0.8095238095238095,0.07268170426065168
scent_micro_recall,0.3043478260869565,0.3695652173913043,0.06521739130434784
scent_micro_f1,0.4307692307692307,0.5074626865671641,0.07669345579793341
season_micro_precision,0.8333333333333334,0.8333333333333334,0.0
season_micro_recall,1.0,1.0,0.0
season_micro_f1,0.9090909090909092,0.9090909090909091,-1.1102230246251565e-16
daypart_micro_precision,0.0,0.0,0.0
daypart_micro_recall,0.0,0.0,0.0
daypart_micro_f1,0.0,0.0,0.0
gender_micro_precision,0.0,0.7906976744186046,0.7906976744186046
gender_micro_recall,0.0,0.9444444444444444,0.9444444444444444
gender_micro_f1,0.0,0.8607594936708861,0.8607594936708861
avoid_micro_precision,0.0,0.18181818181818182,0.18181818181818182
avoid_micro_recall,0.0,0.1,0.1
avoid_micro_f1,0.0,0.12903225806451613,0.12903225806451613
additional_micro_precision,0.0,0.0,0.0
additional_micro_recall,0.0,0.0,0.0
additional_micro_f1,0.0,0.0,0.0
intensity_accuracy,0.94,0.97,0.030000000000000027
longevity_accuracy,0.97,0.995,0.025000000000000022
positive_scent_eligible_count,39.0,39.0,0.0
positive_scent_micro_precision,0.9333333333333332,0.9444444444444444,0.011111111111111183
positive_scent_micro_recall,0.3043478260869565,0.3695652173913043,0.06521739130434784
positive_scent_micro_f1,0.4590163934426229,0.53125,0.0722336065573771
positive_season_eligible_count,10.0,10.0,0.0
positive_season_micro_precision,1.0,1.0,0.0
positive_season_micro_recall,1.0,1.0,0.0
positive_season_micro_f1,1.0,1.0,0.0
positive_daypart_eligible_count,0.0,0.0,0.0
positive_gender_eligible_count,36.0,36.0,0.0
positive_gender_micro_precision,0.0,0.8947368421052632,0.8947368421052632
positive_gender_micro_recall,0.0,0.9444444444444444,0.9444444444444444
positive_gender_micro_f1,0.0,0.918918918918919,0.918918918918919
positive_avoid_eligible_count,36.0,36.0,0.0
positive_avoid_micro_precision,0.0,0.2222222222222222,0.2222222222222222
positive_avoid_micro_recall,0.0,0.1,0.1
positive_avoid_micro_f1,0.0,0.13793103448275865,0.13793103448275865
positive_additional_eligible_count,170.0,170.0,0.0
positive_additional_micro_precision,0.0,0.0,0.0
positive_additional_micro_recall,0.0,0.0,0.0
positive_additional_micro_f1,0.0,0.0,0.0
positive_intensity_eligible_count,12.0,12.0,0.0
positive_intensity_accuracy,0.0,0.5833333333333334,0.5833333333333334
positive_longevity_eligible_count,6.0,6.0,0.0
positive_longevity_accuracy,0.0,0.8333333333333334,0.8333333333333334
scent_prediction_coverage,0.09,0.095,0.0050000000000000044
context_prediction_coverage,0.07,0.245,0.175
any_condition_prediction_coverage,0.155,0.33,0.17500000000000002
parser_error_count,0.0,0.0,0.0
gold_scent_preference_presence_count,39.0,39.0,0.0
gold_context_presence_count,43.0,43.0,0.0
gold_performance_presence_count,17.0,17.0,0.0
gold_avoid_presence_count,36.0,36.0,0.0
gold_additional_requirements_presence_count,170.0,170.0,0.0
pred_scent_preference_presence_count,18.0,19.0,1.0
pred_context_presence_count,14.0,49.0,35.0
pred_performance_presence_count,0.0,13.0,13.0
pred_avoid_presence_count,0.0,21.0,21.0
pred_additional_requirements_presence_count,0.0,0.0,0.0
