metric,value
total_queries,200.0
successful_queries,199.0
failed_queries,1.0
first_attempt_success_rate,0.99
api_failure_count,0.0
json_parse_failure_count,0.0
schema_validation_failure_count,4.0
retry_query_count,2.0
total_retry_count,3.0
final_unresolved_query_count,1.0
mean_latency,1.9604181425028946
median_latency,1.739377349964343
p95_latency,3.193674330005886
min_latency,1.3585429000668228
max_latency,8.413809000048786
total_prompt_tokens,127493.0
total_completion_tokens,17840.0
total_tokens,145333.0
estimated_cost,
