query_id,query_text,gold_scent,pred_scent,scent_match,gold_context,pred_context,context_match,gold_performance,pred_performance,performance_match,gold_avoid,pred_avoid,avoid_match,gold_additional,pred_additional,additional_match,overall_exact_match,api_status,parse_status,validation_status,error_components,error_type,llm_diagnostic,semantic_over_inference_candidate
UQ0001,비가 온 뒤의 숲같은 향을 찾고 있어,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""비가 온 뒤"",""숲""]","[""비가 온 뒤의 숲같은 향""]",False,False,success,success,success,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL,,False
UQ0002,시트러스 계열의 깔끔한 향의 향수가 있어?,"[""Citrus""]","[""citrus""]",True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""깔끔한""]","[""깔끔한 향""]",False,False,success,success,success,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL,,False
UQ0003,향수 가격 적당한 거 추천해줘. 그냥 구색 갖추려고 사는 거야.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""가격 적당"",""구색 갖추려고""]","[""가격 적당한 제품"",""그냥 구색 갖추려고 사는 목적""]",False,False,success,success,success,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL,,False
UQ0004,"여성스러운 향을 사고 싶은데, 너무 달콤한 건 싫어. 그런 향기가 있을까?",[],[],True,"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""season"":[],""daypart"":[],""gender"":[""female""]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""달콤한""]","[""too sweet""]",False,[],"[""여성스러운 향"",""너무 달콤한 건 싫어""]",False,False,success,success,success,"[""MISSED_AVOID"",""EXTRA_ADDITIONAL""]",MULTIPLE_ERRORS,,False
UQ0005,난 바닐라 향기가 좋은데. 너무 단 건 싫어.,"[""Vanilla""]","[""Vanilla""]",True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""너무 단""]","[""Too sweet""]",False,[],[],True,False,success,success,success,"[""MISSED_AVOID""]",MISSED_AVOID,,False
UQ0006,바다 냄새 나는 향수가 있나? 가능함?,"[""Sea Notes""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,[],"[""바다 냄새 나는 향수 가능 여부 문의""]",False,False,success,success,success,"[""MISSED_SCENT"",""EXTRA_ADDITIONAL""]",MULTIPLE_ERRORS,,False
UQ0007,30대 초반 남자가 쓰기 좋은 향수 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""season"":[],""daypart"":[],""gender"":[""male""]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""30대 초반""]","[""30대 초반 남자가 쓰기 좋은 향수""]",False,False,success,success,success,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL,,False
UQ0008,레몬 말고. 레몬 껍질 냄새나는 향수 있음?,"[""Lemon Peel"",""Lemon Zest""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],"[""lemon""]",False,[],"[""lemon peel scent""]",False,False,success,success,success,"[""MISSED_SCENT"",""EXTRA_AVOID"",""EXTRA_ADDITIONAL""]",MULTIPLE_ERRORS,,False
UQ0009,"중성적인 향수 뿌리고 싶어. 너무 여성스럽지 않되, 너무 남자 향수도 아니었으면 좋겠다.",[],[],True,"{""season"":[],""daypart"":[],""gender"":[""neuter""]}","{""season"":[],""daypart"":[],""gender"":[""neuter""]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,[],"[""너무 여성스럽지 않되, 너무 남자 향수도 아니었으면 좋겠다""]",False,False,success,success,success,"[""EXTRA_ADDITIONAL""]",EXTRA_ADDITIONAL,,False
UQ0010,"케이크 같으면서도, 너무 느끼하지 않고, 딱 맡았을 때 공주처럼 느껴지는 향수 그런 거 없음?","[""Cake""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""너무 느끼""]",[],False,"[""공주""]","[""케이크 같은 향"",""너무 느끼하지 않은 느낌"",""딱 맡았을 때 공주처럼 느껴지는 향""]",False,False,success,success,success,"[""MISSED_SCENT"",""MISSED_AVOID"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS,,False
UQ0011,나무 냄새 나는데 너무 절 냄새만 나면 안됨,"[""Trees""]","[""woody""]",False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""절 냄새""]","[""too strong only religious/temple-like scent""]",False,[],"[""나무 냄새가 나야 함"",""절(사찰) 냄새처럼 너무 한쪽으로만 강하게 나면 안 됨""]",False,False,success,success,success,"[""WRONG_SCENT"",""MISSED_AVOID"",""EXTRA_ADDITIONAL""]",MULTIPLE_ERRORS,,False
UQ0012,깨끗한 냄새 없나?,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""깨끗한 냄새""]","[""깨끗한 냄새""]",True,True,success,success,success,[],,,False
UQ0013,코코넛 향기 나는데 머리 너무 안 아팠으면 좋겠음,"[""Coconut""]","[""Coconut""]",True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""머리 너무 안 아팠으면""]","[""머리 안 아프게(두통이 없었으면 좋겠음)""]",False,False,success,success,success,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL,,False
UQ0014,나 향수를 잘 모르는데 혹시 추천해줄 수 있어?,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""잘 모르는데 혹시 추천""]","[""향수를 잘 모름"",""추천 요청""]",False,False,success,success,success,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL,,False
UQ0015,여름에 뿌릴 향수 추천 좀.,[],[],True,"{""season"":[""summer""],""daypart"":[],""gender"":[]}","{""season"":[""summer""],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,[],"[""여름에 뿌릴 향수 추천 요청""]",False,False,success,success,success,"[""EXTRA_ADDITIONAL""]",EXTRA_ADDITIONAL,,False
