metric,value
exact_match_count,12.0
exact_match_rate,0.06
overall_exact_match,0.06
scent_exact_match,0.85
context_exact_match,0.92
performance_exact_match,0.97
avoid_exact_match,0.81
additional_exact_match,0.095
context_season_exact_match,0.98
context_daypart_exact_match,0.965
context_gender_exact_match,0.975
performance_intensity_exact_match,0.975
performance_longevity_exact_match,0.995
scent_micro_precision,0.5652173913043478
scent_micro_recall,0.5652173913043478
scent_micro_f1,0.5652173913043478
season_micro_precision,0.5882352941176471
season_micro_recall,1.0
season_micro_f1,0.7407407407407407
daypart_micro_precision,0.0
daypart_micro_recall,0.0
daypart_micro_f1,0.0
gender_micro_precision,0.9142857142857143
gender_micro_recall,0.8888888888888888
gender_micro_f1,0.9014084507042254
avoid_micro_precision,0.0
avoid_micro_recall,0.0
avoid_micro_f1,0.0
additional_micro_precision,0.11458333333333333
additional_micro_recall,0.1213235294117647
additional_micro_f1,0.11785714285714285
intensity_accuracy,0.975
longevity_accuracy,0.995
positive_scent_eligible_count,39.0
positive_scent_micro_precision,0.7428571428571429
positive_scent_micro_recall,0.5652173913043478
positive_scent_micro_f1,0.6419753086419753
positive_season_eligible_count,10.0
positive_season_micro_precision,1.0
positive_season_micro_recall,1.0
positive_season_micro_f1,1.0
positive_daypart_eligible_count,0.0
positive_daypart_micro_precision,0.0
positive_daypart_micro_recall,0.0
positive_daypart_micro_f1,0.0
positive_gender_eligible_count,36.0
positive_gender_micro_precision,0.9411764705882353
positive_gender_micro_recall,0.8888888888888888
positive_gender_micro_f1,0.9142857142857143
positive_avoid_eligible_count,36.0
positive_avoid_micro_precision,0.0
positive_avoid_micro_recall,0.0
positive_avoid_micro_f1,0.0
positive_additional_eligible_count,170.0
positive_additional_micro_precision,0.12595419847328243
positive_additional_micro_recall,0.1213235294117647
positive_additional_micro_f1,0.12359550561797752
positive_intensity_eligible_count,12.0
positive_intensity_accuracy,0.75
positive_longevity_eligible_count,6.0
positive_longevity_accuracy,1.0
scent_prediction_coverage,0.185
context_prediction_coverage,0.24
any_condition_prediction_coverage,0.415
any_stage1_field_prediction_coverage,0.995
parser_error_count,1.0
