metric,current_rule,extended_rule,llm
exact_match_count,3.0,9.0,12.0
exact_match_rate,0.015,0.045,0.06
overall_exact_match,0.015,0.045,0.06
scent_exact_match,0.84,0.86,0.85
context_exact_match,0.805,0.93,0.92
performance_exact_match,0.915,0.97,0.97
avoid_exact_match,0.82,0.815,0.81
additional_exact_match,0.15,0.15,0.095
context_season_exact_match,0.99,0.99,0.98
context_daypart_exact_match,0.99,0.99,0.965
context_gender_exact_match,0.82,0.95,0.975
performance_intensity_exact_match,0.94,0.97,0.975
performance_longevity_exact_match,0.97,0.995,0.995
scent_micro_precision,0.7368421052631579,0.8095238095238095,0.5652173913043478
scent_micro_recall,0.3043478260869565,0.3695652173913043,0.5652173913043478
scent_micro_f1,0.4307692307692307,0.5074626865671641,0.5652173913043478
season_micro_precision,0.8333333333333334,0.8333333333333334,0.5882352941176471
season_micro_recall,1.0,1.0,1.0
season_micro_f1,0.9090909090909092,0.9090909090909092,0.7407407407407407
daypart_micro_precision,0.0,0.0,0.0
daypart_micro_recall,0.0,0.0,0.0
daypart_micro_f1,0.0,0.0,0.0
gender_micro_precision,0.0,0.7906976744186046,0.9142857142857143
gender_micro_recall,0.0,0.9444444444444444,0.8888888888888888
gender_micro_f1,0.0,0.8607594936708861,0.9014084507042254
avoid_micro_precision,0.0,0.1818181818181818,0.0
avoid_micro_recall,0.0,0.1,0.0
avoid_micro_f1,0.0,0.1290322580645161,0.0
additional_micro_precision,0.0,0.0,0.11458333333333333
additional_micro_recall,0.0,0.0,0.1213235294117647
additional_micro_f1,0.0,0.0,0.11785714285714285
intensity_accuracy,0.94,0.97,0.975
longevity_accuracy,0.97,0.995,0.995
positive_scent_eligible_count,39.0,39.0,39.0
positive_scent_micro_precision,0.9333333333333332,0.9444444444444444,0.7428571428571429
positive_scent_micro_recall,0.3043478260869565,0.3695652173913043,0.5652173913043478
positive_scent_micro_f1,0.4590163934426229,0.53125,0.6419753086419753
positive_season_eligible_count,10.0,10.0,10.0
positive_season_micro_precision,1.0,1.0,1.0
positive_season_micro_recall,1.0,1.0,1.0
positive_season_micro_f1,1.0,1.0,1.0
positive_daypart_eligible_count,0.0,0.0,0.0
positive_gender_eligible_count,36.0,36.0,36.0
positive_gender_micro_precision,0.0,0.8947368421052632,0.9411764705882353
positive_gender_micro_recall,0.0,0.9444444444444444,0.8888888888888888
positive_gender_micro_f1,0.0,0.918918918918919,0.9142857142857143
positive_avoid_eligible_count,36.0,36.0,36.0
positive_avoid_micro_precision,0.0,0.2222222222222222,0.0
positive_avoid_micro_recall,0.0,0.1,0.0
positive_avoid_micro_f1,0.0,0.1379310344827586,0.0
positive_additional_eligible_count,170.0,170.0,170.0
positive_additional_micro_precision,0.0,0.0,0.12595419847328243
positive_additional_micro_recall,0.0,0.0,0.1213235294117647
positive_additional_micro_f1,0.0,0.0,0.12359550561797752
positive_intensity_eligible_count,12.0,12.0,12.0
positive_intensity_accuracy,0.0,0.5833333333333334,0.75
positive_longevity_eligible_count,6.0,6.0,6.0
positive_longevity_accuracy,0.0,0.8333333333333334,1.0
scent_prediction_coverage,0.09,0.095,0.185
context_prediction_coverage,0.07,0.245,0.24
any_condition_prediction_coverage,0.155,0.33,0.415
parser_error_count,0.0,0.0,1.0
