accord,perfume_count,occurrence_count,match_status,matched_ifra_term,matched_ifra_level,alias_candidate,notes
woody,81432,81432,MATCH_EXACT_PRIMARY,Woody,PRIMARY,,
powdery,62885,62885,MATCH_EXACT_PRIMARY,Powdery,PRIMARY,,
sweet,60625,60625,MATCH_EXACT_SECONDARY,Sweet,SECONDARY,,
citrus,59969,59969,MATCH_EXACT_PRIMARY,Citrus,PRIMARY,,
aromatic,54606,54606,MATCH_EXACT_PRIMARY,Aromatic,PRIMARY,,
fresh spicy,47271,47271,UNMATCHED,,,,
floral,46586,46586,MATCH_EXACT_PRIMARY,Floral,PRIMARY,,
amber,45478,45478,MATCH_EXACT_PRIMARY,Amber,PRIMARY,,
warm spicy,45319,45319,UNMATCHED,,,,
fruity,43222,43222,MATCH_EXACT_PRIMARY,Fruity,PRIMARY,,
musky,41154,41154,UNMATCHED,,,Musk Like,adjectival-form candidate
white floral,39497,39497,UNMATCHED,,,,
vanilla,34562,34562,MATCH_EXACT_SECONDARY,Vanilla,SECONDARY,,
fresh,33478,33478,MATCH_EXACT_SECONDARY,Fresh,SECONDARY,,
green,29755,29755,MATCH_EXACT_PRIMARY,Green,PRIMARY,,
rose,25617,25617,MATCH_EXACT_SECONDARY,Rose,SECONDARY,,
earthy,19049,19049,MATCH_EXACT_PRIMARY,Earthy,PRIMARY,,
animalic,18242,18242,UNMATCHED,,,Animal Like,common descriptor wording candidate
balsamic,18162,18162,MATCH_EXACT_PRIMARY,Balsamic,PRIMARY,,
patchouli,14822,14822,MATCH_EXACT_SECONDARY,Patchouli,SECONDARY,,
soft spicy,13661,13661,UNMATCHED,,,,
leather,10809,10809,UNMATCHED,,,,
aquatic,8872,8872,UNMATCHED,,,,
herbal,8607,8607,MATCH_EXACT_PRIMARY,Herbal,PRIMARY,,
lavender,8336,8336,MATCH_EXACT_SECONDARY,Lavender,SECONDARY,,
oud,8298,8298,UNMATCHED,,,Agarwood,common perfume-note synonym
violet,7614,7614,MATCH_EXACT_SECONDARY,Violet,SECONDARY,,
iris,7451,7451,MATCH_EXACT_SECONDARY,Iris,SECONDARY,,
smoky,7407,7407,MATCH_EXACT_PRIMARY,Smoky,PRIMARY,,
lactonic,7015,7015,MATCH_EXACT_SECONDARY,Lactonic,SECONDARY,,
yellow floral,6986,6986,UNMATCHED,,,,
tropical,6512,6512,UNMATCHED,,,,
mossy,6173,6173,MATCH_EXACT_SECONDARY,Mossy,SECONDARY,,
ozonic,5777,5777,MATCH_EXACT_PRIMARY,Ozonic,PRIMARY,,
tobacco,4372,4372,MATCH_EXACT_SECONDARY,Tobacco,SECONDARY,,
marine,4326,4326,MATCH_EXACT_PRIMARY,Marine,PRIMARY,,
cinnamon,4259,4259,MATCH_EXACT_SECONDARY,Cinnamon,SECONDARY,,
caramel,4008,4008,MATCH_EXACT_SECONDARY,Caramel,SECONDARY,,
tuberose,3931,3931,MATCH_EXACT_SECONDARY,Tuberose,SECONDARY,,
nutty,3619,3619,MATCH_EXACT_SECONDARY,Nutty,SECONDARY,,
aldehydic,3556,3556,MATCH_EXACT_PRIMARY,Aldehydic,PRIMARY,,
honey,3467,3467,MATCH_EXACT_PRIMARY,Honey,PRIMARY,,
almond,3438,3438,MATCH_EXACT_SECONDARY,Almond,SECONDARY,,
coconut,3269,3269,MATCH_EXACT_SECONDARY,Coconut,SECONDARY,,
salty,2520,2520,UNMATCHED,,,,
metallic,2235,2235,MATCH_EXACT_SECONDARY,Metallic,SECONDARY,,
cacao,2035,2035,UNMATCHED,,,,
sour,1912,1912,MATCH_EXACT_SECONDARY,Sour,SECONDARY,,
conifer,1828,1828,UNMATCHED,,,,
coffee,1815,1815,MATCH_EXACT_SECONDARY,Coffee,SECONDARY,,
cherry,1803,1803,MATCH_EXACT_SECONDARY,Cherry,SECONDARY,,
soapy,1720,1720,MATCH_EXACT_SECONDARY,Soapy,SECONDARY,,
chocolate,1554,1554,MATCH_EXACT_SECONDARY,Chocolate,SECONDARY,,
anis,1418,1418,UNMATCHED,,,,
rum,1166,1166,MATCH_EXACT_SECONDARY,Rum,SECONDARY,,
