accord,perfume_count,occurrence_count
woody,81432,81432
powdery,62885,62885
sweet,60625,60625
citrus,59969,59969
aromatic,54606,54606
fresh spicy,47271,47271
floral,46586,46586
amber,45478,45478
warm spicy,45319,45319
fruity,43222,43222
musky,41154,41154
white floral,39497,39497
vanilla,34562,34562
fresh,33478,33478
green,29755,29755
rose,25617,25617
earthy,19049,19049
animalic,18242,18242
balsamic,18162,18162
patchouli,14822,14822
soft spicy,13661,13661
leather,10809,10809
aquatic,8872,8872
herbal,8607,8607
lavender,8336,8336
oud,8298,8298
violet,7614,7614
iris,7451,7451
smoky,7407,7407
lactonic,7015,7015
yellow floral,6986,6986
tropical,6512,6512
mossy,6173,6173
ozonic,5777,5777
tobacco,4372,4372
marine,4326,4326
cinnamon,4259,4259
caramel,4008,4008
tuberose,3931,3931
nutty,3619,3619
aldehydic,3556,3556
honey,3467,3467
almond,3438,3438
coconut,3269,3269
salty,2520,2520
metallic,2235,2235
cacao,2035,2035
sour,1912,1912
conifer,1828,1828
coffee,1815,1815
cherry,1803,1803
soapy,1720,1720
chocolate,1554,1554
anis,1418,1418
rum,1166,1166
bitter,1034,1034
whiskey,808,808
camphor,793,793
mineral,770,770
savory,654,654
terpenic,557,557
cannabis,388,388
beeswax,349,349
Champagne,311,311
wine,236,236
sand,215,215
alcohol,154,154
gourmand,151,151
oily,132,132
coca-cola,90,90
vodka,87,87
paper,58,58
clay,43,43
plastic,39,39
vinyl,37,37
asphault,29,29
gasoline,25,25
rubber,21,21
milky,20,20
industrial glue,12,12
hot iron,10,10
sake,9,9
spice,8,8
bacon,7,7
varnish,5,5
Pear,4,4
meat,4,4
bbq,3,3
tennis ball,3,3
wet plaster,2,2
brown scotch tape,1,1
foresty,1,1
