note,perfume_count,occurrence_count
Musk,49244,49571
Amber,36671,36972
Bergamot,36337,36364
Vanilla,35628,36042
Sandalwood,34292,34458
Jasmine,33686,33952
Patchouli,32473,32676
Rose,27804,28270
Cedar,22305,22502
Vetiver,17674,17746
Lemon,14685,14727
Tonka Bean,14188,14228
Lavender,12996,13154
Mandarin Orange,11646,11652
Orange Blossom,11479,11545
Leather,10626,10754
Cardamom,10562,10582
Pink Pepper,10387,10395
Violet,9921,9972
Grapefruit,9759,9770
Iris,9451,9528
Oakmoss,8737,8763
Geranium,8423,8437
Saffron,8393,8447
White Musk,8339,8371
Woody Notes,8278,8385
Orange,8200,8221
Cinnamon,8039,8066
Peach,7921,7956
Lily-of-the-Valley,7339,7366
Labdanum,7131,7213
Ylang-Ylang,7086,7111
Benzoin,7033,7045
Incense,7023,7115
Ginger,6847,6882
Neroli,6490,6520
Ambergris,6452,6499
Nutmeg,6277,6291
Raspberry,6229,6260
Pear,6133,6149
Tuberose,6058,6130
Agarwood (Oud),5939,6134
Apple,5727,5736
Freesia,5683,5696
Black Currant,5560,5566
Peony,5269,5288
Tobacco,5072,5156
Citruses,4982,4993
Black Pepper,4795,4807
Cedarwood,4766,4784
Caramel,4734,4783
Magnolia,4621,4630
Mint,4605,4627
Green Notes,4529,4538
Floral Notes,4436,4505
Pepper,4316,4335
Moss,4302,4310
Pineapple,4299,4313
Heliotrope,4180,4192
Gardenia,4004,4045
Guaiac Wood,3983,3989
Honey,3974,4005
Coconut,3886,3934
Lime,3838,3842
Oud,3780,3895
Plum,3763,3774
Coriander,3744,3757
Sage,3530,3542
Woodsy Notes,3240,3250
Olibanum,3213,3260
Rosemary,3207,3215
Lily of the Valley,3105,3118
Ambroxan,3051,3062
Lily,3044,3066
Aldehydes,3019,3024
Jasmine Sambac,2948,2952
Spices,2884,2899
Mandarin,2875,2880
Basil,2857,2869
Osmanthus,2850,2867
Violet Leaf,2849,2850
Orchid,2814,2824
Tangerine,2765,2767
Petitgrain,2750,2755
Almond,2713,2729
Myrrh,2709,2722
Galbanum,2707,2716
Virginia Cedar,2694,2695
Cashmere Wood,2688,2691
Cypress,2630,2651
Carnation,2588,2605
Clary Sage,2541,2545
Fruity Notes,2476,2493
Coffee,2469,2508
Cashmeran,2386,2388
Cloves,2381,2390
Orris,2380,2397
White Flowers,2317,2323
Spicy Notes,2213,2240
Sea Notes,2183,2193
Praline,2164,2171
Orris Root,2137,2150
Bulgarian Rose,2122,2131
Clove,2098,2103
Sugar,2094,2116
Mimosa,2076,2085
Cassis,2045,2045
