primary_descriptor,secondary_descriptor,count
Floral,Rose,145
Floral,Green,144
Fruity,Green,114
Fruity,Sweet,91
Floral,Fruity,83
Floral,Sweet,82
Green,Floral,76
Fruity,Apple,74
Floral,Jasmin,68
Citrus,Fresh,63
Herbal,Green,63
Woody,Amber,63
Fruity,Floral,61
Fruity,Pineapple,55
Citrus,Lemon,51
Woody,Dry,51
Floral,Fresh,50
Green,Fruity,47
Herbal,Fresh,45
Woody,Cedarwood,45
Floral,Muguet,44
Floral,Neroli,44
Floral,Citrus,43
Fruity,Pear,43
Herbal,Camphoraceous,43
Citrus,Fruity,41
Floral,Herbal,40
Herbal,Pine,40
Citrus,Orange,38
Spicy,Warm,38
Woody,Sandalwood,36
Herbal,Aromatic,35
Minty,Herbal,35
Fruity,Fresh,34
Spicy,Balsamic,34
Woody,Earthy,34
Floral,Violet,33
Floral,Woody,33
Herbal,Minty,33
Musk Like,Powdery,33
Gourmand,Sweet,32
Herbal,Floral,32
Woody,Balsamic,32
Citrus,Green,31
Amber,Woody,30
Green,Herbal,30
Spicy,Woody,30
Citrus,Herbal,29
Floral,Balsamic,29
Fruity,Peach,29
Spicy,Peppery,29
Fruity,Tropical Fruit,28
Herbal,Woody,28
Gourmand,Caramel,27
Green,Fresh,27
Herbal,Fruity,27
Spicy,Cinnamon,27
Spicy,Sweet,27
Woody,Floral,26
Woody,Smoky,26
Balsamic,Floral,25
Herbal,Spicy,25
Aromatic,Pine,24
Citrus,Floral,24
Citrus,Grapefruit,24
Floral,Geranium,24
Fruity,Berry,24
Minty,Fresh,24
Aldehydic,Green,23
Floral,Powdery,23
Floral,Spicy,23
Woody,Vetiver,23
Amber,Dry,22
Floral,Lavender,22
Gourmand,Nutty,22
Herbal,Citrus,22
Herbal,Lavender,22
Woody,Patchouli,22
Woody,Warm,22
Floral,Honey,21
Food Like,Nutty,21
Fruity,Woody,21
Woody,Fresh,21
Aromatic,Woody,20
Citrus,Lime,20
Fruity,Oily,20
Green,Aldehydic,20
Green,Oily,20
Musk Like,Floral,20
Fruity,Banana,19
Fruity,Citrus,19
Green,Cucumber,19
Woody,Peppery,19
Floral,Ylang,18
Fruity,Blackcurrant,18
Green,Citrus,18
Spicy,Floral,18
Woody,Sweet,18
Fruity,Raspberry,17
Woody,Mossy,17
Balsamic,Amber,16
