primary_descriptor,count,percentage
Floral,613,0.19653735171529335
Fruity,488,0.1564604039756332
Woody,330,0.10580314203270279
Herbal,284,0.09105482526450785
Green,248,0.07951266431548573
Citrus,222,0.07117665918563643
Spicy,183,0.058672651490862454
Gourmand,113,0.036229560756652776
Balsamic,71,0.022763706316126963
Minty,69,0.0221224751522924
Musk Like,62,0.019878166078871433
Aldehydic,60,0.01923693491503687
Food Like,53,0.016992625841615903
Amber,51,0.01635139467778134
Aromatic,47,0.015068932350112215
Powdery,32,0.010259698621352998
Animal Like,29,0.009297851875601153
Sulfurous,28,0.008977236293683874
Acidic,22,0.007053542802180186
Anisic,22,0.007053542802180186
Earthy,20,0.006412311638345623
Smoky,16,0.005129849310676499
Tobacco Like,16,0.005129849310676499
Camphoraceous,14,0.004488618146841937
Marine,12,0.0038473869830073742
Ozonic,8,0.0025649246553382495
Honey,6,0.0019236934915036871
