secondary_descriptor,count,percentage,ingredient_count,descriptor_2_count,descriptor_3_count
Green,434,0.06957358127605001,434,177,257
Sweet,352,0.05642834241744149,352,224,128
Floral,329,0.05274126322539276,329,156,173
Fresh,304,0.04873356845142674,304,178,126
Fruity,276,0.0442449503045848,276,135,141
Herbal,200,0.032061558191728116,200,88,112
Woody,197,0.0315806348188522,197,88,109
Rose,180,0.028855402372555305,180,130,50
Citrus,135,0.02164155177941648,135,49,86
Balsamic,133,0.0213209361974992,133,67,66
Spicy,116,0.018595703751202307,116,51,65
Warm,116,0.018595703751202307,116,55,61
Dry,111,0.017794164796409107,111,23,88
Apple,96,0.015389547932029497,96,52,44
Powdery,91,0.014588008977236293,91,26,65
Amber,88,0.014107085604360373,88,54,34
Pine,85,0.01362616223148445,85,53,32
Jasmin,82,0.013145238858608528,82,40,42
Camphoraceous,74,0.011862776530939404,74,37,37
Oily,72,0.011542160949022122,72,25,47
Earthy,70,0.01122154536710484,70,42,28
Violet,65,0.010420006412311639,65,36,29
Nutty,63,0.010099390830394357,62,37,26
Aromatic,62,0.009939083039435716,62,39,23
Pear,61,0.009778775248477076,60,17,44
Pineapple,60,0.009618467457518435,60,25,35
Minty,58,0.009297851875601153,58,25,33
Peppery,56,0.008977236293683874,56,39,17
Lemon,54,0.008656620711766592,54,37,17
Aldehydic,53,0.008496312920807951,53,18,35
Orange,52,0.00833600512984931,52,31,21
Muguet,51,0.00817569733889067,51,32,19
Lavender,50,0.008015389547932029,50,32,18
Cedarwood,48,0.0076947739660147485,48,33,15
Neroli,48,0.0076947739660147485,48,36,12
Creamy,47,0.007534466175056108,47,19,28
Vanilla,45,0.007213850593138826,45,21,24
Honey,44,0.007053542802180186,44,13,31
Smoky,43,0.0068932350112215456,43,18,25
Grapefruit,42,0.006732927220262905,42,22,20
Waxy,41,0.006572619429304264,41,21,20
Sandalwood,36,0.005771080474511061,36,27,9
Peach,35,0.00561077268355242,35,16,19
Caramel,34,0.0054504648925937805,34,18,16
Leathery,34,0.0054504648925937805,34,15,19
Tropical Fruit,34,0.0054504648925937805,34,15,19
Cinnamon,31,0.004969541519717858,31,14,17
Hay,31,0.004969541519717858,31,20,11
Geranium,30,0.0048092337287592175,30,10,20
Berry,29,0.004648925937800577,29,15,14
Animal Like,28,0.004488618146841937,28,17,11
Anisic,27,0.004328310355883296,27,14,13
Phenolic,27,0.004328310355883296,27,17,10
Roasted,26,0.004168002564924655,26,10,16
Tobacco,26,0.004168002564924655,26,4,22
Vetiver,26,0.004168002564924655,26,15,11
Coconut,25,0.0040076947739660146,25,11,14
Plum,25,0.0040076947739660146,25,9,16
Vegetable,25,0.0040076947739660146,25,10,15
Patchouli,24,0.0038473869830073742,24,9,15
Ylang,23,0.0036870791920487335,23,10,13
Banana,22,0.003526771401090093,22,9,13
Hyacinth,22,0.003526771401090093,22,11,11
Lime,22,0.003526771401090093,22,15,7
Milky,22,0.003526771401090093,22,5,17
Mossy,22,0.003526771401090093,22,19,3
Coffee,21,0.0033664636101314524,21,13,8
Cucumber,21,0.0033664636101314524,21,12,9
Soft,21,0.0033664636101314524,21,12,9
Blackcurrant,20,0.0032061558191728116,20,15,5
Almond,19,0.0030458480282141713,19,8,11
Fermented,19,0.0030458480282141713,19,7,12
Leafy,19,0.0030458480282141713,19,8,11
Mandarin,18,0.0028855402372555306,18,13,5
Medicinal,18,0.0028855402372555306,18,9,9
Melon,18,0.0028855402372555306,18,7,11
