secondary_descriptor,primary_descriptor,count,share
Acidic,Sulfurous,2,0.6666666666666666
Acidic,Gourmand,1,0.3333333333333333
Aldehydic,Green,20,0.37735849056603776
Aldehydic,Floral,13,0.24528301886792453
Aldehydic,Citrus,9,0.16981132075471697
Aldehydic,Marine,3,0.05660377358490566
Aldehydic,Fruity,2,0.03773584905660377
Aldehydic,Ozonic,2,0.03773584905660377
Aldehydic,Acidic,1,0.018867924528301886
Aldehydic,Camphoraceous,1,0.018867924528301886
Aldehydic,Herbal,1,0.018867924528301886
Aldehydic,Minty,1,0.018867924528301886
Almond,Fruity,4,0.21052631578947367
Almond,Floral,3,0.15789473684210525
Almond,Gourmand,3,0.15789473684210525
Almond,Green,2,0.10526315789473684
Almond,Powdery,2,0.10526315789473684
Almond,Spicy,2,0.10526315789473684
Almond,Anisic,1,0.05263157894736842
Almond,Food Like,1,0.05263157894736842
Almond,Woody,1,0.05263157894736842
Amber,Woody,63,0.7159090909090909
Amber,Balsamic,16,0.18181818181818182
Amber,Animal Like,4,0.045454545454545456
Amber,Musk Like,3,0.03409090909090909
Amber,Fruity,1,0.011363636363636364
Amber,Spicy,1,0.011363636363636364
Animal Like,Musk Like,8,0.2857142857142857
Animal Like,Floral,6,0.21428571428571427
Animal Like,Woody,6,0.21428571428571427
Animal Like,Acidic,2,0.07142857142857142
Animal Like,Amber,2,0.07142857142857142
Animal Like,Balsamic,1,0.03571428571428571
Animal Like,Herbal,1,0.03571428571428571
Animal Like,Smoky,1,0.03571428571428571
Animal Like,Spicy,1,0.03571428571428571
Anisic,Herbal,7,0.25925925925925924
Anisic,Floral,6,0.2222222222222222
Anisic,Fruity,4,0.14814814814814814
Anisic,Spicy,3,0.1111111111111111
Anisic,Balsamic,2,0.07407407407407407
Anisic,Gourmand,2,0.07407407407407407
Anisic,Powdery,2,0.07407407407407407
Anisic,Green,1,0.037037037037037035
Apple,Fruity,74,0.7708333333333334
Apple,Green,16,0.16666666666666666
Apple,Floral,2,0.020833333333333332
Apple,Woody,2,0.020833333333333332
Apple,Herbal,1,0.010416666666666666
Apple,Musk Like,1,0.010416666666666666
Apricot,Fruity,9,0.9
Apricot,Floral,1,0.1
Aromatic,Herbal,35,0.5645161290322581
Aromatic,Spicy,15,0.24193548387096775
Aromatic,Floral,4,0.06451612903225806
Aromatic,Minty,3,0.04838709677419355
Aromatic,Fruity,2,0.03225806451612903
Aromatic,Amber,1,0.016129032258064516
Aromatic,Green,1,0.016129032258064516
Aromatic,Woody,1,0.016129032258064516
Artemisia,Camphoraceous,2,0.5
Artemisia,Herbal,2,0.5
Balsamic,Spicy,34,0.2556390977443609
Balsamic,Woody,32,0.24060150375939848
Balsamic,Floral,29,0.21804511278195488
Balsamic,Fruity,10,0.07518796992481203
Balsamic,Amber,7,0.05263157894736842
Balsamic,Herbal,6,0.045112781954887216
Balsamic,Musk Like,5,0.03759398496240601
Balsamic,Animal Like,2,0.015037593984962405
Balsamic,Aldehydic,1,0.007518796992481203
Balsamic,Anisic,1,0.007518796992481203
Balsamic,Citrus,1,0.007518796992481203
Balsamic,Earthy,1,0.007518796992481203
Balsamic,Green,1,0.007518796992481203
Balsamic,Minty,1,0.007518796992481203
Balsamic,Powdery,1,0.007518796992481203
Balsamic,Smoky,1,0.007518796992481203
Banana,Fruity,19,0.8636363636363636
Banana,Green,2,0.09090909090909091
Banana,Floral,1,0.045454545454545456
Basil,Herbal,2,1.0
Bayleaf,Spicy,1,1.0
Bell Pepper,Green,1,0.5
Bell Pepper,Herbal,1,0.5
Bergamot,Citrus,5,0.5
Bergamot,Floral,2,0.2
Bergamot,Fruity,2,0.2
Bergamot,Herbal,1,0.1
Berry,Fruity,24,0.8275862068965517
Berry,Musk Like,2,0.06896551724137931
Berry,Floral,1,0.034482758620689655
Berry,Gourmand,1,0.034482758620689655
Berry,Herbal,1,0.034482758620689655
Bitter,Citrus,1,1.0
Blackcurrant,Fruity,18,0.9
Blackcurrant,Herbal,1,0.05
Blackcurrant,Sulfurous,1,0.05
Blueberry,Fruity,2,1.0
Brandy,Fruity,2,1.0
Bread,Food Like,1,1.0
Burnt,Woody,3,0.42857142857142855
Burnt,Acidic,1,0.14285714285714285
Burnt,Fruity,1,0.14285714285714285
Burnt,Gourmand,1,0.14285714285714285
Burnt,Smoky,1,0.14285714285714285
Butterscotch,Gourmand,2,1.0
Buttery,Gourmand,7,0.4375
Buttery,Food Like,3,0.1875
Buttery,Fruity,3,0.1875
Buttery,Acidic,2,0.125
Buttery,Floral,1,0.0625
Cabbage,Food Like,1,0.3333333333333333
Cabbage,Green,1,0.3333333333333333
Cabbage,Sulfurous,1,0.3333333333333333
Camphoraceous,Herbal,43,0.581081081081081
Camphoraceous,Minty,9,0.12162162162162163
Camphoraceous,Woody,9,0.12162162162162163
Camphoraceous,Aromatic,5,0.06756756756756757
Camphoraceous,Spicy,4,0.05405405405405406
Camphoraceous,Earthy,2,0.02702702702702703
Camphoraceous,Citrus,1,0.013513513513513514
Camphoraceous,Green,1,0.013513513513513514
Caramel,Gourmand,27,0.7941176470588235
Caramel,Fruity,6,0.17647058823529413
Caramel,Spicy,1,0.029411764705882353
Caraway,Minty,1,1.0
Carnation,Floral,2,0.6666666666666666
Carnation,Spicy,1,0.3333333333333333
Carrot,Woody,2,0.5
Carrot,Green,1,0.25
Carrot,Spicy,1,0.25
Cassis,Fruity,3,0.75
Cassis,Floral,1,0.25
Cedarwood,Woody,45,0.9375
Cedarwood,Amber,1,0.020833333333333332
Cedarwood,Floral,1,0.020833333333333332
Cedarwood,Herbal,1,0.020833333333333332
Celery,Herbal,5,0.7142857142857143
Celery,Floral,1,0.14285714285714285
Celery,Woody,1,0.14285714285714285
Chamomile,Floral,4,0.5
Chamomile,Herbal,4,0.5
Cheesy,Acidic,9,0.75
Cheesy,Food Like,3,0.25
Cherry,Fruity,5,0.5555555555555556
Cherry,Gourmand,2,0.2222222222222222
Cherry,Anisic,1,0.1111111111111111
Cherry,Floral,1,0.1111111111111111
Cherry Blossom,Floral,2,1.0
Chilli Pepper,Spicy,1,1.0
Chocolate,Gourmand,10,0.7142857142857143
Chocolate,Fruity,3,0.21428571428571427
Chocolate,Aldehydic,1,0.07142857142857142
Cinnamon,Spicy,27,0.8709677419354839
Cinnamon,Balsamic,3,0.0967741935483871
Cinnamon,Citrus,1,0.03225806451612903
