note,perfume_count,occurrence_count,strict_match_status,strict_matched_term,strict_ifra_level,material_family_candidate,alias_candidate,final_auto_status
Musk,49244,49571,UNMATCHED,,,,Musk Like,CANDIDATE_ONLY
Amber,36671,36972,MATCH_PRIMARY_DESCRIPTOR,Amber,PRIMARY_DESCRIPTOR,,,STRICT_MATCH
Bergamot,36337,36364,MATCH_SECONDARY_DESCRIPTOR,Bergamot,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Vanilla,35628,36042,MATCH_SECONDARY_DESCRIPTOR,Vanilla,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Sandalwood,34292,34458,MATCH_SECONDARY_DESCRIPTOR,Sandalwood,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Jasmine,33686,33952,UNMATCHED,,,Jasmine absolute | Jasmine CO2 extract | Jasmine concrete | Jasmine concrete (waxes twice extracted) | Jasmine oil,,CANDIDATE_ONLY
Patchouli,32473,32676,MATCH_PRINCIPAL_EXACT,Patchouli,PRINCIPAL,,,STRICT_MATCH
Rose,27804,28270,MATCH_PRINCIPAL_EXACT,Rose,PRINCIPAL,,,STRICT_MATCH
Cedar,22305,22502,UNMATCHED,,,"Cedar leaf oil | Cedar leaf oil, China | Cedar leaf oil, East Canada | Cedar leaf oil, rectified",Cedarwood,CANDIDATE_ONLY
Vetiver,17674,17746,MATCH_SECONDARY_DESCRIPTOR,Vetiver,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Lemon,14685,14727,MATCH_SECONDARY_DESCRIPTOR,Lemon,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Tonka Bean,14188,14228,UNMATCHED,,,Tonka bean absolute | Tonka bean extract | Tonka bean resinoid | Tonka bean tincture,,CANDIDATE_ONLY
Lavender,12996,13154,MATCH_PRINCIPAL_EXACT,Lavender,PRINCIPAL,,,STRICT_MATCH
Mandarin Orange,11646,11652,UNMATCHED,,,,,UNMATCHED
Orange Blossom,11479,11545,UNMATCHED,,,,,UNMATCHED
Leather,10626,10754,UNMATCHED,,,,,UNMATCHED
Cardamom,10562,10582,UNMATCHED,,,Cardamom seed absolute | Cardamom seed CO2 extract | Cardamom seed distillate | Cardamom seed extract | Cardamom seed oil,,CANDIDATE_ONLY
Pink Pepper,10387,10395,UNMATCHED,,,,,UNMATCHED
Violet,9921,9972,MATCH_SECONDARY_DESCRIPTOR,Violet,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Grapefruit,9759,9770,MATCH_SECONDARY_DESCRIPTOR,Grapefruit,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Iris,9451,9528,MATCH_SECONDARY_DESCRIPTOR,Iris,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Oakmoss,8737,8763,UNMATCHED,,,Oakmoss absolute | Oakmoss absolute (low atranol & chloratranol) | Oakmoss extract,,CANDIDATE_ONLY
Geranium,8423,8437,MATCH_SECONDARY_DESCRIPTOR,Geranium,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Saffron,8393,8447,MATCH_SECONDARY_DESCRIPTOR,Saffron,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
White Musk,8339,8371,UNMATCHED,,,,,UNMATCHED
Woody Notes,8278,8385,UNMATCHED,,,,,UNMATCHED
Orange,8200,8221,MATCH_SECONDARY_DESCRIPTOR,Orange,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Cinnamon,8039,8066,MATCH_SECONDARY_DESCRIPTOR,Cinnamon,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Peach,7921,7956,MATCH_SECONDARY_DESCRIPTOR,Peach,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Lily-of-the-Valley,7339,7366,UNMATCHED,,,,,UNMATCHED
Labdanum,7131,7213,MATCH_SECONDARY_DESCRIPTOR,Labdanum,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Ylang-Ylang,7086,7111,UNMATCHED,,,"Ylang ylang absolute | Ylang ylang oil | Ylang ylang oil (low para cresol methylether) | Ylang ylang oil extra | Ylang ylang oil I | Ylang ylang oil II | Ylang ylang oil III | Ylang ylang oil, rectified | Ylang ylang oil, terpene-free | Ylang-ylang extract",,CANDIDATE_ONLY
Benzoin,7033,7045,MATCH_PRINCIPAL_EXACT,Benzoin,PRINCIPAL,,,STRICT_MATCH
Incense,7023,7115,MATCH_SECONDARY_DESCRIPTOR,Incense,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Ginger,6847,6882,MATCH_PRINCIPAL_EXACT,Ginger,PRINCIPAL,,,STRICT_MATCH
Neroli,6490,6520,MATCH_SECONDARY_DESCRIPTOR,Neroli,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Ambergris,6452,6499,UNMATCHED,,,Ambergris tincture,,CANDIDATE_ONLY
Nutmeg,6277,6291,MATCH_PRINCIPAL_EXACT,Nutmeg,PRINCIPAL,,,STRICT_MATCH
Raspberry,6229,6260,MATCH_SECONDARY_DESCRIPTOR,Raspberry,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Pear,6133,6149,MATCH_SECONDARY_DESCRIPTOR,Pear,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Tuberose,6058,6130,MATCH_SECONDARY_DESCRIPTOR,Tuberose,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Agarwood (Oud),5939,6134,UNMATCHED,,,,Agarwood,CANDIDATE_ONLY
Apple,5727,5736,MATCH_SECONDARY_DESCRIPTOR,Apple,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Freesia,5683,5696,UNMATCHED,,,,,UNMATCHED
Black Currant,5560,5566,UNMATCHED,,,,,UNMATCHED
Peony,5269,5288,MATCH_SECONDARY_DESCRIPTOR,Peony,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Tobacco,5072,5156,MATCH_SECONDARY_DESCRIPTOR,Tobacco,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Citruses,4982,4993,UNMATCHED,,,,,UNMATCHED
Black Pepper,4795,4807,UNMATCHED,,,,,UNMATCHED
Cedarwood,4766,4784,MATCH_SECONDARY_DESCRIPTOR,Cedarwood,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Caramel,4734,4783,MATCH_SECONDARY_DESCRIPTOR,Caramel,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Magnolia,4621,4630,MATCH_SECONDARY_DESCRIPTOR,Magnolia,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Mint,4605,4627,UNMATCHED,,,,,UNMATCHED
Green Notes,4529,4538,UNMATCHED,,,,,UNMATCHED
Floral Notes,4436,4505,UNMATCHED,,,,,UNMATCHED
Pepper,4316,4335,UNMATCHED,,,"Pepper oil black, terpene-free",,CANDIDATE_ONLY
Moss,4302,4310,UNMATCHED,,,,,UNMATCHED
Pineapple,4299,4313,MATCH_SECONDARY_DESCRIPTOR,Pineapple,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Heliotrope,4180,4192,MATCH_SECONDARY_DESCRIPTOR,Heliotrope,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Gardenia,4004,4045,MATCH_SECONDARY_DESCRIPTOR,Gardenia,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Guaiac Wood,3983,3989,UNMATCHED,,,"Guaiac wood oil | Guaiac wood oil saponified | Guaiac wood oil, rectified",,CANDIDATE_ONLY
Honey,3974,4005,MATCH_PRIMARY_DESCRIPTOR,Honey,PRIMARY_DESCRIPTOR,,,STRICT_MATCH
Coconut,3886,3934,MATCH_SECONDARY_DESCRIPTOR,Coconut,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Lime,3838,3842,MATCH_SECONDARY_DESCRIPTOR,Lime,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Oud,3780,3895,UNMATCHED,,,,Agarwood,CANDIDATE_ONLY
Plum,3763,3774,MATCH_SECONDARY_DESCRIPTOR,Plum,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Coriander,3744,3757,MATCH_SECONDARY_DESCRIPTOR,Coriander,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Sage,3530,3542,MATCH_SECONDARY_DESCRIPTOR,Sage,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Woodsy Notes,3240,3250,UNMATCHED,,,,,UNMATCHED
Olibanum,3213,3260,UNMATCHED,,,"Olibanum absolute | Olibanum extract | Olibanum oil | Olibanum oil, rectified | Olibanum resinoid",,CANDIDATE_ONLY
Rosemary,3207,3215,MATCH_SECONDARY_DESCRIPTOR,Rosemary,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
