note,perfume_count,occurrence_count,strict_match_status,final_auto_status
Mandarin Orange,11646,11652,UNMATCHED,UNMATCHED
Orange Blossom,11479,11545,UNMATCHED,UNMATCHED
Leather,10626,10754,UNMATCHED,UNMATCHED
Pink Pepper,10387,10395,UNMATCHED,UNMATCHED
White Musk,8339,8371,UNMATCHED,UNMATCHED
Woody Notes,8278,8385,UNMATCHED,UNMATCHED
Lily-of-the-Valley,7339,7366,UNMATCHED,UNMATCHED
Freesia,5683,5696,UNMATCHED,UNMATCHED
Black Currant,5560,5566,UNMATCHED,UNMATCHED
Citruses,4982,4993,UNMATCHED,UNMATCHED
Black Pepper,4795,4807,UNMATCHED,UNMATCHED
Mint,4605,4627,UNMATCHED,UNMATCHED
Green Notes,4529,4538,UNMATCHED,UNMATCHED
Floral Notes,4436,4505,UNMATCHED,UNMATCHED
Moss,4302,4310,UNMATCHED,UNMATCHED
Woodsy Notes,3240,3250,UNMATCHED,UNMATCHED
Lily of the Valley,3105,3118,UNMATCHED,UNMATCHED
Ambroxan,3051,3062,UNMATCHED,UNMATCHED
Aldehydes,3019,3024,UNMATCHED,UNMATCHED
Spices,2884,2899,UNMATCHED,UNMATCHED
Orchid,2814,2824,UNMATCHED,UNMATCHED
Virginia Cedar,2694,2695,UNMATCHED,UNMATCHED
Cashmere Wood,2688,2691,UNMATCHED,UNMATCHED
Fruity Notes,2476,2493,UNMATCHED,UNMATCHED
Cashmeran,2386,2388,UNMATCHED,UNMATCHED
Cloves,2381,2390,UNMATCHED,UNMATCHED
White Flowers,2317,2323,UNMATCHED,UNMATCHED
Spicy Notes,2213,2240,UNMATCHED,UNMATCHED
Sea Notes,2183,2193,UNMATCHED,UNMATCHED
Praline,2164,2171,UNMATCHED,UNMATCHED
Orris Root,2137,2150,UNMATCHED,UNMATCHED
Bulgarian Rose,2122,2131,UNMATCHED,UNMATCHED
Sugar,2094,2116,UNMATCHED,UNMATCHED
Vanille,2033,2037,UNMATCHED,UNMATCHED
Turkish Rose,1811,1822,UNMATCHED,UNMATCHED
Fig,1810,1846,UNMATCHED,UNMATCHED
Bitter Orange,1809,1809,UNMATCHED,UNMATCHED
Lotus,1771,1781,UNMATCHED,UNMATCHED
Amberwood,1757,1761,UNMATCHED,UNMATCHED
Suede,1733,1737,UNMATCHED,UNMATCHED
Litchi,1708,1712,UNMATCHED,UNMATCHED
Green Apple,1658,1660,UNMATCHED,UNMATCHED
Milk,1657,1674,UNMATCHED,UNMATCHED
Damask Rose,1644,1657,UNMATCHED,UNMATCHED
Powdery Notes,1593,1604,UNMATCHED,UNMATCHED
Frankincense,1546,1568,UNMATCHED,UNMATCHED
Red Berries,1527,1530,UNMATCHED,UNMATCHED
Lilac,1417,1429,UNMATCHED,UNMATCHED
Madagascar Vanilla,1377,1386,UNMATCHED,UNMATCHED
Blackberry,1342,1354,UNMATCHED,UNMATCHED
Amalfi Lemon,1325,1325,UNMATCHED,UNMATCHED
Green Tea,1323,1333,UNMATCHED,UNMATCHED
Juniper Berries,1316,1318,UNMATCHED,UNMATCHED
Blood Orange,1289,1291,UNMATCHED,UNMATCHED
Palisander Rosewood,1245,1247,UNMATCHED,UNMATCHED
Smoke,1224,1236,UNMATCHED,UNMATCHED
Yuzu,1222,1231,UNMATCHED,UNMATCHED
Sweet Notes,1216,1225,UNMATCHED,UNMATCHED
Haitian Vetiver,1214,1217,UNMATCHED,UNMATCHED
Cypriol Oil or Nagarmotha,1197,1198,UNMATCHED,UNMATCHED
Ambrette (Musk Mallow),1192,1194,UNMATCHED,UNMATCHED
Water Lily,1182,1185,UNMATCHED,UNMATCHED
Green Leaves,1138,1144,UNMATCHED,UNMATCHED
Ozonic notes,1107,1115,UNMATCHED,UNMATCHED
Bourbon Vanilla,1104,1113,UNMATCHED,UNMATCHED
Red Apple,1060,1060,UNMATCHED,UNMATCHED
Calabrian bergamot,1027,1030,UNMATCHED,UNMATCHED
oak moss,1021,1021,UNMATCHED,UNMATCHED
Watery Notes,1004,1008,UNMATCHED,UNMATCHED
Water Notes,1001,1006,UNMATCHED,UNMATCHED
Herbal Notes,997,1001,UNMATCHED,UNMATCHED
Resins,981,983,UNMATCHED,UNMATCHED
Hazelnut,963,966,UNMATCHED,UNMATCHED
Salt,939,948,UNMATCHED,UNMATCHED
Red Fruits,935,938,UNMATCHED,UNMATCHED
Black Tea,927,932,UNMATCHED,UNMATCHED
Immortelle,892,894,UNMATCHED,UNMATCHED
Whipped Cream,891,892,UNMATCHED,UNMATCHED
African Orange Flower,883,883,UNMATCHED,UNMATCHED
Pomegranate,881,881,UNMATCHED,UNMATCHED
Sicilian Lemon,864,864,UNMATCHED,UNMATCHED
Grass,848,853,UNMATCHED,UNMATCHED
Fruits,839,844,UNMATCHED,UNMATCHED
Cognac,829,831,UNMATCHED,UNMATCHED
Atlas Cedar,800,802,UNMATCHED,UNMATCHED
Papyrus,792,795,UNMATCHED,UNMATCHED
Marshmallow,789,802,UNMATCHED,UNMATCHED
Flowers,773,783,UNMATCHED,UNMATCHED
Sea water,762,768,UNMATCHED,UNMATCHED
Brazilian Rosewood,761,762,UNMATCHED,UNMATCHED
White Amber,751,752,UNMATCHED,UNMATCHED
Pink Grapefruit,738,738,UNMATCHED,UNMATCHED
Sweet Orange,734,735,UNMATCHED,UNMATCHED
Fig Leaf,725,730,UNMATCHED,UNMATCHED
Tiare Flower,719,719,UNMATCHED,UNMATCHED
Sea Salt,713,715,UNMATCHED,UNMATCHED
Dark Chocolate,712,719,UNMATCHED,UNMATCHED
Bay Leaf,678,679,UNMATCHED,UNMATCHED
Precious Woods,678,679,UNMATCHED,UNMATCHED
Egyptian Jasmine,677,680,UNMATCHED,UNMATCHED
