term,canonical_term,occurrence_count,coverage_contribution_percentage_point,cumulative_contribution
Musk,Musk-Like,49571,4.513746297427754,4.513746297427754
Agarwood (Oud),Agarwood,6134,0.5585386574493523,5.072284954877106
Aldehydes,Aldehydic,3024,0.2753539126388721,5.347638867515978
Spices,Spicy,2899,0.2639718891336277,5.611610756649606
Fruity Notes,Fruity,2493,0.22700307678859394,5.8386138334382
Cloves,Clove,2390,0.2176242894202726,6.056238122858472
Spicy Notes,Spicy,2240,0.2039658612139793,6.260203984072452
Powdery Notes,Powdery,1604,0.1460541256192959,6.4062581096917475
Smoke,Smoky,1236,0.11254544841985643,6.518803558111604
Sweet Notes,Sweet,1225,0.11154383035139492,6.630347388462999
Ozonic notes,Ozonic,1115,0.10152764966677988,6.731875038129779
Watery Notes,Watery,1008,0.0917846375462907,6.82365967567607
Herbal Notes,Herbal,1001,0.09114724422999701,6.914806919906067
Marine notes,Marine,659,0.060006027919648375,6.974812947825716
Dried Fruits,Dried-Fruit,566,0.05153780243174656,7.026350750257462
