metric,value
rule_exact_match_count,3.0
rule_exact_match_rate,0.015
rule_overall_exact_match,0.015
rule_scent_exact_match,0.84
rule_context_exact_match,0.805
rule_performance_exact_match,0.915
rule_avoid_exact_match,0.82
rule_additional_exact_match,0.15
rule_context_season_exact_match,0.99
rule_context_daypart_exact_match,0.99
rule_context_gender_exact_match,0.82
rule_performance_intensity_exact_match,0.94
rule_performance_longevity_exact_match,0.97
rule_scent_micro_precision,0.7368421052631579
rule_scent_micro_recall,0.30434782608695654
rule_scent_micro_f1,0.43076923076923074
rule_season_micro_precision,0.8333333333333334
rule_season_micro_recall,1.0
rule_season_micro_f1,0.9090909090909091
rule_daypart_micro_precision,0.0
rule_daypart_micro_recall,0.0
rule_daypart_micro_f1,0.0
rule_gender_micro_precision,0.0
rule_gender_micro_recall,0.0
rule_gender_micro_f1,0.0
rule_avoid_micro_precision,0.0
rule_avoid_micro_recall,0.0
rule_avoid_micro_f1,0.0
rule_additional_micro_precision,0.0
rule_additional_micro_recall,0.0
rule_additional_micro_f1,0.0
rule_intensity_accuracy,0.94
rule_longevity_accuracy,0.97
rule_positive_scent_eligible_count,39.0
rule_positive_scent_micro_precision,0.9333333333333333
rule_positive_scent_micro_recall,0.30434782608695654
rule_positive_scent_micro_f1,0.45901639344262296
rule_positive_season_eligible_count,10.0
rule_positive_season_micro_precision,1.0
rule_positive_season_micro_recall,1.0
rule_positive_season_micro_f1,1.0
rule_positive_daypart_eligible_count,0.0
rule_positive_gender_eligible_count,36.0
rule_positive_gender_micro_precision,0.0
rule_positive_gender_micro_recall,0.0
rule_positive_gender_micro_f1,0.0
rule_positive_avoid_eligible_count,36.0
rule_positive_avoid_micro_precision,0.0
rule_positive_avoid_micro_recall,0.0
rule_positive_avoid_micro_f1,0.0
rule_positive_additional_eligible_count,170.0
rule_positive_additional_micro_precision,0.0
rule_positive_additional_micro_recall,0.0
rule_positive_additional_micro_f1,0.0
rule_positive_intensity_eligible_count,12.0
rule_positive_intensity_accuracy,0.0
rule_positive_longevity_eligible_count,6.0
rule_positive_longevity_accuracy,0.0
extended_rule_exact_match_count,10.0
extended_rule_exact_match_rate,0.05
extended_rule_overall_exact_match,0.05
extended_rule_scent_exact_match,0.86
extended_rule_context_exact_match,0.93
extended_rule_performance_exact_match,0.97
extended_rule_avoid_exact_match,0.835
extended_rule_additional_exact_match,0.15
extended_rule_context_season_exact_match,0.99
extended_rule_context_daypart_exact_match,0.99
extended_rule_context_gender_exact_match,0.95
extended_rule_performance_intensity_exact_match,0.97
extended_rule_performance_longevity_exact_match,0.995
extended_rule_scent_micro_precision,0.8095238095238095
extended_rule_scent_micro_recall,0.3695652173913043
extended_rule_scent_micro_f1,0.5074626865671641
extended_rule_season_micro_precision,0.8333333333333334
extended_rule_season_micro_recall,1.0
extended_rule_season_micro_f1,0.9090909090909091
extended_rule_daypart_micro_precision,0.0
extended_rule_daypart_micro_recall,0.0
extended_rule_daypart_micro_f1,0.0
extended_rule_gender_micro_precision,0.7906976744186046
extended_rule_gender_micro_recall,0.9444444444444444
extended_rule_gender_micro_f1,0.8607594936708861
extended_rule_avoid_micro_precision,0.4090909090909091
extended_rule_avoid_micro_recall,0.225
extended_rule_avoid_micro_f1,0.2903225806451613
extended_rule_additional_micro_precision,0.0
extended_rule_additional_micro_recall,0.0
extended_rule_additional_micro_f1,0.0
extended_rule_intensity_accuracy,0.97
extended_rule_longevity_accuracy,0.995
extended_rule_positive_scent_eligible_count,39.0
extended_rule_positive_scent_micro_precision,0.9444444444444444
extended_rule_positive_scent_micro_recall,0.3695652173913043
extended_rule_positive_scent_micro_f1,0.53125
extended_rule_positive_season_eligible_count,10.0
extended_rule_positive_season_micro_precision,1.0
extended_rule_positive_season_micro_recall,1.0
extended_rule_positive_season_micro_f1,1.0
extended_rule_positive_daypart_eligible_count,0.0
extended_rule_positive_gender_eligible_count,36.0
extended_rule_positive_gender_micro_precision,0.8947368421052632
extended_rule_positive_gender_micro_recall,0.9444444444444444
extended_rule_positive_gender_micro_f1,0.918918918918919
extended_rule_positive_avoid_eligible_count,36.0
extended_rule_positive_avoid_micro_precision,0.5
extended_rule_positive_avoid_micro_recall,0.225
extended_rule_positive_avoid_micro_f1,0.3103448275862069
extended_rule_positive_additional_eligible_count,170.0
