표준형,변형형,유형,판정,AND 표준,AND 변형,AND Jaccard,TOP50 겹침
달콤한,달큰한,철자 변형,부분 일치,138,3745,0.004397309881013968,0.0
달콤한,달달한,철자 변형,부분 일치,138,24872,0.002565541569790748,0.0
쿰쿰한,쓸쿰한,방언·의태어,부분 일치,3983,400,0.0013708019191226869,0.0
쿰쿰한,퀴퀴한,방언·의태어,부분 일치,3983,4715,0.12261228704181724,0.04
쿰쿰한,쾨쾨한,방언·의태어,불일치,3983,154,0.0,0.0
상큼한,상콤한,철자 변형,완전 일치,18826,18826,1.0,1.0
뽀송한,보송한,철자 변형,부분 일치,519,62885,0.00825316053112825,0.0
폭닥한,폭신한,방언·의태어,불일치,3657,1351,0.0009994003597841295,0.0
매캐한,매쾌한,방언·의태어,불일치,17,4359,0.00022857142857142857,0.0
우디,우디한,외래어 파생,부분 일치,81432,5166,0.0634394341290893,0.0
파우더리,파우더리한,외래어 파생,부분 일치,62885,24536,0.39017253717102646,0.06
그린 노트,그리너리한,외래어 파생,부분 일치,12621,3200,0.060459816341577856,0.02
바닐라,바닐라리한,외래어 파생,완전 일치,24872,24872,1.0,1.0
화이트 플로럴,화플,커뮤니티 은어,불일치,39497,8,0.000101263259157996,0.0
인센스,절간 냄새,문화적 비유,불일치,3184,242,0.0,0.0
인센스,향 피운 방,문화적 비유,부분 일치,3184,5322,0.3739298982393797,0.02
남성 스킨,쾌남 스킨,문화적 비유,불일치,24399,33478,0.08607618690185775,0.0
남성 스킨,바버샵,문화적 비유,불일치,24399,560,0.002570797348865234,0.0
인공 시트러스,에프킬라,문화적 비유,불일치,2570,0,0.0,0.0
오크모스,비 온 뒤 숲,문화적 비유,불일치,5166,19049,0.20311024991305213,0.0
오크모스,젖은 흙,문화적 비유,불일치,5166,662,0.028591599011648428,0.0
