perfume_id,family,batch,C,n_match_all,random_expect_at5
17140,Aromatic,1,coconut|sweet|lactonic,1547,0.003232
103715,Aromatic Aquatic,1,aromatic|fruity|marine,686,0.007289
5581,Aromatic Fruity,1,woody|warm spicy|fruity,6337,0.000789
30544,Aromatic Spicy,1,citrus|aromatic|green,10955,0.000456
87922,Chypre Floral,1,tobacco|musky|woody,409,0.012225
15130,Chypre Fruity,1,amber|leather|sweet,1195,0.004184
41188,Citrus Aromatic,1,citrus|white floral|floral,10042,0.000498
6693,Floral,1,white floral|green|fresh,5326,0.000939
6,Floral Aldehyde,1,white floral|woody|aldehydic,481,0.010395
1352,Floral Fruity,1,fruity|sweet|soft spicy,2813,0.001777
14649,Floral Fruity,1,fresh spicy|citrus|fruity,6392,0.000782
85038,Floral Fruity Gourmand,1,vanilla|caramel|sweet,2417,0.002069
56994,Floral Woody Musk,1,musky|powdery|woody,17171,0.000291
79178,Floral Woody Musk,1,yellow floral|sweet|vanilla,1581,0.003163
23480,Oriental,1,vanilla|powdery|fruity,7871,0.000635
39030,Oriental Floral,1,floral|tuberose|beeswax,2,1.0
56402,Oriental Floral,1,vanilla|almond|floral,899,0.005562
6759,Oriental Spicy,1,leather|vanilla|sweet,815,0.006135
6097,Oriental Vanilla,1,vanilla|powdery|woody,11958,0.000418
113627,Oriental Vanilla,1,sweet|musky|powdery,13332,0.000375
100813,Oriental Woody,1,vanilla|smoky|woody,649,0.007704
1953,Woody,1,sweet|leather|caramel,129,0.03876
66891,Woody Aromatic,1,fruity|sweet|citrus,12544,0.000399
4575,Woody Chypre,1,amber|aromatic|leather,1692,0.002955
34696,Woody Spicy,1,citrus|fruity|leather,560,0.008929
64372,Aromatic,2,amber|smoky|fresh spicy,1617,0.003092
16657,Aromatic Fougere,2,vanilla|aromatic|green,1374,0.003639
94734,Aromatic Fruity,2,citrus|fruity|aromatic,6551,0.000763
619,Aromatic Spicy,2,fresh spicy|aromatic|warm spicy,12957,0.000386
30624,Chypre Floral,2,fruity|aromatic|sweet,6064,0.000825
1681,Citrus,2,citrus|aromatic|fresh spicy,22502,0.000222
756,Citrus Aromatic,2,citrus|aromatic|woody,22578,0.000221
12109,Floral,2,white floral|rose|fruity,3057,0.001636
284,Floral Aldehyde,2,white floral|woody|aldehydic,481,0.010395
25864,Floral Fruity,2,floral|woody|white floral,8775,0.00057
