batch,perfume_id,accords
1,17140,"coconut(100), sweet(40), lactonic(35), tropical(30), vanilla(30)"
1,103715,"aromatic(100), fruity(63), marine(58), woody(56), tropical(50)"
1,5581,"woody(100), warm spicy(68), fruity(65), sweet(43), amber(32)"
1,30544,"citrus(100), aromatic(66), green(54), fresh spicy(45), leather(40)"
1,87922,"tobacco(100), musky(88), woody(83), rose(78), patchouli(67)"
1,15130,"amber(100), leather(56), sweet(55), warm spicy(46), green(44)"
1,41188,"citrus(100), white floral(79), floral(42), ozonic(38), fresh spicy(35)"
1,6693,"white floral(100), green(39), fresh(37), tuberose(36), fruity(35)"
1,6,"white floral(100), woody(65), aldehydic(61), fresh(58), powdery(53)"
1,1352,"fruity(100), sweet(49), soft spicy(20), woody(20), citrus(19)"
1,14649,"fresh spicy(100), citrus(92), fruity(74), aromatic(67), woody(65)"
1,85038,"vanilla(100), caramel(67), sweet(51), white floral(36), powdery(30)"
1,56994,"musky(100), powdery(98), woody(68), amber(39), warm spicy(34)"
1,79178,"yellow floral(100), sweet(80), vanilla(74), citrus(68), white floral(66)"
1,23480,"vanilla(100), powdery(89), fruity(83), sweet(68), woody(65)"
1,39030,"floral(100), tuberose(64), beeswax(57), tropical(56), white floral(51)"
1,56402,"vanilla(100), almond(99), floral(98), powdery(78), sweet(76)"
1,6759,"leather(100), vanilla(80), sweet(79), woody(69), powdery(53)"
1,6097,"vanilla(100), powdery(95), woody(83), musky(68), sweet(27)"
1,113627,"sweet(100), musky(48), powdery(45), white floral(31), amber(30)"
1,100813,"vanilla(100), smoky(94), woody(84), sweet(77), powdery(35)"
1,1953,"sweet(100), leather(88), caramel(67), musky(50), animalic(46)"
1,66891,"fruity(100), sweet(89), citrus(64), tropical(56), fresh(41)"
1,4575,"amber(100), aromatic(90), leather(75), woody(49), warm spicy(42)"
1,34696,"citrus(100), fruity(59), leather(46), smoky(37), woody(36)"
2,64372,"amber(100), smoky(84), fresh spicy(54), woody(48), warm spicy(46)"
2,16657,"vanilla(100), aromatic(91), green(84), fresh spicy(52), amber(46)"
2,94734,"citrus(100), fruity(86), aromatic(79), sweet(67), musky(66)"
2,619,"fresh spicy(100), aromatic(87), warm spicy(79), woody(69), citrus(63)"
2,30624,"fruity(100), aromatic(99), sweet(97), fresh(82), tropical(82)"
2,1681,"citrus(100), aromatic(79), fresh spicy(60), woody(51), lavender(46)"
2,756,"citrus(100), aromatic(36), woody(27), fresh(20), aldehydic(18)"
2,12109,"white floral(100), rose(85), fruity(77), sweet(47), musky(41)"
2,284,"white floral(100), woody(82), aldehydic(66), citrus(66), yellow floral(57)"
2,25864,"floral(100), woody(83), white floral(59), fruity(57), powdery(54)"
2,2072,"fruity(100), sweet(97), woody(90), amber(71), citrus(47)"
2,3247,"aromatic(100), woody(83), rose(70), green(68), herbal(67)"
2,14694,"white floral(100), musky(80), floral(53), soft spicy(52), rose(50)"
2,51499,"leather(100), powdery(68), woody(56), smoky(53), musky(50)"
2,47550,"citrus(100), woody(79), fresh spicy(47), amber(44), aromatic(38)"
2,4922,"sweet(100), rose(81), soft spicy(60), floral(53), white floral(53)"
2,15291,"woody(100), fruity(78), vanilla(66), sweet(65), white floral(53)"
2,1475,"amber(100), vanilla(78), warm spicy(63), lavender(57), powdery(54)"
2,11238,"warm spicy(100), sweet(89), vanilla(77), amber(72), cinnamon(50)"
2,72796,"woody(100), citrus(78), animalic(76), warm spicy(60), leather(55)"
2,101351,"woody(100), whiskey(86), warm spicy(48), fruity(41), vanilla(38)"
2,45877,"woody(100), citrus(63), aromatic(60), marine(51), amber(34)"
2,22477,"woody(100), aromatic(51), sweet(44), conifer(41), fruity(36)"
2,44122,"woody(100), aromatic(90), lavender(65), fresh spicy(56), anis(54)"
2,1673,"citrus(100), fresh spicy(95), woody(81), fresh(53), soft spicy(41)"
3,3166,"lavender(100), vanilla(86), aromatic(58), powdery(50), musky(44)"
3,81839,"aromatic(100), citrus(80), fresh spicy(64), green(59), woody(57)"
3,13737,"aromatic(100), fresh spicy(91), woody(77), earthy(66), lavender(56)"
3,54516,"citrus(100), earthy(92), aromatic(85), fresh spicy(82), mossy(78)"
3,64679,"rose(100), floral(98), fruity(78), woody(73), patchouli(67)"
3,57,"citrus(100), aromatic(48), fresh spicy(36), green(28), woody(21)"
3,103564,"citrus(100), woody(75), fresh spicy(57), fresh(45), aromatic(42)"
3,44281,"powdery(100), musky(87), iris(77), vanilla(47), amber(39)"
3,271,"aromatic(100), fruity(94), floral(90), herbal(72), sweet(69)"
3,18272,"fruity(100), sweet(67), white floral(62), honey(48), citrus(35)"
3,29105,"sweet(100), fruity(93), citrus(39), caramel(37), vanilla(18)"
3,3116,"citrus(100), aromatic(49), fruity(46), fresh spicy(41), fresh(40)"
3,1485,"floral(100), rose(100), musky(83), fresh(71), soft spicy(55)"
3,72554,"woody(100), aromatic(73), warm spicy(71), leather(67), fresh spicy(54)"
3,2802,"floral(100), tropical(42), fresh(38), woody(35), aquatic(33)"
3,64950,"powdery(100), woody(79), vanilla(73), musky(69), white floral(60)"
3,56993,"fresh spicy(100), aromatic(45), fruity(44), lavender(43), citrus(42)"
3,64500,"amber(100), warm spicy(73), floral(48), citrus(45), white floral(36)"
3,61811,"vanilla(100), sweet(82), floral(75), powdery(68), woody(63)"
3,39885,"woody(100), honey(67), powdery(59), iris(52), aromatic(39)"
3,64204,"woody(100), powdery(98), green(85), savory(70), aromatic(59)"
3,80042,"woody(100), marine(98), yellow floral(86), aromatic(65), powdery(52)"
3,25967,"citrus(100), amber(86), woody(65), fresh spicy(58), aromatic(45)"
3,36599,"woody(100), floral(64), fresh(54), citrus(48), salty(47)"
3,9558,"woody(100), musky(90), oud(90), warm spicy(83), powdery(51)"
4,80467,"woody(100), aromatic(78), marine(66), earthy(45), patchouli(39)"
4,54381,"aromatic(100), lavender(92), vanilla(71), warm spicy(57), sweet(50)"
4,58907,"citrus(100), green(94), white floral(85), aromatic(62), woody(40)"
4,66933,"sweet(100), fruity(78), white floral(75), woody(47), citrus(36)"
4,28,"warm spicy(100), fruity(86), sweet(57), woody(56), amber(48)"
4,8700,"citrus(100), fresh spicy(91), aromatic(49), green(42), herbal(28)"
4,11560,"almond(100), vanilla(97), powdery(72), sweet(47), floral(42)"
4,38345,"white floral(100), citrus(68), sweet(35), animalic(28), musky(25)"
4,19,"aromatic(100), woody(100), citrus(98), green(78), fresh spicy(73)"
4,53613,"floral(100), white floral(76), rose(69), citrus(67), fresh(67)"
4,78755,"fruity(100), tropical(94), sweet(72), coconut(71), floral(47)"
4,1158,"floral(100), citrus(65), fresh(24), aromatic(10), fresh spicy(8)"
4,56098,"fruity(100), sweet(87), musky(78), powdery(74), vanilla(68)"
4,37574,"vanilla(100), citrus(89), fresh spicy(89), oud(76), white floral(75)"
4,30991,"amber(100), powdery(97), woody(76), musky(69), animalic(35)"
4,51393,"amber(100), vanilla(66), rum(44), powdery(32), woody(31)"
4,1067,"warm spicy(100), woody(69), amber(64), patchouli(60), coffee(56)"
4,17665,"woody(100), warm spicy(96), fresh spicy(67), rum(59), leather(52)"
4,68182,"vanilla(100), sweet(89), woody(88), powdery(71), white floral(43)"
4,10131,"musky(100), amber(74), woody(51), animalic(29), fruity(24)"
4,39123,"woody(100), aromatic(82), citrus(72), fruity(50), white floral(49)"
4,55558,"fresh spicy(100), aromatic(73), woody(64), fresh(43), citrus(42)"
4,98848,"woody(100), citrus(92), patchouli(67), fresh spicy(64), lavender(60)"
4,3976,"woody(100), powdery(87), musky(54), violet(38), aromatic(23)"
4,49144,"warm spicy(100), cinnamon(89), fruity(85), woody(74), sweet(73)"
