query_id,arm,perfume_id,조건,검색,target_n,후보 수,5위 동점,결과 부족,검색 불가,random_expect,P@5_strict,P@5_loose,hit,rr
A-6-1,A,6,c1,hard,1,81432,19825,0,0,0.010395,0.2,0.2,0,0.0
A-6-1,A,6,c1,soft,1,81432,19825,0,0,0.010395,0.2,0.2,0,0.0
A-6-1,A,6,c2,hard,3,184,1,0,0,0.010395,0.2,0.6,0,0.0
A-6-1,A,6,c2,soft,3,98541,6,0,0,0.010395,0.0,0.4,0,0.0
A-6-1,A,6,c3,hard,3,184,1,0,0,0.010395,0.2,0.6,0,0.0
A-6-1,A,6,c3,soft,3,98541,6,0,0,0.010395,0.0,0.4,0,0.0
A-6-2,A,6,c1,hard,1,46586,8553,0,0,0.010395,0.0,0.2,0,0.0
A-6-2,A,6,c1,soft,1,46586,8553,0,0,0.010395,0.0,0.2,0,0.0
A-6-2,A,6,c2,hard,4,33,1,0,0,0.010395,0.0,0.2,0,0.0
A-6-2,A,6,c2,soft,4,65709,1,0,0,0.010395,0.0,0.0,0,0.0
A-6-2,A,6,c3,hard,4,33,1,0,0,0.010395,0.0,0.2,0,0.0
A-6-2,A,6,c3,soft,4,65709,1,0,0,0.010395,0.0,0.0,0,0.0
A-6-3,A,6,c1,hard,0,0,0,1,1,0.010395,0.0,0.0,0,0.0
A-6-3,A,6,c1,soft,0,0,0,1,1,0.010395,0.0,0.0,0,0.0
A-6-3,A,6,c2,hard,0,0,0,1,1,0.010395,0.0,0.0,0,0.0
A-6-3,A,6,c2,soft,0,0,0,1,1,0.010395,0.0,0.0,0,0.0
A-6-3,A,6,c3,hard,0,0,0,1,1,0.010395,0.0,0.0,0,0.0
A-6-3,A,6,c3,soft,0,0,0,1,1,0.010395,0.0,0.0,0,0.0
A-19-1,A,19,c1,hard,3,2769,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-1,A,19,c1,soft,3,105000,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-1,A,19,c2,hard,3,2769,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-1,A,19,c2,soft,3,105000,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-1,A,19,c3,hard,4,0,0,1,1,0.000221,0.0,0.0,0,0.0
A-19-1,A,19,c3,soft,4,105003,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-2,A,19,c1,hard,3,2769,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-2,A,19,c1,soft,3,105000,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-2,A,19,c2,hard,3,2769,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-2,A,19,c2,soft,3,105000,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-2,A,19,c3,hard,3,2769,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-2,A,19,c3,soft,3,105000,1,0,0,0.000221,1.0,1.0,0,0.0
A-19-3,A,19,c1,hard,3,6044,3,0,0,0.000221,0.6,0.8,0,0.0
A-19-3,A,19,c1,soft,3,103513,3,0,0,0.000221,0.6,0.8,0,0.0
A-19-3,A,19,c2,hard,3,6044,3,0,0,0.000221,0.6,0.8,0,0.0
A-19-3,A,19,c2,soft,3,103513,3,0,0,0.000221,0.6,0.8,0,0.0
A-19-3,A,19,c3,hard,3,6044,3,0,0,0.000221,0.6,0.8,0,0.0
A-19-3,A,19,c3,soft,3,103513,3,0,0,0.000221,0.6,0.8,0,0.0
A-28-1,A,28,c1,hard,2,34582,118,0,0,0.000802,0.0,0.2,0,0.0
A-28-1,A,28,c1,soft,2,92169,118,0,0,0.000802,0.0,0.2,0,0.0
A-28-1,A,28,c2,hard,2,34582,118,0,0,0.000802,0.0,0.2,0,0.0
A-28-1,A,28,c2,soft,2,92169,118,0,0,0.000802,0.0,0.2,0,0.0
A-28-1,A,28,c3,hard,2,34582,118,0,0,0.000802,0.0,0.2,0,0.0
A-28-1,A,28,c3,soft,2,92169,118,0,0,0.000802,0.0,0.2,0,0.0
A-28-2,A,28,c1,hard,2,4,4,0,0,0.000802,0.25,0.75,0,0.0
A-28-2,A,28,c1,soft,2,43226,10246,0,0,0.000802,0.2,0.8,0,0.0
A-28-2,A,28,c2,hard,2,4,4,0,0,0.000802,0.25,0.75,0,0.0
A-28-2,A,28,c2,soft,2,43226,10246,0,0,0.000802,0.2,0.8,0,0.0
A-28-2,A,28,c3,hard,3,1,1,1,0,0.000802,1.0,1.0,0,0.0
A-28-2,A,28,c3,soft,3,101127,143,0,0,0.000802,0.4,1.0,0,0.0
A-28-3,A,28,c1,hard,2,23528,143,0,0,0.000802,0.4,1.0,0,0.0
A-28-3,A,28,c1,soft,2,101126,143,0,0,0.000802,0.4,1.0,0,0.0
A-28-3,A,28,c2,hard,4,610,1,0,0,0.000802,0.0,1.0,0,0.0
A-28-3,A,28,c2,soft,4,114790,1,0,0,0.000802,0.0,1.0,0,0.0
A-28-3,A,28,c3,hard,5,168,2,0,0,0.000802,1.0,1.0,0,0.0
A-28-3,A,28,c3,soft,5,118827,2,0,0,0.000802,1.0,1.0,0,0.0
A-57-1,A,57,c1,hard,2,4359,2,0,0,0.000222,0.6,0.8,0,0.0
A-57-1,A,57,c1,soft,2,64217,2,0,0,0.000222,0.6,0.8,0,0.0
A-57-1,A,57,c2,hard,2,4359,2,0,0,0.000222,0.6,0.8,0,0.0
A-57-1,A,57,c2,soft,2,64217,2,0,0,0.000222,0.6,0.8,0,0.0
A-57-1,A,57,c3,hard,2,4359,2,0,0,0.000222,0.6,0.8,0,0.0
A-57-1,A,57,c3,soft,2,64217,2,0,0,0.000222,0.6,0.8,0,0.0
A-57-2,A,57,c1,hard,1,59969,17736,0,0,0.000222,0.8,1.0,0,0.0
A-57-2,A,57,c1,soft,1,59969,17736,0,0,0.000222,0.8,1.0,0,0.0
A-57-2,A,57,c2,hard,1,59969,17736,0,0,0.000222,0.8,1.0,0,0.0
A-57-2,A,57,c2,soft,1,59969,17736,0,0,0.000222,0.8,1.0,0,0.0
A-57-2,A,57,c3,hard,1,59969,17736,0,0,0.000222,0.8,1.0,0,0.0
A-57-2,A,57,c3,soft,1,59969,17736,0,0,0.000222,0.8,1.0,0,0.0
A-57-3,A,57,c1,hard,1,59969,17736,0,0,0.000222,0.8,1.0,0,0.0
A-57-3,A,57,c1,soft,1,59969,17736,0,0,0.000222,0.8,1.0,0,0.0
A-57-3,A,57,c2,hard,1,59969,17736,0,0,0.000222,0.8,1.0,0,0.0
A-57-3,A,57,c2,soft,1,59969,17736,0,0,0.000222,0.8,1.0,0,0.0
A-57-3,A,57,c3,hard,2,19255,105,0,0,0.000222,0.2,0.6,0,0.0
A-57-3,A,57,c3,soft,2,83936,105,0,0,0.000222,0.2,0.6,0,0.0
A-271-1,A,271,c1,hard,4,132,1,0,0,0.001506,0.4,1.0,0,0.0
A-271-1,A,271,c1,soft,4,84448,1,0,0,0.001506,0.4,1.0,0,0.0
A-271-1,A,271,c2,hard,6,0,0,1,1,0.001506,0.0,0.0,0,0.0
A-271-1,A,271,c2,soft,6,101979,1,0,0,0.001506,0.2,1.0,0,0.0
A-271-1,A,271,c3,hard,6,0,0,1,1,0.001506,0.0,0.0,0,0.0
A-271-1,A,271,c3,soft,6,101979,1,0,0,0.001506,0.2,1.0,0,0.0
A-271-2,A,271,c1,hard,0,0,0,1,1,0.001506,0.0,0.0,0,0.0
A-271-2,A,271,c1,soft,0,0,0,1,1,0.001506,0.0,0.0,0,0.0
A-271-2,A,271,c2,hard,0,0,0,1,1,0.001506,0.0,0.0,0,0.0
A-271-2,A,271,c2,soft,0,0,0,1,1,0.001506,0.0,0.0,0,0.0
A-271-2,A,271,c3,hard,1,43222,10246,0,0,0.001506,0.0,0.8,0,0.0
A-271-2,A,271,c3,soft,1,43222,10246,0,0,0.001506,0.0,0.8,0,0.0
A-271-3,A,271,c1,hard,2,1143,2,0,0,0.001506,0.6,0.6,0,0.0
A-271-3,A,271,c1,soft,2,50686,2,0,0,0.001506,0.6,0.6,0,0.0
A-271-3,A,271,c2,hard,4,9,1,0,0,0.001506,0.0,0.6,0,0.0
A-271-3,A,271,c2,soft,4,78808,1,0,0,0.001506,0.2,0.4,0,0.0
A-271-3,A,271,c3,hard,4,9,1,0,0,0.001506,0.0,0.6,0,0.0
A-271-3,A,271,c3,soft,4,78808,1,0,0,0.001506,0.2,0.4,0,0.0
A-284-1,A,284,c1,hard,3,12834,28,0,0,0.010395,0.2,1.0,0,0.0
A-284-1,A,284,c1,soft,3,110406,28,0,0,0.010395,0.2,1.0,0,0.0
A-284-1,A,284,c2,hard,3,12834,28,0,0,0.010395,0.2,1.0,0,0.0
A-284-1,A,284,c2,soft,3,110406,28,0,0,0.010395,0.2,1.0,0,0.0
A-284-1,A,284,c3,hard,3,12834,28,0,0,0.010395,0.2,1.0,0,0.0
A-284-1,A,284,c3,soft,3,110406,28,0,0,0.010395,0.2,1.0,0,0.0
A-284-2,A,284,c1,hard,3,6193,1,0,0,0.010395,0.0,0.2,0,0.0
A-284-2,A,284,c1,soft,3,108778,1,0,0,0.010395,0.0,0.2,0,0.0
A-284-2,A,284,c2,hard,3,6193,1,0,0,0.010395,0.0,0.2,0,0.0
A-284-2,A,284,c2,soft,3,108778,1,0,0,0.010395,0.0,0.2,0,0.0
A-284-2,A,284,c3,hard,3,6193,1,0,0,0.010395,0.0,0.2,0,0.0
A-284-2,A,284,c3,soft,3,108778,1,0,0,0.010395,0.0,0.2,0,0.0
A-284-3,A,284,c1,hard,2,38224,329,0,0,0.010395,0.0,0.4,0,0.0
A-284-3,A,284,c1,soft,2,103177,329,0,0,0.010395,0.0,0.4,0,0.0
A-284-3,A,284,c2,hard,2,38224,329,0,0,0.010395,0.0,0.4,0,0.0
A-284-3,A,284,c2,soft,2,103177,329,0,0,0.010395,0.0,0.4,0,0.0
A-284-3,A,284,c3,hard,2,38224,329,0,0,0.010395,0.0,0.4,0,0.0
A-284-3,A,284,c3,soft,2,103177,329,0,0,0.010395,0.0,0.4,0,0.0
A-619-1,A,619,c1,hard,1,59969,17736,0,0,0.000386,0.2,1.0,0,0.0
A-619-1,A,619,c1,soft,1,59969,17736,0,0,0.000386,0.2,1.0,0,0.0
A-619-1,A,619,c2,hard,1,59969,17736,0,0,0.000386,0.2,1.0,0,0.0
A-619-1,A,619,c2,soft,1,59969,17736,0,0,0.000386,0.2,1.0,0,0.0
A-619-1,A,619,c3,hard,2,38224,329,0,0,0.000386,0.2,0.4,0,0.0
A-619-1,A,619,c3,soft,2,103177,329,0,0,0.000386,0.2,0.4,0,0.0
A-619-2,A,619,c1,hard,3,2769,1,0,0,0.000386,0.2,1.0,0,0.0
A-619-2,A,619,c1,soft,3,105000,1,0,0,0.000386,0.2,1.0,0,0.0
A-619-2,A,619,c2,hard,3,2769,1,0,0,0.000386,0.2,1.0,0,0.0
A-619-2,A,619,c2,soft,3,105000,1,0,0,0.000386,0.2,1.0,0,0.0
A-619-2,A,619,c3,hard,3,2769,1,0,0,0.000386,0.2,1.0,0,0.0
A-619-2,A,619,c3,soft,3,105000,1,0,0,0.000386,0.2,1.0,0,0.0
A-619-3,A,619,c1,hard,0,0,0,1,1,0.000386,0.0,0.0,0,0.0
A-619-3,A,619,c1,soft,0,0,0,1,1,0.000386,0.0,0.0,0,0.0
A-619-3,A,619,c2,hard,0,0,0,1,1,0.000386,0.0,0.0,0,0.0
A-619-3,A,619,c2,soft,0,0,0,1,1,0.000386,0.0,0.0,0,0.0
A-619-3,A,619,c3,hard,0,0,0,1,1,0.000386,0.0,0.0,0,0.0
A-619-3,A,619,c3,soft,0,0,0,1,1,0.000386,0.0,0.0,0,0.0
A-756-1,A,756,c1,hard,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-1,A,756,c1,soft,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-1,A,756,c2,hard,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-1,A,756,c2,soft,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-1,A,756,c3,hard,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-1,A,756,c3,soft,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-2,A,756,c1,hard,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-2,A,756,c1,soft,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-2,A,756,c2,hard,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-2,A,756,c2,soft,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-2,A,756,c3,hard,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-2,A,756,c3,soft,1,59969,17736,0,0,0.000221,0.6,1.0,0,0.0
A-756-3,A,756,c1,hard,3,2769,1,0,0,0.000221,1.0,1.0,0,0.0
A-756-3,A,756,c1,soft,3,105000,1,0,0,0.000221,1.0,1.0,0,0.0
A-756-3,A,756,c2,hard,3,2769,1,0,0,0.000221,1.0,1.0,0,0.0
A-756-3,A,756,c2,soft,3,105000,1,0,0,0.000221,1.0,1.0,0,0.0
