조건,검색,arm,P@5 엄격,P@5 느슨,원본 Recall@5,MRR,랜덤 기대,검색 불가,결과 부족,5위 동점 중앙,target 평균
c1,hard,A,0.3023,0.689,0.0033,0.0017,0.0133,0.1333,0.1333,19.0,1.9333
c1,hard,B,0.1453,0.3837,0.0033,0.0033,0.0133,0.4567,0.4633,2.0,0.89
c1,soft,A,0.3013,0.6907,0.0033,0.0017,0.0133,0.13,0.13,20.0,1.9333
c1,soft,B,0.146,0.3893,0.0033,0.0033,0.0133,0.45,0.45,2.0,0.89
c2,hard,A,0.2928,0.6806,0.0,0.0,0.0133,0.14,0.1433,2.0,2.5167
c2,hard,B,0.1469,0.4139,0.0033,0.0033,0.0133,0.3533,0.3567,2.0,1.42
c2,soft,A,0.2813,0.684,0.0,0.0,0.0133,0.12,0.12,2.0,2.5167
c2,soft,B,0.1467,0.4227,0.0033,0.0033,0.0133,0.3367,0.3367,2.0,1.42
c3,hard,A,0.3048,0.6613,0.0033,0.0007,0.0133,0.1767,0.1867,2.0,2.6967
c3,hard,B,0.1513,0.419,0.0033,0.0033,0.0133,0.3567,0.3633,2.0,1.4667
c3,soft,A,0.3107,0.7,0.0033,0.0007,0.0133,0.1167,0.1167,2.0,2.6967
c3,soft,B,0.1507,0.4313,0.0033,0.0033,0.0133,0.3333,0.3333,2.0,1.4667
