query_id,split_status,글자 수,c1_n,c2_n,c3_n,avoid_n,사전 표현,후보_hard,동점_hard,검색불가_hard,결과부족_hard,후보_soft,동점_soft,검색불가_soft,결과부족_soft,n
SQ0001,UNASSIGNED,64,0,0,0,0,0,0,0,1,1,0,0,1,1,0
SQ0002,UNASSIGNED,19,0,2,2,0,1,4963,14,0,0,37387,14,0,0,2
SQ0003,UNASSIGNED,111,0,0,0,0,1,0,0,1,1,0,0,1,1,0
SQ0004,UNASSIGNED,38,0,0,0,0,0,0,0,1,1,0,0,1,1,0
SQ0005,UNASSIGNED,30,0,0,0,0,0,0,0,1,1,0,0,1,1,0
SQ0006,UNASSIGNED,73,1,1,1,0,1,59969,17736,0,0,59969,17736,0,0,1
SQ0007,UNASSIGNED,98,0,2,2,0,1,400,1,0,0,42474,1,0,0,2
SQ0008,UNASSIGNED,99,1,1,1,0,2,59969,17736,0,0,59969,17736,0,0,1
SQ0009,UNASSIGNED,38,0,2,2,0,1,3745,7,0,0,60888,7,0,0,2
SQ0010,UNASSIGNED,21,0,0,0,0,0,0,0,1,1,0,0,1,1,0
SQ0011,UNASSIGNED,138,3,3,3,0,4,7947,39,0,0,105900,39,0,0,3
SQ0012,UNASSIGNED,31,0,0,0,0,1,0,0,1,1,0,0,1,1,0
SQ0013,UNASSIGNED,65,0,0,0,0,1,0,0,1,1,0,0,1,1,0
SQ0014,UNASSIGNED,57,2,4,4,0,1,120,1,0,0,116285,1,0,0,4
SQ0015,UNASSIGNED,10,0,0,0,0,0,0,0,1,1,0,0,1,1,0
SQ0016,UNASSIGNED,86,3,5,5,1,1,48,1,0,0,54138,1,0,0,5
SQ0017,UNASSIGNED,66,0,0,0,0,0,0,0,1,1,0,0,1,1,0
SQ0018,UNASSIGNED,41,0,0,0,0,0,0,0,1,1,0,0,1,1,0
SQ0019,UNASSIGNED,28,1,1,1,0,0,59969,17736,0,0,59969,17736,0,0,1
SQ0020,UNASSIGNED,27,1,1,1,0,0,8607,174,0,0,8607,174,0,0,1
SQ0021,UNASSIGNED,56,1,1,1,0,0,25617,4450,0,0,25617,4450,0,0,1
SQ0022,UNASSIGNED,43,0,0,0,0,1,0,0,1,1,0,0,1,1,0
SQ0023,UNASSIGNED,102,0,0,1,0,1,1720,18,0,0,1720,18,0,0,1
SQ0024,UNASSIGNED,600,0,0,0,0,0,0,0,1,1,0,0,1,1,0
SQ0025,UNASSIGNED,31,0,0,0,0,0,0,0,1,1,0,0,1,1,0
SQ0026,UNASSIGNED,68,0,0,0,1,1,0,0,1,1,0,0,1,1,0
SQ0027,UNASSIGNED,67,0,0,0,0,0,0,0,1,1,0,0,1,1,0
SQ0028,UNASSIGNED,31,0,0,0,0,1,0,0,1,1,0,0,1,1,0
SQ0029,UNASSIGNED,14,0,0,0,1,0,0,0,1,1,0,0,1,1,0
SQ0030,UNASSIGNED,147,0,2,2,0,1,3745,7,0,0,60888,7,0,0,2
