accord,결핍유형,조건0건에_등장,전체_등장,실패율,코퍼스_보유,검색가능,기대_영향권,확장_가능성,한국어_후보수
woody,REACHABLE_BUT_MISSED,43,246,0.175,81432,True,245,HIGH,49
citrus,REACHABLE_BUT_MISSED,16,162,0.099,59969,True,85,MID,20
sweet,REACHABLE_BUT_MISSED,13,138,0.094,60625,True,85,MID,15
fruity,REACHABLE_BUT_MISSED,9,138,0.065,43222,True,76,MID,17
green,REACHABLE_BUT_MISSED,5,30,0.167,29755,True,51,MID,29
powdery,REACHABLE_BUT_MISSED,9,72,0.125,62885,True,33,MID,27
musky,REACHABLE_BUT_MISSED,17,60,0.283,41154,True,28,LOW,15
vanilla,REACHABLE_BUT_MISSED,10,114,0.088,34562,True,18,LOW,5
white floral,REACHABLE_BUT_MISSED,12,72,0.167,39497,True,14,LOW,6
aromatic,REACHABLE_BUT_MISSED,17,168,0.101,54606,True,14,LOW,21
earthy,REACHABLE_BUT_MISSED,0,6,0.0,19049,True,13,LOW,11
amber,REACHABLE_BUT_MISSED,11,60,0.183,45478,True,5,LOW,13
floral,REACHABLE_BUT_MISSED,12,84,0.143,46586,True,0,NO_SECTION_MAPPED,0
fresh,REACHABLE_BUT_MISSED,5,24,0.208,33478,True,0,NO_SECTION_MAPPED,0
caramel,REACHABLE_BUT_MISSED,2,12,0.167,4008,True,0,NO_SECTION_MAPPED,0
tropical,REACHABLE_BUT_MISSED,1,12,0.083,6512,True,0,NO_SECTION_MAPPED,0
coconut,REACHABLE_BUT_MISSED,0,6,0.0,3269,True,0,NO_SECTION_MAPPED,0
smoky,UNREACHABLE,1,12,0.083,7407,True,66,MID,28
lavender,UNREACHABLE,1,18,0.056,8336,True,23,LOW,8
marine,UNREACHABLE,3,18,0.167,4326,True,16,LOW,12
tobacco,UNREACHABLE,3,6,0.5,4372,True,3,LOW,11
leather,UNREACHABLE,6,36,0.167,10809,True,2,LOW,14
aldehydic,UNREACHABLE,3,12,0.25,3556,True,1,LOW,8
warm spicy,UNREACHABLE,13,66,0.197,45319,True,0,NO_SECTION_MAPPED,0
fresh spicy,UNREACHABLE,11,90,0.122,47271,True,0,NO_SECTION_MAPPED,0
soft spicy,UNREACHABLE,0,12,0.0,13661,True,0,NO_SECTION_MAPPED,0
rose,UNREACHABLE,5,36,0.139,25617,True,0,NO_SECTION_MAPPED,0
oud,UNREACHABLE,3,6,0.5,8298,True,0,NO_SECTION_MAPPED,0
almond,UNREACHABLE,1,12,0.083,3438,True,0,NO_SECTION_MAPPED,0
lactonic,UNREACHABLE,0,6,0.0,7015,True,0,NO_SECTION_MAPPED,0
tuberose,UNREACHABLE,1,6,0.167,3931,True,0,NO_SECTION_MAPPED,0
beeswax,UNREACHABLE,1,6,0.167,349,False,0,NO_SECTION_MAPPED,0
honey,UNREACHABLE,0,6,0.0,3467,True,0,NO_SECTION_MAPPED,0
iris,UNREACHABLE,1,6,0.167,7451,True,0,NO_SECTION_MAPPED,0
cinnamon,UNREACHABLE,0,6,0.0,4259,True,0,NO_SECTION_MAPPED,0
rum,UNREACHABLE,0,6,0.0,1166,True,0,NO_SECTION_MAPPED,0
animalic,UNREACHABLE,0,6,0.0,18242,True,0,NO_SECTION_MAPPED,0
yellow floral,UNREACHABLE,3,12,0.25,6986,True,0,NO_SECTION_MAPPED,0
patchouli,UNREACHABLE,0,6,0.0,14822,True,0,NO_SECTION_MAPPED,0
whiskey,UNREACHABLE,2,6,0.333,808,True,0,NO_SECTION_MAPPED,0
