cas_number,principal_name,primary_descriptor,descriptor_2,descriptor_3,source_page
4221-98-1,(-)-(R)-.alpha.-Phellandrene,Aromatic,Medicinal,Citrus,13
512-13-0,(-)-.alpha.-Fenchol,Earthy,Woody,Camphoraceous,13
489-40-7,(-)-.alpha.-Gurjunene,Woody,Balsamic,Nutty,13
23986-74-5,(-)-Germacrene D,Woody,Spicy,Dry,13
489-86-1,(-)-Guaiol,Woody,Smoky,Rose,13
13837-56-4,"(.+-.)-Tetrahydro-2,6,6-trimethyl-2-vinyl-2H-pyrane",Citrus,Fresh,Camphoraceous,13
1117-61-9,(+)-(R)-Citronellol,Floral,Rose,Geranium,13
4610-11-1,(+)-cis-Rose oxide,Green,Floral,Rose,13
888021-82-7,(+-)-Ethyl 3-mercapto-2-methylbutanoate,Fruity,Food Like,Pungent,13
17957-94-7,(+)-Menthofuran,Minty,Leafy,Herbal,13
2216-52-6,(+)-Neomenthol,Minty,Fresh,Aromatic,13
67663-01-8,(+/-) 3-Methyl-gamma-decalactone,Fruity,Peach,Milky,13
156472-94-5,(+/-) Ethyl 3-mercaptobutyrate,Sulfurous,Roasted,Sweet,13
258823-39-1,(+/-)2-Mercapto-2-methylpentan-1-ol,Sulfurous,Garlic,Onion,13
58475-04-0,(+/-)-4-Ethyloctanal,Floral,Milky,Fruity,13
15892-23-6,(+/-)-Butan-2-ol,Fruity,Sweet,Fermented,13
15932-80-6,(+/-)-Pulegone,Minty,Spearmint,Sweet,13
10138-32-6,"(±)-Bicyclo[2.2.1]hept-5-ene-2-carboxylic acid, ethyl ester",Fruity,Tropical-Fruit,Floral,13
68877-29-2,"(1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol",Woody,Warm,Sandalwood,13
35145-02-9,"(1a,2a,5a)-2,5-dimethylcyclohex-3-ene-1-carbaldehyde",Green,Grassy,Citrus,13
94400-98-3,"(1a.alpha.,4.alpha.,7a.alpha.)-1a,3,3,4,6,6-Hexamethyl-1a,2,3,4,5,6,7,7a- octahydronapth[3,3-b]oxirene",Musk like,Warm,Floral,13
389083-83-4,(1-Ethoxyethoxy)-cyclododecane,Woody,Amber,Dry,13
35836-73-8,(1R)-Nopol,Herbal,Pine,Camphoraceous,13
35836-72-7,(1R)-Nopyl acetate,Woody,Floral,Fruity,13
68489-09-8,"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)cyclohexanecarboxamide",Minty,Fresh,Green,13
29461-13-0,"(2.alpha.,4a.alpha.,8.beta.)-Hexahydro-1,1,5,5-tetramethyl-2H-2,4a- methanonaphthalene-8(5H)-one",Woody,Patchouli,Earthy,13
