raw_note,canonical_note,relation,evidence_source,reason,manual_review_required
Musk,Musk-Like,SAME_CONCEPT,"scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFF, IFRA)",Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Amber,Amber,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Bergamot,Bergamot,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Vanilla,Vanilla,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Sandalwood,Sandalwood,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Jasmine,Jasmine,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Patchouli,Patchouli,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Rose,Rose,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cedar,Cedar,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Vetiver,Vetiver,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Lemon,Lemon,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Tonka Bean,Tonka Bean,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Lavender,Lavender,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Mandarin Orange,Mandarin Orange,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Orange Blossom,Orange Blossom,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Leather,Leather,CANONICAL,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFF),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Cardamom,Cardamom,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Pink Pepper,Pink Pepper,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Violet,Violet,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Grapefruit,Grapefruit,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Iris,Iris,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Oakmoss,Oakmoss,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Geranium,Geranium,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Saffron,Saffron,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
White Musk,White Musk,NOT_SAME,"v0.3 dictionary/evidence, Stage 20 decisions, or explicit audit exclusion","Existing v0.3 relation to Musk-Like is FAMILY, not SAME_CONCEPT.",False
Woody Notes,Woody,SAME_CONCEPT,"scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFF, IFRA)",Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Orange,Orange,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cinnamon,Cinnamon,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Peach,Peach,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Lily-of-the-Valley,Muguet,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (dsm-firmenich),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Labdanum,Labdanum,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Ylang-Ylang,Ylang-Ylang,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Benzoin,Benzoin,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Incense,Incense,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Ginger,Ginger,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Neroli,Neroli,NOT_SAME,"v0.3 dictionary/evidence, Stage 20 decisions, or explicit audit exclusion",Orange Blossom and Neroli are distinct bitter-orange flower materials in Stage 20 evidence.,False
Ambergris,Ambergris,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Nutmeg,Nutmeg,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Raspberry,Raspberry,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Pear,Pear,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Tuberose,Tuberose,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Agarwood (Oud),Agarwood,SAME_CONCEPT,"scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (Givaudan, IFRA)",Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Apple,Apple,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Freesia,Freesia,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Black Currant,Blackcurrant,SAME_CONCEPT,"scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFF, IFRA)",Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Peony,Peony,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Tobacco,Tobacco,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Citruses,Citrus,SAME_CONCEPT,"scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFF, IFRA)",Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Black Pepper,Black Pepper,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cedarwood,Cedarwood,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Caramel,Caramel,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Magnolia,Magnolia,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Mint,Mint,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Green Notes,Green,SAME_CONCEPT,"scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFF, IFRA)",Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Floral Notes,Floral,SAME_CONCEPT,"scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFF, IFRA)",Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Pepper,Pepper,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
