accord,perfume_count,perfume_share,strength_observation_count,mean_strength,median_strength,strength_std
woody,81432,0.6172364132494504,81432,65.82835985853227,65.0,27.441517176340106
powdery,62885,0.4766542863639809,62885,48.34315019480003,45.0,24.503863214329996
sweet,60625,0.4595239899946942,60625,54.33283298969072,50.0,27.194536775764288
citrus,59969,0.4545516561813083,59969,67.28304624055762,67.0,28.64473998488659
aromatic,54606,0.41390131130144775,54606,56.06559718712229,53.0,27.88984413818055
fresh spicy,47271,0.3583036458728113,47271,51.15586723361046,48.0,25.719202693662687
floral,46586,0.35311149852194346,46586,56.22918902674623,51.0,29.626219367526872
amber,45478,0.34471310543470024,45478,61.021548880777516,57.0,26.7012647138085
warm spicy,45319,0.3435079208671265,45319,57.098281074163154,52.0,26.427396697203218
fruity,43222,0.3276131281740317,43222,64.46904354264032,64.0,28.249934769812057
musky,41154,0.3119381490184189,41154,52.094037031637264,48.0,24.73204511192653
white floral,39497,0.29937845827332676,39497,66.38035800187356,65.0,27.363754649722576
vanilla,34562,0.26197225801561436,34562,60.40822290376714,57.0,25.90359921441759
fresh,33478,0.25375577958008033,33478,42.17507019535217,40.0,21.654550480954377
green,29755,0.22553626923368453,29755,48.68086035960343,44.0,27.459470110307308
rose,25617,0.19417115136814977,25617,59.02018191045009,55.0,27.313751307701715
earthy,19049,0.1443871750170545,19049,42.93637461284057,40.0,20.29735494533281
animalic,18242,0.1382702948533313,18242,30.52543580747725,26.0,19.706664638365968
balsamic,18162,0.13766391268096717,18162,31.277667657746946,29.0,17.054933562967687
patchouli,14822,0.11234745698476464,14822,50.49581702874106,47.0,22.131086688642867
soft spicy,13661,0.10354733570833018,13661,35.8906375814362,33.0,23.25057033184182
leather,10809,0.08192981126354885,10809,59.46100471829031,55.0,26.146080465012858
aquatic,8872,0.0672477829151823,8872,47.09839945897205,41.5,25.714937559113515
herbal,8607,0.0652391419692261,8607,36.32601370977112,33.0,20.679777879464687
lavender,8336,0.06318502236034261,8336,55.860724568138195,50.0,24.776518638956436
oud,8298,0.06289699082846964,8298,64.53759942154736,62.0,25.594231509240974
violet,7614,0.05771242325475631,7614,52.74954032046231,50.0,23.314152234858224
iris,7451,0.05647691957856439,7451,55.55428801503154,51.0,23.07509285238111
smoky,7407,0.056143409383764116,7407,47.0851896854327,42.0,24.31181948492982
lactonic,7015,0.053172136739179865,7015,34.68153955808981,30.0,21.866779170055114
yellow floral,6986,0.05295232320169787,6986,53.03750357858574,49.0,23.911745398486968
tropical,6512,0.049359508830440386,6512,49.13682432432432,44.0,24.673354660644026
mossy,6173,0.04678996437504737,6173,49.16847561963389,45.0,21.970035354632763
ozonic,5777,0.043788372621844915,5777,50.83503548554613,47.0,26.420154119085964
tobacco,4372,0.03313878571969984,4372,56.64455626715462,53.0,24.966352656481195
marine,4326,0.032790115970590464,4326,62.832639852057326,59.0,27.09426376218433
cinnamon,4259,0.032282270901235505,4259,49.63042967832825,46.0,20.6576898370675
caramel,4008,0.030379746835443037,4008,54.11726546906188,50.0,24.23607737268051
tuberose,3931,0.02979610399454256,3931,52.76672602391249,50.0,21.354663315603933
nutty,3619,0.027431213522322445,3619,41.97982868195634,39.0,21.952141717206274
aldehydic,3556,0.026953687561585688,3556,41.32283464566929,39.0,31.175450496738137
honey,3467,0.02627908739483059,3467,55.06951254687049,51.0,25.25383250878855
almond,3438,0.026059273857348592,3438,52.55061082024433,50.0,26.42237961973568
coconut,3269,0.024778291518229363,3269,59.025695931477514,56.0,24.94840096640649
salty,2520,0.019101038429470172,2520,42.88174603174603,40.0,21.454721243074676
metallic,2235,0.016940801940422953,2235,38.93288590604027,35.0,19.26418165413567
cacao,2035,0.01542484650951262,2035,53.467321867321864,50.0,24.450406878273192
sour,1912,0.014492533919502767,1912,13.080020920502092,10.0,10.560612976673134
conifer,1828,0.013855832638520428,1828,25.61597374179431,24.0,12.743909464061431
coffee,1815,0.013757295535511256,1815,58.274931129476585,55.0,23.621554910721173
cherry,1803,0.013666338209656636,1803,61.24403771491958,59.0,27.477784334799814
soapy,1720,0.01303721670582885,1720,21.455813953488374,20.0,14.064441428992932
chocolate,1554,0.011778973698173274,1554,52.63706563706564,48.0,23.887004822055903
anis,1418,0.010748124005154248,1418,50.56488011283498,47.0,22.230560849986446
rum,1166,0.00883802016220723,1166,50.94854202401372,48.0,21.011736337391106
bitter,1034,0.007837489577806412,1034,16.46615087040619,11.5,12.483386068587034
whiskey,808,0.006124459940877738,808,43.01980198019802,36.0,27.91912123713527
camphor,793,0.006010763283559463,793,37.46532156368222,33.0,20.607400094186257
mineral,770,0.005836428409004776,770,49.506493506493506,44.0,27.541667784066377
savory,654,0.004957174259076783,654,31.701834862385322,22.0,22.878981507016817
terpenic,557,0.004221935875085273,557,16.44524236983842,16.0,10.902339436680705
cannabis,388,0.0029409535359660424,388,55.11340206185567,53.0,22.079461132235377
beeswax,349,0.002645342226938528,349,45.78223495702006,43.0,18.818804977812295
Champagne,311,0.002357310695065565,311,50.733118971061096,47.0,21.319107326934613
wine,236,0.0017888274084741909,236,60.470338983050844,56.0,26.274205335019843
sand,215,0.0016296520882286062,215,58.78139534883721,56.0,24.834215480222397
alcohol,154,0.001167285681800955,154,43.077922077922075,40.0,20.188891270874063
gourmand,151,0.0011445463503373002,151,48.93377483443709,45.0,24.552867375250724
oily,132,0.0010005305844008187,132,39.446969696969695,36.0,19.890348807040773
