note,accord,p,lift
Absinthe,aromatic,0.911,2.201
Absinthe,woody,0.6949,1.1258
Acai Berry,fruity,0.9107,2.7798
Acai Berry,sweet,0.6071,1.3212
Acácia,floral,0.8556,2.4229
Acácia,powdery,0.5556,1.1655
Acácia,woody,0.5278,0.8551
Acácia,sweet,0.5167,1.1244
African Geranium,fresh spicy,0.9091,2.5372
African Geranium,aromatic,0.8485,2.05
African Geranium,woody,0.7576,1.2274
African Geranium,warm spicy,0.5152,1.4997
African Orange Flower,white floral,0.8584,2.8674
African Orange Flower,citrus,0.7361,1.6195
African Orange Flower,sweet,0.6444,1.4023
African Orange Flower,woody,0.5968,0.9669
Agarwood,oud,0.6821,10.8454
Agarwood,woody,0.6773,1.0974
Agarwood,warm spicy,0.6093,1.7737
Agarwood,amber,0.5797,1.6816
Agarwood (Oud),oud,0.7424,11.8031
Agarwood (Oud),woody,0.6826,1.1059
Agarwood (Oud),warm spicy,0.5913,1.7215
Agarwood (Oud),amber,0.537,1.5577
Agarwood (Oud),fresh spicy,0.5152,1.438
Agave,woody,0.6923,1.1216
Agave,green,0.6795,3.0128
Agave,sweet,0.5385,1.1718
Agave,citrus,0.5128,1.1282
Airy Note,woody,0.5974,0.9679
Akigalawood,woody,0.9007,1.4592
Akigalawood,warm spicy,0.6727,1.9583
Akigalawood,oud,0.6027,9.5825
Aldehydes,woody,0.6605,1.0701
Aldehydes,aldehydic,0.6267,23.2509
Aldehydes,fresh,0.6062,2.3888
Aldehydes,powdery,0.5296,1.1112
Algae,marine,0.7593,23.1551
Algae,aromatic,0.7315,1.7673
Algae,woody,0.7222,1.1701
Algae,aquatic,0.6019,8.9498
Allspice,fresh spicy,0.8402,2.345
Allspice,woody,0.7278,1.1791
Allspice,aromatic,0.6213,1.5011
Allspice,warm spicy,0.5917,1.7226
Almond,sweet,0.833,1.8128
Almond,almond,0.6882,26.4078
Almond,vanilla,0.5754,2.1963
Almond,fruity,0.537,1.6393
Almond,powdery,0.5068,1.0633
Almond Blossom,floral,0.9164,2.5951
Almond Blossom,sweet,0.9018,1.9625
Almond Blossom,powdery,0.6145,1.2893
Almond Blossom,vanilla,0.5418,2.0682
