query_id,query_text,selection_reason,gold_scent,gold_context,gold_performance,gold_avoid,gold_additional,extended_scent,extended_context,extended_performance,extended_avoid,extended_additional,llm_scent,llm_context,llm_performance,llm_avoid,llm_additional,extended_exact,llm_exact,avoid_exact,additional_exact,avoid_normalized_equal,additional_normalized_equal,avoid_item_count_gold,avoid_item_count_llm,additional_item_count_gold,additional_item_count_llm,diff_fields,manual_decision,manual_issue_type,manual_comment
UQ0004,"여성스러운 향을 사고 싶은데, 너무 달콤한 건 싫어. 그런 향기가 있을까?",AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}","[""달콤한""]",[],[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}","[""너무 달콤한""]",[],[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}","[""too sweet""]","[""여성스러운 향"",""너무 달콤한 건 싫어""]",False,False,False,False,False,False,1,1,0,2,avoid|additional,SURFACE_MISMATCH,WORDING_VARIATION,"[AI 초안] avoid 달콤한 vs too sweet — 언어 차이. additional은 gold가 여성스러운을 context.gender=female로 처리해 빈 것이 맞고, llm이 중복 삽입한 과추출"
UQ0005,난 바닐라 향기가 좋은데. 너무 단 건 싫어.,LLM_REGRESSED|AVOID_MISMATCH,"[""Vanilla""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""너무 단""]",[],"[""Vanilla""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""너무 단""]",[],"[""Vanilla""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""Too sweet""]",[],True,False,False,True,False,True,1,1,0,0,avoid,SURFACE_MISMATCH,WORDING_VARIATION,[AI 초안] avoid 너무 단 vs Too sweet — 언어 + 대소문자 차이
UQ0010,"케이크 같으면서도, 너무 느끼하지 않고, 딱 맡았을 때 공주처럼 느껴지는 향수 그런 거 없음?",AVOID_MISMATCH,"[""Cake""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""너무 느끼""]","[""공주""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""케이크 같은 향"",""너무 느끼하지 않은 느낌"",""딱 맡았을 때 공주처럼 느껴지는 향""]",False,False,False,False,False,False,1,0,1,3,scent|avoid|additional,GOLD_ERROR,OTHER_GOLD_ERROR,[검토 반영] gold avoid의 '너무 느끼'는 향의 성격 형용사로 대응하는 accord/note가 없다. additional이 맞다. 다만 scent=Cake를 llm이 놓친 것은 별개의 예측 오류
UQ0011,나무 냄새 나는데 너무 절 냄새만 나면 안됨,AVOID_MISMATCH,"[""Trees""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""절 냄새""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""woody""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""too strong only religious/temple-like scent""]","[""나무 냄새가 나야 함"",""절(사찰) 냄새처럼 너무 한쪽으로만 강하게 나면 안 됨""]",False,False,False,False,False,False,1,1,0,2,scent|avoid|additional,SURFACE_MISMATCH,AVOID_SPAN,[AI 초안] avoid 절 냄새 vs too strong only religious/temple-like scent — 대상 동일. 원문이 '너무 절 냄새만 나면'이라 llm이 범위를 더 길게 잡음
UQ0015,여름에 뿌릴 향수 추천 좀.,LLM_REGRESSED,[],"{""season"":[""summer""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[""summer""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[""summer""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""여름에 뿌릴 향수 추천 요청""]",True,False,True,False,True,False,0,0,0,1,additional,GOLD_OK,NONE,[AI 초안] 여름은 context.season으로 처리되므로 gold additional이 빈 것이 맞음. llm이 쿼리 전체를 additional에 복사한 과추출
UQ0016,여름에 뿌릴 향수 가지고 싶은데 향기 너무 많이 나면 코 아파서... 안 그런거 추천 가능한가?,AVOID_MISMATCH,[],"{""season"":[""summer""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""향기 너무 많이 나면""]",[],[],"{""season"":[""summer""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[""summer""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""여름에 사용할 향수"",""향기가 너무 많이 나면 코가 아픔"",""그렇지 않은 향수 추천 가능 여부""]",False,False,False,False,False,False,1,0,0,3,avoid|additional,GOLD_ERROR,OTHER_GOLD_ERROR,[검토 반영] gold avoid의 '향기 너무 많이 나면'은 강도 조건이다. 대응 accord/note 없음. additional이 맞고 llm이 옳다
UQ0020,향수 분사 적당히 되는 거 없나? 입자가 너무 작은 건 싫은데.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""입자가 너무 작은 건""]","[""분사 적당히 되는 거""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""입자가 너무 작은""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""향수 분사량이 적당한 것"",""입자가 너무 작은 건 싫음""]",False,False,False,False,False,False,1,0,1,2,avoid|additional,GOLD_ERROR,OTHER_GOLD_ERROR,[검토 반영] gold avoid의 '입자가 너무 작은 건'은 분사 입자 크기이지 향이 아니다. avoid는 검색에서 향 제외 필터로 쓰이므로 additional이 맞고 llm이 옳다
UQ0022,나 조말론 블랙베리는 별로더라... 이런 나한테 추천해줄 만한 향수 없나,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""조말론 블랙베리""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""나 조말론 블랙베리""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""Blackberry (Jo Malone BlackBerry 계열)""]","[""Jo Malone Blackberry가 별로였던 사람에게 맞는 향수 추천""]",False,False,False,False,False,False,1,1,0,1,avoid|additional,SURFACE_MISMATCH,WORDING_VARIATION,"[AI 초안] avoid 조말론 블랙베리 vs Blackberry (Jo Malone BlackBerry 계열) — 동일 제품, 표기 차이"
UQ0025,소개팅할 때 부담스럽지 않으면서 좋은 인상을 줄 수 있는 향수 추천해줘.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""부담""]","[""소개팅"",""좋은 인상""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""소개팅"",""부담스럽지 않게"",""좋은 인상""]",False,False,False,False,False,False,1,0,2,3,avoid|additional,GOLD_ERROR,OTHER_GOLD_ERROR,[검토 반영] gold avoid의 '부담'은 인상에 대한 것이지 향이 아니다. additional이 맞고 llm이 옳다
UQ0026,조용하고 차분한 사람에게 잘 어울릴 것 같은 향수를 추천해줘.,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""조용"",""차분한""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""조용하고 차분한 사람에게 잘 어울리는 향""]",False,False,True,False,True,False,0,0,2,1,additional,SURFACE_MISMATCH,ADDITIONAL_SEGMENTATION,"[AI 초안] gold 조용/차분한 2개 vs llm 1개 긴 구. 내용 동일, 분할 단위만 다름"
