korea_brand,fragrantica_brand,catalog_status,catalog_perfume_count,reviewed_candidate,review_result,first_pass_result,product_row_count,sources,evidence_url,reviewer_note,review_file_sha256
토스,,AMBIGUOUS_REVIEW_VALUE,0,Toss / TOS,MATCH,미확인,2,hwahae | oliveyoung,,https://www.fragrantica.com/designers/Tous.html,d3f0dc6f1c77fa3284750a2ded7387c0ba804f51b445005f9c39b7090ebce999
킨포크노츠,KINFOLK NOTES,CASE_NORMALIZED,19,Kinfolk Notes,MATCH,미확인,2,musinsa,,https://www.fragrantica.com/designers/KINFOLK-NOTES.html,d3f0dc6f1c77fa3284750a2ded7387c0ba804f51b445005f9c39b7090ebce999
아뜰리에페이,,NOT_IN_CATALOG,0,Atelier Faye,MATCH,MATCH 강함,15,hwahae | musinsa | oliveyoung,https://www.fragrantica.com/designers/Atelier-Faye.html,,d3f0dc6f1c77fa3284750a2ded7387c0ba804f51b445005f9c39b7090ebce999
플르부아,,NOT_IN_CATALOG,0,Pleuvoir,MATCH,MATCH 강함,4,musinsa,https://beta.fragrantica.com/designers/Pleuvoir.html,,d3f0dc6f1c77fa3284750a2ded7387c0ba804f51b445005f9c39b7090ebce999
에이딕트,Addct,USABLE,10,Addct,MATCH,MATCH 강함,10,musinsa | oliveyoung,https://www.fragrantica.com/designers/Addct.html,,d3f0dc6f1c77fa3284750a2ded7387c0ba804f51b445005f9c39b7090ebce999
센녹,Sennok,USABLE,6,Sennok,MATCH,MATCH 강함,8,hwahae | musinsa,https://www.fragrantica.com/designers/Sennok.html,,d3f0dc6f1c77fa3284750a2ded7387c0ba804f51b445005f9c39b7090ebce999
알보우,RboW,USABLE,11,RboW,MATCH,MATCH 강함,8,musinsa | oliveyoung,https://www.fragrantica.com/designers/RboW.html,,d3f0dc6f1c77fa3284750a2ded7387c0ba804f51b445005f9c39b7090ebce999
로이비,LOIVIE,USABLE,10,LOIVIE,MATCH,MATCH 강함,7,musinsa | oliveyoung,https://www.fragrantica.com/designers/LOIVIE.html,,d3f0dc6f1c77fa3284750a2ded7387c0ba804f51b445005f9c39b7090ebce999
에틀리에,Kiss New York,USABLE,15,Kiss New York,MATCH,REVIEW,6,oliveyoung,https://www.fragrantica.com/designers/Kiss-New-York.html,,d3f0dc6f1c77fa3284750a2ded7387c0ba804f51b445005f9c39b7090ebce999
호텔도슨,Hotel Dawson,USABLE,5,Hotel Dawson,MATCH,MATCH 강함,6,musinsa | oliveyoung,https://www.fragrantica.com/designers/Hotel-Dawson.html,,d3f0dc6f1c77fa3284750a2ded7387c0ba804f51b445005f9c39b7090ebce999
