commercial_identity_id,source_brands,existing_canonical_brand,query_cores,reconstructed_brand_latin,reconstructed_fragrance_latin,reconstruction_status
ci_4810685a726a,"[""산타마리아노벨라""]",Santa Maria Novella,"[""피렌체 1221 에디션 프리지아""]",Santa Maria Novella,Firenze 1221 Edition Fresia,OK
ci_3f1625d048c2,"[""제니퍼로페즈""]",Jennifer Lopez,"[""글로우 바이제이로""]",Jennifer Lopez,Glow by JLo,OK
ci_fa40e8f891bc,"[""로맨띠끄""]",로맨띠끄,"[""명품향수/ 블랙베리&베이 로맨띠끄 블랙베리""]",Romantique,Blackberry,UNCERTAIN
ci_d042ddd14dbc,"[""클린""]",Clean,"[""클래식 소프트 런드리""]",Clean,Classic Soft Laundry,OK
ci_c55267126886,"[""조말론""]",Jo Malone London,"[""잉글리쉬 페어 앤 프리지아""]",Jo Malone London,English Pear & Freesia,OK
ci_90e038c982e8,"[""에이오지""]",에이오지,"[""레이""]",AOG,Ray,UNCERTAIN
ci_dd74e4775403,"[""조말론""]",Jo Malone London,"[""레드 로즈""]",Jo Malone London,Red Roses,OK
ci_53ea5c255a06,"[""나르시소 로드리게즈""]",Narciso Rodriguez,"[""포 허""]",Narciso Rodriguez,For Her,OK
ci_be5552a929f6,"[""포맨트""]",Forment,"[""시그니처 코튼메모리"", ""헬로키티 에디션 시그니처 코튼메모리""]",Forment,Signature Cotton Memory,OK
ci_801a083b87d3,"[""아리아나그란데""]",Ariana Grande,"[""클라우드""]",Ariana Grande,Cloud,OK
ci_ed334daca304,"[""랑방""]",Lanvin,"[""레 플레르 드 랑방 워터 릴리"", ""레 플레르 드 워터릴리""]",Lanvin,Les Fleurs de Lanvin Water Lily,OK
ci_09d4167c0459,"[""이세이미야케 퍼퓸"", ""이세이미야케""]",Issey Miyake,"[""르 셀 디세이"", ""르셀디세이""]",Issey Miyake,Le Sel d'Issey,OK
ci_17304073f859,"[""바이레도""]",Byredo,"[""블랑쉬""]",Byredo,Blanche,OK
ci_090d5c757bdd,"[""나르시소 로드리게즈""]",Narciso Rodriguez,"[""프레쉬로즈향 나르시소 로드리게즈 나르시소 크리스탈""]",Narciso Rodriguez,Narciso Cristal,OK
ci_c0996b76357a,"[""아이젠틀맨""]",아이젠틀맨,"[""남친향수 아이젠틀맨 콜 유 마인""]",I Gentleman,Call You Mine,UNCERTAIN
ci_d26a1c904519,"[""디올""]",Dior,"[""미스 디올""]",Dior,Miss Dior,OK
ci_1ee9b276cd55,"[""비비앙""]",Vivienne Westwood,"[""에끌로에""]",Vivienne Westwood,Ecloe,UNCERTAIN
ci_fd42acc0c3f9,"[""어뮤즈""]",어뮤즈,"[""미스트 한정""]",,,UNKNOWN
ci_0dcd41256f4a,"[""제니퍼로페즈""]",Jennifer Lopez,"[""글로우 바이 제이로"", ""글로우 바이제이로""]",Jennifer Lopez,Glow by JLo,OK
ci_d7d573ee1c3e,"[""입생로랑뷰티""]",Yves Saint Laurent,"[""리브르""]",Yves Saint Laurent,Libre,OK
ci_ead83e6160b4,"[""이세이미야케 퍼퓸"", ""이세이미야케""]",Issey Miyake,"[""르 셀 디세이"", ""르셀디세이""]",Issey Miyake,Le Sel d'Issey,OK
ci_bd02a2fbb9cf,"[""랑방""]",Lanvin,"[""모던 프린세스 오 센슈얼""]",Lanvin,Modern Princess Eau Sensuelle,OK
ci_4277d84bcdbc,"[""디올""]",Dior,"[""쟈도르""]",Dior,J'adore,OK
ci_7b7aed26cc5b,"[""샤넬""]",Chanel,"[""샹스 오 비브""]",Chanel,Chance Eau Vive,OK
ci_4a563c9a37f7,"[""테누이""]",테누이,"[""페더""]",Tenui,Feather,UNCERTAIN
ci_ed4dff7afb27,"[""클린""]",Clean,"[""클리어 애플 블로썸""]",Clean,Clear Apple Blossom,OK
ci_3c6a890dddda,"[""디올""]",Dior,"[""옴므""]",Dior,Homme,OK
ci_107454de822b,"[""끌로에""]",Chloé,"[""시그니처""]",Chloé,Signature,OK
ci_d2fcaaa64889,"[""랄프로렌""]",Ralph Lauren,"[""폴로 랄프 , / 중""]",Ralph Lauren,Ralph,UNCERTAIN
ci_0bb163868ef8,"[""조말론""]",Jo Malone London,"[""블랙베리 앤 베이""]",Jo Malone London,Blackberry & Bay,OK
