commercial_identity_id,source_brands,existing_canonical_brand,query_cores,reconstructed_brand_latin,reconstructed_fragrance_latin,reconstruction_status
ci_8f9c6acf1230,"[""랑방 퍼퓸"", ""랑방""]",Lanvin,"[""에끌라 드 아르페쥬""]",Lanvin,Éclat d'Arpège,OK
ci_0375a31d4d31,"[""비비앙""]",Vivienne Westwood,"[""월넛크릭그린""]",BiBiANG,Walnut Creek Green,OK
ci_eb6bab7c7c6c,"[""포맨트""]",Forment,"[""시그니처 코튼허그""]",Forment,Signature Cotton Hug,OK
ci_2c2eb1b4a4b1,"[""아뜰리에페이""]",Atelier Faye,"[""데이 오프""]",Atelier Faye,Day Off,OK
ci_5aaf547e6734,"[""메종 마르지엘라 퍼퓸"", ""메종 마르지엘라""]",Maison Martin Margiela,"[""레이지 선데이 모닝"", ""레플리카 레이지 선데이 모닝""]",Maison Margiela,Replica Lazy Sunday Morning,OK
ci_3cf24523e3e0,"[""엘리자베스아덴""]",Elizabeth Arden,"[""그린티 센트 스프레이""]",Elizabeth Arden,Green Tea,OK
ci_d3fc426a9647,"[""엘리자베스아덴""]",Elizabeth Arden,"[""그린티 센트 스프레이""]",Elizabeth Arden,Green Tea,OK
ci_bef9410756d3,"[""캘빈클라인"", ""CK""]",Calvin Klein,"[""CK 비"", ""비""]",Calvin Klein,CK Be,OK
ci_9a08a16f5b5e,"[""아리아나그란데""]",Ariana Grande,"[""땡큐 넥스트""]",Ariana Grande,"Thank U, Next",OK
ci_ecf6117c3a16,"[""캘빈클라인"", ""CK""]",Calvin Klein,"[""CK 올"", ""씨케이 올""]",Calvin Klein,CK All,OK
ci_a5b6588d75c6,"[""랑방""]",Lanvin,"[""잔느""]",Lanvin,Jeanne Lanvin,OK
ci_c66ebe22a527,"[""센녹""]",Sennok,"[""애프터배스""]",SENNOK,After Bath,OK
ci_b1466cebe3b7,"[""아리아나 그란데"", ""아리아나그란데""]",Ariana Grande,"[""스위트 라이크 캔디""]",Ariana Grande,Sweet Like Candy,OK
ci_c9752303ca5e,"[""지미추 퍼퓸"", ""지미추""]",Jimmy Choo,"[""블러썸""]",Jimmy Choo,Blossom,OK
ci_65eac4509013,"[""지미추""]",Jimmy Choo,"[""지미추""]",Jimmy Choo,Jimmy Choo,OK
ci_3637be30a1f2,"[""랑방""]",Lanvin,"[""메리미""]",Lanvin,Marry Me!,OK
ci_d7564396fd9b,"[""포맨트""]",Forment,"[""시그니처 코튼브리즈""]",Forment,Signature Cotton Breeze,OK
ci_f87fae9b0c0e,"[""향수존"", ""베르사체""]",Versace,"[""베르사체 브라이트 크리스탈"", ""브라이트 크리스탈""]",Versace,Bright Crystal,OK
