core_id,latin_core,korean_transliteration,reconstruction_status
6910c7b1e1211e29,J'adore 2002,쟈도르 2002,OK
439c7cf10b404e39,Arpège,아르페쥬,OK
c54a554b1a88aa8c,N°19,N°19,OK
86fe8c4fe4394f70,Cristalle,크리스탈,OK
ae0cdcf527ef691d,Arpege Pour Homme,아르페쥬 뿌르 옴므,OK
bc6d281a0fd7598e,Cinéma,시네마,OK
b77b459d0770dd99,Opium 1977,오피움 1977,OK
5dd272b4f316b776,Paris,파리,OK
1ceeabf0c6a5a30b,Nu,뉘,OK
7aa7579ccd4aba9c,Rive Gauche,리브 고쉬,OK
2e424a7c4628551a,Les Exclusifs de Chanel Cuir de Russie 1924,레 엑스클뤼지프 드 샤넬 퀴르 드 뤼시 1924,OK
fb1fe0f710f87e26,Baby Doll,베이비 돌,OK
18f5384d58bcb1bb,Y,와이,OK
34d2ac1d4f205763,Yvresse Champagne,이브레스 샹파뉴,OK
b3e0f16816819403,In Love Again,인 러브 어게인,OK
97f1d02fceff3c54,For Her,포 허,OK
ca1cd23fdf8c5144,J'adore,쟈도르,OK
e9fac4131adfffdf,L'or J'adore The Absolute,로르 쟈도르 더 앱솔루트,OK
bd8710d84ae42d87,J'adore Adoration en or Limited Edition,쟈도르 아도라티옹 앙 오르 리미티드 에디션,UNCERTAIN
e3ba07afddd40813,Miss Dior Cherie,미스 디올 셰리,OK
1bbc29cfa9bf6d1f,Pure Poison,퓨어 쁘아종,OK
e350b74e3f76c09f,Addict,어딕트,OK
4af51a56c8840b71,Addict Eau Fraiche 2004,어딕트 오 프레슈 2004,OK
bf8cb2b95cadc773,Addict 2,어딕트 2,OK
d5a78b996fe640a3,Poison,쁘아종,OK
0bfab9f05ea99a2a,Hypnotic Poison,힙노틱 쁘아종,OK
264dac2a927872ea,Tendre Poison,탕드르 쁘아종,OK
baa25eb4ed6ca6ed,Dune,듄,OK
bba4f99463e8e770,Dolce Vita,돌체 비타,OK
b22bfb4d91935911,Miss Dior,미스 디올,OK
58cc8492b2c82532,Diorissimo,디오리시모,OK
97d6e5d600e8208e,Dioressence,디오레상스,OK
3439955cf028d07d,Diorella,디오렐라,OK
6e25bccef38a7194,Eau Fraiche,오 프레슈,OK
02041e85dd20f641,Fahrenheit,파렌하이트,OK
67edc1fa99270318,Fahrenheit Summer,파렌하이트 서머,OK
d6c3e932002cb902,Homme 2005,옴므 2005,OK
4df99773d7e2b60e,Eau Sauvage,오 소바쥬,OK
7b5110c2960edda8,Eau Sauvage Extreme,오 소바쥬 익스트림,OK
f20a248eefd9b247,Higher,하이어,OK
af0840168a77e01d,Higher Energy,하이어 에너지,OK
40e70f52f41606d4,Dune Pour Homme,듄 뿌르 옴므,OK
3add0819f473b803,Obsession,옵세션,OK
e4c596148b210894,Obsession for Men,옵세션 포 맨,OK
daf576d8eb1e2367,Obsession Night Woman,옵세션 나이트 우먼,OK
9571b49b6608b6e5,Obsession Night for Men,옵세션 나이트 포 맨,OK
4050491d82bded60,Obsession Sheer,옵세션 시어,OK
7b684e73e6b4ad05,Euphoria,유포리아,OK
68a0a2bb4cb8fa18,Euphoria Blossom,유포리아 블로섬,OK
a5331d5a94b897a9,Contradiction,콘트라딕션,UNCERTAIN
bfe90d38f340b338,Eternity,이터니티,OK
562aaa4588a2551b,Eternity For Men,이터니티 포 맨,OK
a508c8e06397d08c,Eternity Moment,이터니티 모멘트,UNCERTAIN
d82909fbb1f3dcf4,Eternity Summer 2006,이터니티 서머 2006,OK
ae759b80c5c9d1f3,Eternity For Men Summer 2006,이터니티 포 맨 서머 2006,OK
6185e4c72201a0ef,Eternity Summer,이터니티 서머,OK
a9f054fccbb030cc,Eternity For Men Summer 2005,이터니티 포 맨 서머 2005,OK
cc8b506f3738628c,Eternity Love,이터니티 러브,OK
844b0856c9c132a1,Eternity Purple Orchid,이터니티 퍼플 오키드,OK
430fd80077c73e18,Eternity Rose Blush,이터니티 로즈 블러시,OK
