core_id,latin_core,korean_transliteration,reconstruction_status
2a3caf46612eaf30,160th Anniversary Limited Edition Original Musk Oil,160th 애니버서리 리미티드 에디션 오리지널 머스크 오일,OK
8d7dcd0ba25392bb,ADE,ADE,OK
66a837e7fbb4f44e,Acqua Dive,아쿠아 다이브,UNCERTAIN
a3a06a5f7a3df365,After Bath,애프터 배스,OK
e1e7c91322c3ebda,Aromatic Blends: Fig Leaf & Sage,아로마틱 블렌즈: 피그 리프 & 세이지,OK
bb59ff06e6e3e3ab,Aromatic Blends: Nashi Blossom & Pink Grapefruit,아로마틱 블렌즈: 나시 블러섬 & 핑크 그레이프프루트,OK
61d88c79b784e7d1,Aromatic Blends: Orange Flower & Lychee,아로마틱 블렌즈: 오렌지 플라워 & 리치,OK
d68083f640932d2c,Aromatic Blends: Patchouli & Fresh Rose,아로마틱 블렌즈: 패출리 & 프레시 로즈,OK
b9269269041521c8,Aromatic Blends: Vanilla & Cedarwood,아로마틱 블렌즈: 바닐라 & 시더우드,OK
9e5f53fd015e8d17,Aromatic Blends: Vetiver & Black Tea,아로마틱 블렌즈: 베티버 & 블랙 티,OK
fb9a4e2b7ff77dba,Baby Blusher,베이비 블러셔,OK
60dc370026bce9f2,Bare,베어,OK
bb75e38c4310da25,Bitter,비터,OK
0ca6c73e9840ea9b,Blush Princess,블러시 프린세스,OK
5d4962bff5723f85,Botanik Leaf,보타닉 리프,OK
6a34cddb594c539a,Bronze Goddess,브론즈 가디스,OK
cfedd5df03160a90,Case Study #11 Monsoon,케이스 스터디 #11 몬순,OK
0c75f8cfc3024933,Case Study #12 Dance and Balance,케이스 스터디 #12 댄스 앤드 밸런스,OK
34e6f87bfb51e3d1,Case Study #16 Atelier Chai,케이스 스터디 #16 아틀리에 차이,OK
30a7c025cf8216c7,Case Study #23 Amber Sanguine,케이스 스터디 #23 앰버 상긴,UNCERTAIN
4d560a98ae70a1a2,Case Study #3 O.A.C,케이스 스터디 #3 O.A.C,OK
dcba8cea16daacc5,Case Study #4 Black Wood,케이스 스터디 #4 블랙 우드,OK
f8601423c78daa92,Case Study #8 Lights on Objet,케이스 스터디 #8 라이츠 온 오브제,OK
1498333405bdb9d0,Case Study Untitled RboW X Eddie Kang Edition 500,케이스 스터디 언타이틀드 알보우 X 에디 강 에디션 500,UNCERTAIN
40a6bd52e925352e,Daenamu 대나무,대나무,OK
7a31a8271dfeaacb,Dark Kiss,다크 키스,OK
da2e5dc515b188dc,Everyone,에브리원,OK
b6898405df492739,Feather,페더,OK
6a139fe88e790c1a,Forest Rain,포레스트 레인,OK
d9ce2ea86f6aca2d,Hwawon 화원,화원,OK
8db5615f2f98cd54,Lady in Red,레이디 인 레드,OK
8a56fa83c3a5ebd3,Linen Citrus,리넨 시트러스,OK
c0810817b6929243,Midnight Violet,미드나잇 바이올렛,OK
3df63bca6f6f0f36,NEUTRAL,뉴트럴,OK
9bee70ecf9a9f7e3,Night Love,나이트 러브,OK
0c7d5c95abbd9f4e,Odii 오디,오디,OK
adc2cd4a77eb9306,Original Musk,오리지널 머스크,OK
075b9a7ca78cf28e,Peony Dream,피오니 드림,OK
8db3bbab3345b9a1,Pink Romance,핑크 로맨스,OK
32612f8c02c6dee0,Radiant Lily,레이디언트 릴리,OK
a4b38d9c1ecbaaca,Rosé Glamour,로제 글래머,UNCERTAIN
60bc171325ac2bba,Sachal 사찰,사찰,OK
cb0d84cb06c4f40c,Santal Bleu,상탈 블루,UNCERTAIN
1c112c188891340c,Seduction Gold,세덕션 골드,OK
35fbfb29ad857d65,Silver Queen,실버 퀸,OK
869aeec9bb3ef4d3,Sleeping Rose,슬리핑 로즈,OK
8e5b5a8a8c5eb340,Slow September,슬로우 셉템버,OK
cd12f1c1e0625d8a,Soap Clean Soap,솝 클린 솝,OK
c3bc90e754a71178,Ssook 쑥,쑥,OK
330a513e67cf13fb,Sumuk 수묵,수묵,OK
f77cb0915b899f20,Sun Kisses,선 키시즈,OK
e722ba8fdc703dda,Sunday Cotton,선데이 코튼,OK
b5b602437ad618ab,Sweet Heart,스위트 하트,OK
3c023f8519a65392,Tokyo Fig,도쿄 피그,OK
816373be6e0243ea,Tokyo Stripe,도쿄 스트라이프,OK
b3016fc9ced7cdd4,Vanilla Passion,바닐라 패션,OK
