core_id,latin_core,korean_transliteration,reconstruction_status
2a3caf46612eaf30,160th Anniversary Limited Edition Original Musk Oil,,
8d7dcd0ba25392bb,ADE,,
66a837e7fbb4f44e,Acqua Dive,,
a3a06a5f7a3df365,After Bath,,
e1e7c91322c3ebda,Aromatic Blends: Fig Leaf & Sage,,
bb59ff06e6e3e3ab,Aromatic Blends: Nashi Blossom & Pink Grapefruit,,
61d88c79b784e7d1,Aromatic Blends: Orange Flower & Lychee,,
d68083f640932d2c,Aromatic Blends: Patchouli & Fresh Rose,,
b9269269041521c8,Aromatic Blends: Vanilla & Cedarwood,,
9e5f53fd015e8d17,Aromatic Blends: Vetiver & Black Tea,,
fb9a4e2b7ff77dba,Baby Blusher,,
60dc370026bce9f2,Bare,,
bb75e38c4310da25,Bitter,,
0ca6c73e9840ea9b,Blush Princess,,
5d4962bff5723f85,Botanik Leaf,,
6a34cddb594c539a,Bronze Goddess,,
cfedd5df03160a90,Case Study #11 Monsoon,,
0c75f8cfc3024933,Case Study #12 Dance and Balance,,
34e6f87bfb51e3d1,Case Study #16 Atelier Chai,,
30a7c025cf8216c7,Case Study #23 Amber Sanguine,,
4d560a98ae70a1a2,Case Study #3 O.A.C,,
dcba8cea16daacc5,Case Study #4 Black Wood,,
f8601423c78daa92,Case Study #8 Lights on Objet,,
1498333405bdb9d0,Case Study Untitled RboW X Eddie Kang Edition 500,,
40a6bd52e925352e,Daenamu 대나무,,
7a31a8271dfeaacb,Dark Kiss,,
da2e5dc515b188dc,Everyone,,
b6898405df492739,Feather,,
6a139fe88e790c1a,Forest Rain,,
d9ce2ea86f6aca2d,Hwawon 화원,,
8db5615f2f98cd54,Lady in Red,,
8a56fa83c3a5ebd3,Linen Citrus,,
c0810817b6929243,Midnight Violet,,
3df63bca6f6f0f36,NEUTRAL,,
9bee70ecf9a9f7e3,Night Love,,
0c7d5c95abbd9f4e,Odii 오디,,
adc2cd4a77eb9306,Original Musk,,
075b9a7ca78cf28e,Peony Dream,,
8db3bbab3345b9a1,Pink Romance,,
32612f8c02c6dee0,Radiant Lily,,
a4b38d9c1ecbaaca,Rosé Glamour,,
60bc171325ac2bba,Sachal 사찰,,
cb0d84cb06c4f40c,Santal Bleu,,
1c112c188891340c,Seduction Gold,,
35fbfb29ad857d65,Silver Queen,,
869aeec9bb3ef4d3,Sleeping Rose,,
8e5b5a8a8c5eb340,Slow September,,
cd12f1c1e0625d8a,Soap Clean Soap,,
c3bc90e754a71178,Ssook 쑥,,
330a513e67cf13fb,Sumuk 수묵,,
f77cb0915b899f20,Sun Kisses,,
e722ba8fdc703dda,Sunday Cotton,,
b5b602437ad618ab,Sweet Heart,,
3c023f8519a65392,Tokyo Fig,,
816373be6e0243ea,Tokyo Stripe,,
b3016fc9ced7cdd4,Vanilla Passion,,
