hwahae_rank,hwahae_source_product_id,hwahae_brand,hwahae_product,hwahae_brand_normalized,hwahae_identity_normalized,hwahae_concentration,overlap_status,matched_purchase_source,matched_purchase_source_rank,matched_purchase_product_id,matched_purchase_product_name,match_basis,previous_overlap_status,overlap_change,matched_candidate_basis
1,2032770,멈칫,스테이퍼퓸 [밤쉘],멈칫,스테이밤쉘,,NO_MATCH,,,,,related purchase row is a multi-scent listing excluded from confirmed KEEP; no individual Bombshell KEEP row,NO_MATCH,UNCHANGED,
2,1951691,딥티크,오 드 퍼퓸 오르페옹,딥티크,오르페옹,EDP,NO_MATCH,,,,,no conservative brand + identity match among confirmed purchase KEEP rows,NO_MATCH,UNCHANGED,
3,2009917,엘리자베스아덴,그린티 센트 스프레이,엘리자베스아덴,그린티센트스프레이,,MATCH_REVIEW,musinsa,109,1284601,그린티 센트 스프레이 EDC 30ml +향수 공병 증정,brand_exact + identity_exact; purchase specifies EDC while Hwahae omits concentration,MATCH_REVIEW,UNCHANGED,prior_confirmed_KEEP
4,2103479,조말론,우드 세이지 앤 씨 솔트 코롱,조말론,우드세이지앤씨솔트,EDC,NO_MATCH,,,,,no conservative brand + identity match among confirmed purchase KEEP rows,NO_MATCH,UNCHANGED,
5,2170533,다니엘트루스,시그니처 밤쉘루스,다니엘트루스,시그니처밤쉘루스,,NO_MATCH,,,,,no conservative brand + identity + product-form match among expanded candidates,NOT_IN_PREVIOUS_DENOMINATOR,ADDED_TO_FULL_TOP100_NO_MATCH,
6,1899775,랑방,에끌라 드 아르페쥬 EDP,랑방,에끌라드아르페쥬,EDP,MATCH,oliveyoung,197,A000000000444,랑방 에끌라 드 아르페쥬 EDP 30ml,brand_exact + identity_exact + EDP_exact,MATCH,UNCHANGED,prior_confirmed_KEEP
7,2136042,포맨트,시그니처 퍼퓸 [코튼메모리],포맨트,시그니처코튼메모리,,MATCH,oliveyoung,20,A000000221676,[박지훈 포카증정] 포맨트 시그니처 퍼퓸 코튼메모리 50ml 단품/기획,brand_exact + identity_exact + promotional_copy_removed,MATCH,UNCHANGED,prior_confirmed_KEEP
8,2134257,르라보,어나더 13 EDP,르라보,어나더13,EDP,NO_MATCH,,,,,no conservative brand + identity match among confirmed purchase KEEP rows,NO_MATCH,UNCHANGED,
9,2042358,딥티크,오 드 뚜왈렛 오 로즈,딥티크,오로즈,EDT,NO_MATCH,,,,,no conservative brand + identity match among confirmed purchase KEEP rows,NO_MATCH,UNCHANGED,
10,2098221,바닐라부티크,허그 향수,바닐라부티크,허그,,NO_MATCH,,,,,no conservative brand + identity match among confirmed purchase KEEP rows,NO_MATCH,UNCHANGED,
