candidate_family_id,canonical_brand,normalized_fragrance_name,commercial_identity_count,has_hwahae_signal,best_hwahae_rank,commercial_identity_ids,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,family_priority_rrf
cf_a2a7d12706f4,Lanvin,에끌라 드 아르페쥬,1,True,6.0,ci_8f9c6acf1230,110.0,9.0,,0.020375106564364878
cf_50d5e8ecea17,Montblanc,익스플로러,1,True,97.0,ci_5b7152a05a88,71.0,25.0,,0.019398293668612482
cf_87a4f91d80c0,Jennifer Lopez,글로우 바이 제이로,2,True,27.0,ci_0dcd41256f4a|ci_3f1625d048c2,128.0,14.0,,0.018832662449683728
cf_511617399090,Vivienne Westwood,태산 월넛크릭그린,1,True,25.0,ci_0375a31d4d31,3.0,,,0.015873015873015872
cf_16c34407d463,Forment,시그니처 코튼허그,1,True,19.0,ci_eb6bab7c7c6c,5.0,,,0.015384615384615385
cf_e282c27e55c9,Atelier Faye,데이 오프,2,True,20.0,ci_2c2eb1b4a4b1|ci_4f945c5205c0,200.0,29.0,,0.015082108902333621
cf_b30235b06332,Maison Martin Margiela,레플리카 레이지 선데이 모닝,1,True,12.0,ci_5aaf547e6734,14.0,,,0.013513513513513514
cf_20c89de2f748,Elizabeth Arden,그린티 센트 스프레이,2,True,3.0,ci_3cf24523e3e0|ci_d3fc426a9647,18.0,,,0.01282051282051282
cf_029e6f7b4540,Forment,박지훈 시그니처 코튼메모리,1,True,7.0,ci_be5552a929f6,,20.0,,0.0125
cf_58499b932bda,Calvin Klein,CK 비,1,True,86.0,ci_bef9410756d3,,30.0,,0.011111111111111112
cf_9a3ff5083c2c,Ariana Grande,땡큐 넥스트,1,True,33.0,ci_9a08a16f5b5e,,31.0,,0.01098901098901099
cf_cebf9ae3f860,Calvin Klein,CK One,1,True,30.0,ci_e950f7d25ef0,,33.0,,0.010752688172043012
cf_26cc82f0bb9d,Maison Martin Margiela,레플리카 재즈 클럽,1,True,35.0,ci_5aa30ef621dc,37.0,,,0.010309278350515464
cf_f26ea16582f0,Calvin Klein,CK 올,1,True,79.0,ci_ecf6117c3a16,,41.0,,0.009900990099009901
cf_95772c18e25d,Lanvin,잔느,1,True,59.0,ci_a5b6588d75c6,,44.0,,0.009615384615384616
cf_b9e56e1644a5,Sennok,애프터배스,1,True,78.0,ci_c66ebe22a527,45.0,,,0.009523809523809525
cf_4364822bef5a,Ariana Grande,스위트 라이크 캔디,1,True,38.0,ci_b1466cebe3b7,294.0,113.0,,0.008605205577871394
cf_2478da13cb60,Jimmy Choo,블러썸,1,True,52.0,ci_c9752303ca5e,324.0,107.0,,0.008592190618762475
cf_0139983bbcc4,Lanvin,레 플레르 드 워터 릴리,1,True,68.0,ci_ed334daca304,,60.0,,0.008333333333333333
cf_1e505cfd7d5e,Clean,퓨어솝,1,True,62.0,ci_e4de5fac0d9b,68.0,,,0.0078125
cf_7dfcf9743ea9,Jimmy Choo,,1,True,83.0,ci_65eac4509013,,72.0,,0.007575757575757576
cf_8d8b0136c82d,Lanvin,메리미,1,True,54.0,ci_3637be30a1f2,,87.0,,0.006802721088435374
cf_fc2450127f3b,Dashu,아쿠아 다이브,1,True,29.0,ci_ed9de50488a4,93.0,,,0.006535947712418301
cf_5087eb58dad2,Forment,시그니처 코튼브리즈,1,True,24.0,ci_d7564396fd9b,,96.0,,0.00641025641025641
cf_2a61e8bc5446,Versace,브라이트 크리스탈 1종,1,True,63.0,ci_f87fae9b0c0e,,,105.0,0.006060606060606061
cf_27a342bde00c,Ariana Grande,클라우드,1,True,72.0,ci_801a083b87d3,,112.0,,0.005813953488372093
cf_6e8326977e4f,Lanvin,레 플레르 드 랑방 블루 오키드,1,True,82.0,ci_c015a799d166,188.0,,,0.004032258064516129
cf_998b68f1c3dd,Montblanc,레전드,1,True,84.0,ci_736dd9e89d13,,195.0,,0.00392156862745098
cf_3bc9f9d715a5,Ariana Grande,아리,1,True,39.0,ci_8320393300a0,,199.0,,0.003861003861003861
cf_f09e9b850958,Clean,클래식 쿨 코튼,1,True,88.0,ci_c420901cde27,293.0,,,0.0028328611898017
cf_6648a84e6469,Mumchit,스테이 쉘,1,True,1.0,ci_2c35fded8c71,,,,0.0
cf_99098b2ebef3,Diptyque,오르페옹,1,True,2.0,ci_a0a02b36cbab,,,,0.0
cf_a82dc8b7b228,Jo Malone London,우드 세이지 앤 씨 솔트 코롱,1,True,4.0,ci_c427296fb61c,,,,0.0
cf_4ecc10343e17,Daniel's Truth,시그니처 쉘루스,1,True,5.0,ci_4de0e6367ac7,,,,0.0
cf_326f5c8c3fdf,Le Labo,어나더 13,1,True,8.0,ci_1af25ac959c8,,,,0.0
cf_8fef192a9d99,Diptyque,오 로즈,1,True,9.0,ci_162ce4d89e5c,,,,0.0
cf_f11ef1db4ed3,Vanilla Boutique,허그,1,True,10.0,ci_1bf0bf800b0a,,,,0.0
cf_20585e0dc507,Aesop,테싯,1,True,11.0,ci_9c7b60cda438,,,,0.0
cf_38663302e4a7,Chloé,시그니처,1,True,13.0,ci_107454de822b,,,,0.0
cf_e84c07023bd1,Byredo,블랑쉬,1,True,14.0,ci_17304073f859,,,,0.0
cf_1156cbab15d8,Dior,미스,1,True,15.0,ci_d26a1c904519,,,,0.0
cf_a154fa534a73,Dior,미스 블루밍 부케,1,True,16.0,ci_2084bc83573d,,,,0.0
cf_f5bd84848f79,Diptyque,필로시코스,2,True,17.0,ci_5bd545b067ba|ci_35680c3bc0ca,,,,0.0
cf_2184635bb0f9,Kiehl's,오리지널 머스크,1,True,21.0,ci_da3cc8d44820,,,,0.0
cf_7c9f595b60bf,Byredo,라튤립,1,True,22.0,ci_844918cb9436,,,,0.0
cf_a5382d0be440,Jo Malone London,블랙베리 앤 베이 코롱,1,True,23.0,ci_0bb163868ef8,,,,0.0
cf_b910370859fd,Byredo,발 다프리크,1,True,26.0,ci_062f12f6c251,,,,0.0
cf_bb0d342c5f89,Santa Maria Novella,피렌체 1221 에디션 프리지아,1,True,28.0,ci_4810685a726a,,,,0.0
cf_3a61acbb281f,Dior,쟈도르,1,True,31.0,ci_4277d84bcdbc,,,,0.0
cf_ea69a0813d28,Chanel,샹스 오 후레쉬,1,True,32.0,ci_a1ab120d463f,,,,0.0
cf_a21a3b6a8fbc,Chanel,N 5 오 프르미에르 오 드 빠르펭,1,True,34.0,ci_c64418cfae23,,,,0.0
cf_87cc27c02da3,Diptyque,플레르 드 뽀,1,True,36.0,ci_3a60949bd23c,,,,0.0
cf_f5108821ba2f,Chanel,알뤼르 옴므 스포츠,1,True,37.0,ci_144c02ac2e8c,,,,0.0
cf_92ff376e66aa,Chanel,코코 마드모아 오 드 빠르펭,1,True,40.0,ci_b440592c99d0,,,,0.0
cf_b9e446fb1b25,Chanel,샹스 오 비브,1,True,41.0,ci_7b7aed26cc5b,,,,0.0
cf_9b8886b5e6a6,Lancôme,미라클,1,True,42.0,ci_0e58a7b232c1,,,,0.0
cf_5d72b579387b,Tom Ford,네롤리 포르토피노,1,True,43.0,ci_62e83b955e8e,,,,0.0
cf_6e59618f8837,Lanvin,모던 프린세스 오 센슈얼,1,True,44.0,ci_bd02a2fbb9cf,,,,0.0
cf_9ccd344b8791,Hermès,운 자르뎅 수르닐,1,True,45.0,ci_af915105c9d6,,,,0.0
cf_1445650e59bb,Yves Saint Laurent,리브르 오 드 빠르펭,1,True,46.0,ci_d7d573ee1c3e,,,,0.0
cf_8b330fcf7cf0,Jo Malone London,잉글리쉬 오크 앤 헤이즐넛 코롱,1,True,47.0,ci_7140e79c0934,,,,0.0
cf_c5d56150c9d7,Gucci,플로라 골저스가드니아,1,True,48.0,ci_a43934ab0bfc,,,,0.0
cf_a2b3f95e0b9f,Byredo,모하비 고스트,1,True,49.0,ci_08444c325013,,,,0.0
cf_ab698dacce16,Chanel,샹스 오 땅드르 오 드 빠르펭,1,True,50.0,ci_389cfde1d598,,,,0.0
cf_bcde157c2f40,Chanel,N 1 드 레드 까멜리아,1,True,51.0,ci_c493990816c7,,,,0.0
cf_790b92c0aafc,Le Labo,상탈 33,1,True,53.0,ci_293208b599e8,,,,0.0
cf_4540033b4169,Aesop,로즈,1,True,55.0,ci_a616dd0ed39d,,,,0.0
cf_20c0537186fb,Huxley,모로칸가드너,1,True,56.0,ci_62c43a95d372,,,,0.0
cf_25f1b494d4bc,Jo Malone London,잉글리쉬 페어 앤 프리지아 코롱,1,True,57.0,ci_c55267126886,,,,0.0
cf_a5ba35db87f5,Salvatore Ferragamo,인칸토 참,1,True,58.0,ci_74dd483efbfd,,,,0.0
cf_673515e444ca,토스,베이비 오 데 코롱,1,True,60.0,ci_6045ff2d156f,,,,0.0
cf_bffe9ed20c92,Estée Lauder,플레져 스프레이,1,True,61.0,ci_7950ebae05bd,,,,0.0
cf_39604428ad9d,Gucci,블룸,1,True,64.0,ci_8b6c935a8532,,,,0.0
cf_14dda770b229,Byredo,집시 워터,1,True,65.0,ci_71ebbf36734f,,,,0.0
cf_5e9d99f27ffb,Jo Malone London,와일드 블루벨 코롱,1,True,66.0,ci_d9f02e55e685,,,,0.0
cf_01231600cef1,Yves Saint Laurent,리브르,1,True,67.0,ci_967f46658c28,,,,0.0
cf_8a3690690360,Yves Saint Laurent,몽 파리 오 드 빠르펭,1,True,69.0,ci_62d910c73aef,,,,0.0
cf_2027fb0162e7,Santa Maria Novella,피렌체 1221 에디션 엔 디 피렌체,1,True,70.0,ci_f3536fc87e94,,,,0.0
cf_a094fe7c469e,Acqua di Parma,피코 디 아말피 오 드 뜨왈렛,1,True,71.0,ci_9d1a7b03ec31,,,,0.0
cf_e20b7de59620,Byredo,인플로레센스,1,True,73.0,ci_e482bce17fd1,,,,0.0
cf_15d99b2d4944,Santa Maria Novella,피렌체 1221 에디션 로사 가데니아,1,True,74.0,ci_c1af0ea0301d,,,,0.0
