commercial_identity_id,canonical_brand,fragrance_name_normalized,concentration,product_form,candidate_family_id,has_purchase_signal,has_hwahae_signal,best_hwahae_rank,purchase_overlap_status,purchase_overlap_basis,matched_purchase_commercial_identity_id,member_count,purchase_member_count,hwahae_member_count,member_refs,fragrantica_match_attempted,fragrantica_match_status,fragrantica_id,fragrantica_match_basis,fragrantica_candidate_ids,fragrantica_match_score,fragrantica_candidate_names,fragrantica_match_margin,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,fragrantica_verification_refusal
ci_e58baaff7634,무신사 스탠다드 뷰티,무신사 스탠다드 애프터 샤워,EDP,LIQUID_PERFUME,cf_c0947df60c34,True,False,,,,,1,1,0,musinsa:1,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,1.0,,,
ci_0375a31d4d31,Vivienne Westwood,태산 월넛크릭그린,EDP,LIQUID_PERFUME,cf_511617399090,True,True,25.0,MATCH,brand_exact + identity_exact + EDP_exact,ci_0375a31d4d31,3,2,1,musinsa:3|musinsa:21|hwahae:25,True,NO_MATCH,,compatible candidate not found,1533|1534|9989|1535|21770,0.47619,Boudoir Sin Garden|Let It Rock|Naughty Alice|Libertine|Mon Boudoir,0.10119,3.0,,,
ci_eb6bab7c7c6c,Forment,시그니처 코튼허그,PARFUM_UNSPECIFIED,LIQUID_PERFUME,cf_16c34407d463,True,True,19.0,MATCH,brand_exact + identity_exact,ci_eb6bab7c7c6c,2,1,1,musinsa:5|hwahae:19,True,MATCH,75979.0,"snapshot manual confirmation: brand, fragrance name, concentration/form compatible",75979,1.0,Cotton Hug,,5.0,,,
ci_1eb4b6619fa0,무신사 스탠다드 뷰티,Gen G Chovy,EDP,LIQUID_PERFUME,cf_24344e7d2727,True,False,,,,,1,1,0,musinsa:6,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,6.0,,,
ci_ea3b2620a699,무신사 스탠다드 뷰티,노홍철 럭키 가이 실행력,EDP,LIQUID_PERFUME,cf_7e16920873b1,True,False,,,,,1,1,0,musinsa:7,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,7.0,,,
ci_d97a8f66f9f2,무신사 스탠다드 뷰티,무신사 스탠다드 시어,EDP,LIQUID_PERFUME,cf_eb3077ce8cde,True,False,,,,,1,1,0,musinsa:8,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,8.0,,,
ci_c14f3f1be109,리베르,김켄지 구름 비누향 클라우드 사이 Cloud Sai,EDP,LIQUID_PERFUME,cf_1abd1e5d1062,True,False,,,,,1,1,0,musinsa:10,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,10.0,,,
ci_fe5476d260a3,무신사 스탠다드 뷰티,무신사 스탠다드 스모크 오우드,EDP,LIQUID_PERFUME,cf_ea1154c5562a,True,False,,,,,1,1,0,musinsa:11,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,11.0,,,
ci_db1f1f0f25c7,무신사 스탠다드 뷰티,무신사 스탠다드 모시 헤이즈,EDP,LIQUID_PERFUME,cf_2502d2b069d3,True,False,,,,,1,1,0,musinsa:12,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,12.0,,,
ci_71460603b2e8,무신사 스탠다드 뷰티,Gen G Ruler,EDP,LIQUID_PERFUME,cf_acb2f6eddb5f,True,False,,,,,1,1,0,musinsa:13,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,13.0,,,
ci_5aaf547e6734,Maison Martin Margiela,레플리카 레이지 선데이 모닝,EDT,LIQUID_PERFUME,cf_b30235b06332,True,True,12.0,MATCH,brand_alias + replica_collection_label_removed + identity_exact + EDT_exact,ci_5aaf547e6734,4,3,1,musinsa:14|musinsa:27|musinsa:34|hwahae:12,True,MATCH,20542.0,"snapshot manual confirmation: brand, fragrance name, concentration/form compatible",20542,1.0,Lazy Sunday Morning,,14.0,,,
ci_ae8fc927ce80,SW19,Midnight,EDP,LIQUID_PERFUME,cf_66881fcf37b8,True,False,,,,,3,3,0,musinsa:15|musinsa:40|musinsa:182,True,MATCH,93865.0,brand exact/explicit alias; name exact score=1.000 margin=0.375; concentration compatible; form compatible; llm reconstructed name exact,93865|123067|93866|125266|93864,1.0,Midnight|Twilight|Noon|8am|6am,0.375,15.0,,,
ci_124bd000dfcf,Youssoful,세인트모리츠 니치,UNSPECIFIED,LIQUID_PERFUME,cf_333d6bf4fdf0,True,False,,,,,1,1,0,musinsa:16,True,MATCH,95034.0,brand exact/explicit alias; name exact score=1.000 margin=0.375; no conflicting concentration record; form compatible; llm reconstructed name exact,95034|118433|118435|118424|118428,1.0,Saint Moritz|Santal Sequoia|Emporia Cotton|Dimanche à Paris|Daiquiri,0.375,16.0,,,
ci_3cf24523e3e0,Elizabeth Arden,그린티 센트 스프레이,EDC,LIQUID_PERFUME,cf_20c89de2f748,True,False,,,,,2,2,0,musinsa:18|musinsa:109,True,MATCH,83.0,"snapshot manual confirmation: brand, fragrance name, concentration/form compatible",83,1.0,Green Tea,,18.0,,,
ci_5575147b0b3b,뉴뉴,샤를33 네놀리,EDP,LIQUID_PERFUME,cf_626a4a4a592a,True,False,,,,,1,1,0,musinsa:19,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,19.0,,,
ci_be61dc55fcd7,무신사 스탠다드 뷰티,무신사 스탠다드 코코모,EDP,LIQUID_PERFUME,cf_9fca0bdd48ba,True,False,,,,,1,1,0,musinsa:20,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,20.0,,,
ci_7b5e6d8fb388,무신사 스탠다드 뷰티,무신사 스탠다드 미드나잇 램블러,EDP,LIQUID_PERFUME,cf_471f4344ffcb,True,False,,,,,1,1,0,musinsa:23,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,23.0,,,
ci_44bff09ef9ae,뉴뉴,샤인30,EDP,LIQUID_PERFUME,cf_88ce78989c50,True,False,,,,,1,1,0,musinsa:25,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,25.0,,,
ci_68d02e396164,리베르,김켄지 첫눈 스노우 사이 Snow Sai,EDP,LIQUID_PERFUME,cf_4e9d7e026953,True,False,,,,,1,1,0,musinsa:28,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,28.0,,,
ci_6a221cc81cac,LOIVIE,베르가못 앤 화이트 로즈,EDP,ROLL_ON,cf_b67f94f1560e,True,False,,,,,1,1,0,musinsa:29,True,NO_MATCH,,compatible candidate not found,95644,0.375,Peony & White Musk Eau de Parfum Roll On,0.375,29.0,,,
ci_b0631f739e4f,Jill Stuart,화이트 플로럴 000상당,EDT,LIQUID_PERFUME,cf_7c2c5a9254e2,True,False,,,,,1,1,0,musinsa:30,True,MATCH_REVIEW,,candidate retrieval only; name score=0.688 margin=0.287; manual confirmation required; concentration compatible,17023|11719|48266|11720|128057,0.6875,Relax Eau de White Floral|Jill|Crystal Bloom Promised Love|Jill Stuart Sweet Dreams|Petit Patisserie,0.2875,30.0,,,
ci_6ddaef18703e,투데이이즈,인유어메모리 오드,EDP,LIQUID_PERFUME,cf_7561cdd7a2cd,True,False,,,,,1,1,0,musinsa:32,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,32.0,,,
ci_de7b96871680,누다라,시그니처 오키탈,PARFUM_UNSPECIFIED,LIQUID_PERFUME,cf_e008eb3a3acc,True,False,,,,,1,1,0,musinsa:33,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,33.0,,,
ci_72b3ebd6097d,Versace,브라이트 크리스탈,EDT,LIQUID_PERFUME,cf_e7216fa01447,True,False,,,,,6,6,0,musinsa:35|musinsa:284|lotte:8|lotte:106|lotte:131|lotte:297,True,MATCH,632.0,brand exact/explicit alias; name exact score=1.000 margin=0.188; no conflicting concentration record; form compatible; llm reconstructed name exact,632|92277|21547|98609|631,1.0,Bright Crystal|Bright Crystal Parfum|Bright Crystal Absolu|Ambre Nectar|Crystal Noir,0.1875,35.0,,8.0,
ci_5aa30ef621dc,Maison Martin Margiela,레플리카 재즈 클럽,EDT,LIQUID_PERFUME,cf_26cc82f0bb9d,True,True,35.0,MATCH,brand_alias + replica_collection_label_removed + identity_exact + EDT_exact,ci_5aa30ef621dc,4,3,1,musinsa:37|musinsa:39|musinsa:54|hwahae:35,True,MATCH_REVIEW,,candidate retrieval only; name score=0.696 margin=0.196; manual confirmation required; no conflicting concentration record,20541|31623|15260|55927|129379,0.695652,Jazz Club|By the Fireplace|Flower Market|Springtime in a Park|Delight in Despair,0.195652,37.0,,,
ci_2228ae3a9f00,John Varvatos,아티산,EDT,LIQUID_PERFUME,cf_347dfc796be0,True,False,,,,,2,2,0,musinsa:42|musinsa:49,True,MATCH,5534.0,"human confirmation review: brand, fragrance name, concentration/form compatible",5534,1.0,Artisan,,42.0,,,
ci_cc65771c068b,누다라,시그니처 우드마벨,PARFUM_UNSPECIFIED,LIQUID_PERFUME,cf_bab90df0a55c,True,False,,,,,1,1,0,musinsa:44,True,NO_MATCH,,compatible candidate not found,120625|120623|120622|120621|120620,0.0,Объятие|Когда цветёт папоротник|Облака под нами|Садовник и роза|Кафе на краю Вселенной,0.0,44.0,,,
ci_c66ebe22a527,Sennok,애프터배스,PARFUM_UNSPECIFIED,LIQUID_PERFUME,cf_b9e56e1644a5,True,True,78.0,MATCH,brand_exact + identity_exact,ci_c66ebe22a527,2,1,1,musinsa:45|hwahae:78,True,MATCH,109563.0,brand exact/explicit alias; name exact score=1.000 margin=0.500; no conflicting concentration record; form compatible; llm reconstructed name exact,109563|109564|109566|123062|123063,1.0,After Bath|Slow September|Baby Blusher|Linen Citrus|Sleeping Rose,0.5,45.0,,,
ci_f40670521ac6,Sennok,솝클린솝,PARFUM_UNSPECIFIED,LIQUID_PERFUME,cf_1a488a6f1f7f,True,False,,,,,1,1,0,musinsa:47,True,MATCH,109565.0,brand exact/explicit alias; name exact score=1.000 margin=0.429; no conflicting concentration record; form compatible; llm reconstructed name exact,109565|123063|123062|109564|109566,1.0,Soap Clean Soap|Sleeping Rose|Linen Citrus|Slow September|Baby Blusher,0.428571,47.0,,,
ci_ed4dff7afb27,Clean,클리어 애플 블로썸,EDP,LIQUID_PERFUME,cf_a65b94c535c7,True,False,,,,,2,2,0,musinsa:48|musinsa:98,True,MATCH,82586.0,"human confirmation review: brand, fragrance name, concentration/form compatible",82586,1.0,Apple Blossom,,48.0,,,
