source,source_rank,source_product_id,product_name_raw,product_url,first_pass_cleaning_rule,first_pass_option_type,manual_check_reason,manual_check_question
musinsa,22,6210284,이노센트 타임 50ml,https://www.musinsa.com/products/6210284,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,24,6210282,센슈얼 터치 50ml,https://www.musinsa.com/products/6210282,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,31,4469595,마이 핸디 롤온 퍼퓸 (택1),https://www.musinsa.com/products/4469595,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
musinsa,38,4664334,오 드 퍼퓸 25ml,https://www.musinsa.com/products/4664334,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,43,6210283,필링 브리즈 50ml,https://www.musinsa.com/products/6210283,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,50,6257659,타투 퍼퓸 50ml,https://www.musinsa.com/products/6257659,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,57,6257933,오 드 퍼퓸 30mL,https://www.musinsa.com/products/6257933,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,63,4727979,오 드 퍼퓸 12ml+12ml 세트,https://www.musinsa.com/products/4727979,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
musinsa,67,6282382,무드 퍼퓸 스프레이 300ml,https://www.musinsa.com/products/6282382,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,70,4570024,블루밍 나잇 50ml,https://www.musinsa.com/products/4570024,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,74,3695028,A/O. Multi Fragrance (LATHER),https://www.musinsa.com/products/3695028,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,85,6282384,무드 퍼퓸 스프레이 100ml,https://www.musinsa.com/products/6282384,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,104,2417243,향기에 집중한 향수 / 퍼퓸 30ml,https://www.musinsa.com/products/2417243,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,106,6945534,[2 PACK] 오 드 퍼퓸 롤온 7.5ml,https://www.musinsa.com/products/6945534,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
musinsa,116,6481855,오드퍼퓸 10ml 미니 향수,https://www.musinsa.com/products/6481855,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,122,6460506,무드 퍼퓸 스프레이 리필액 300ml,https://www.musinsa.com/products/6460506,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,126,4108748,A/O. Multi Fragrance (Pyunbaek),https://www.musinsa.com/products/4108748,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
