source,source_rank,ranking_basis,ranking_period,source_product_id,brand_raw,product_name_raw,product_url,price_raw,collected_at,source_file,har_entry_index,cleaning_status,option_type,cleaning_rule,cleaning_reason,option_basis,option_reason,prior_review_context,audit_raw_csv_line,second_pass_status,second_pass_basis,second_pass_reason,local_evidence_refs,audit_evidence_json,manual_check_reason,manual_check_question
musinsa,2,판매수량순,3개월,5335796,912,"912 엑스트레 드 퍼퓸 40ml (6종) EXT / 지속력, 발향력 강화 버전",https://www.musinsa.com/products/5335796,24000,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,UNKNOWN,option_unknown,옵션 유형 혼합 또는 옵션 대응 근거 부족,unresolved_option,선택/N종 표기는 있으나 향·용량·구성의 대응 근거 부족,,3,EXCLUDE_SCENT_OPTION,single_size_multiple_scent_variants,한 용량의 향수 N종을 한 판매상품으로 제시하며 세트/다개입 표기가 없어 서로 다른 향 선택 상품으로 판정했다.,,"{""concentration_Extrait"": [""엑스트레 드 퍼퓸""], ""unmapped_concentration_code"": [""EXT""], ""main_count_options"": [""6종""]}",,
musinsa,4,판매수량순,3개월,4998650,912,니치향수 오드퍼퓸 40ml (48종),https://www.musinsa.com/products/4998650,22500,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,UNKNOWN,option_unknown,옵션 유형 혼합 또는 옵션 대응 근거 부족,unresolved_option,선택/N종 표기는 있으나 향·용량·구성의 대응 근거 부족,,5,EXCLUDE_SCENT_OPTION,single_size_multiple_scent_variants,한 용량의 향수 N종을 한 판매상품으로 제시하며 세트/다개입 표기가 없어 서로 다른 향 선택 상품으로 판정했다.,,"{""concentration_EDP"": [""오드퍼퓸""], ""main_count_options"": [""48종""]}",,
musinsa,22,판매수량순,3개월,6210284,레르드사봉,이노센트 타임 50ml,https://www.musinsa.com/products/6210284,33200,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,NONE,product_type_unconfirmed,용량/이름만 있고 인체용 향수 표현이 없어 로컬 상품명만으로 용도 확정 불가,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,23,MANUAL_CHECK,product_page_required,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,,{},제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,24,판매수량순,3개월,6210282,레르드사봉,센슈얼 터치 50ml,https://www.musinsa.com/products/6210282,32400,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,NONE,product_type_unconfirmed,용량/이름만 있고 인체용 향수 표현이 없어 로컬 상품명만으로 용도 확정 불가,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,25,MANUAL_CHECK,product_page_required,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,,{},제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,31,판매수량순,3개월,4469595,어퓨,마이 핸디 롤온 퍼퓸 (택1),https://www.musinsa.com/products/4469595,7200,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,UNKNOWN,option_unknown,옵션 유형 혼합 또는 옵션 대응 근거 부족,unresolved_option,선택/N종 표기는 있으나 향·용량·구성의 대응 근거 부족,,32,MANUAL_CHECK,product_page_required,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,,"{""oil_rollon_mention"": [""롤온""], ""explicit_option"": [""택1""]}",택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
musinsa,38,판매수량순,3개월,4664334,애프터블로우,오 드 퍼퓸 25ml,https://www.musinsa.com/products/4664334,42000,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,NONE,identity_unclear,오 드 퍼퓸 25ml만 표기; 같은 브랜드 올리브영 6위는 15종 택1,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,39,MANUAL_CHECK,product_page_required,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,,"{""concentration_EDP"": [""오 드 퍼퓸""]}",상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,43,판매수량순,3개월,6210283,레르드사봉,필링 브리즈 50ml,https://www.musinsa.com/products/6210283,32400,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,NONE,product_type_unconfirmed,용량/이름만 있고 인체용 향수 표현이 없어 로컬 상품명만으로 용도 확정 불가,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,44,MANUAL_CHECK,product_page_required,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,,{},제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,46,판매수량순,3개월,5629463,에이딕트,솔리드 퍼퓸 30ml (선택),https://www.musinsa.com/products/5629463,23500,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,UNKNOWN,option_unknown,옵션 유형 혼합 또는 옵션 대응 근거 부족,unresolved_option,선택/N종 표기는 있으나 향·용량·구성의 대응 근거 부족,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,47,EXCLUDE_NON_PERFUME,unknown_option_but_all_non_perfume,옵션의 세부 유형과 무관하게 주상품이 고체향수·이너퍼퓸·바디스프레이로 명확하다.,,"{""solid_cream_stick_mention"": [""솔리드""], ""explicit_option"": [""선택""]}",,
musinsa,50,판매수량순,3개월,6257659,그라펜,타투 퍼퓸 50ml,https://www.musinsa.com/products/6257659,50000,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,NONE,identity_unclear,타투 퍼퓸만 표기; 같은 브랜드 올리브영 22위는 여러 향 선택,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,51,MANUAL_CHECK,product_page_required,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,,{},상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,57,판매수량순,3개월,6257933,플르부아,오 드 퍼퓸 30mL,https://www.musinsa.com/products/6257933,38700,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,NONE,identity_unclear,오 드 퍼퓸 30ml만 표기되어 개별 향 미식별,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,58,MANUAL_CHECK,product_page_required,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,,"{""concentration_EDP"": [""오 드 퍼퓸""]}",상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
