map_identity_id,fragrantica_id,fragrantica_brand,fragrantica_name,fragrantica_year,commercial_identity_ids,commercial_identity_count,has_purchase_signal,has_hwahae_signal,best_hwahae_rank,purchase_overlap_statuses,accord_count,note_count,map_identity_conflict,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,purchase_rrf_k20,purchase_rrf_k60,purchase_rrf_k100,purchase_rrf_without_musinsa,purchase_rrf_without_oliveyoung,purchase_rrf_without_lotte,map_ready,selection_rank,selection_status,selection_basis
fragrantica:46663,46663,Mancera,Red Tobacco,2017.0,ci_8fce3d2bf820,1,True,False,,,8,16,False,,,228.0,0.004032258064516129,0.003472222222222222,0.003048780487804878,0.003472222222222222,0.003472222222222222,0.0,True,201,RESERVE,PURCHASE_RRF_FILL
fragrantica:118435,118435,Youssoful,Emporia Cotton,,ci_3038ed5e0910,1,True,False,,,8,9,False,230.0,,,0.004,0.0034482758620689655,0.0030303030303030303,0.0,0.0034482758620689655,0.0034482758620689655,True,202,RESERVE,PURCHASE_RRF_FILL
fragrantica:61046,61046,Mancera,Vetiver Sensuel,2020.0,ci_d949fba63554,1,True,False,,,8,13,False,,,230.0,0.004,0.0034482758620689655,0.0030303030303030303,0.0034482758620689655,0.0034482758620689655,0.0,True,203,RESERVE,PURCHASE_RRF_FILL
fragrantica:95620,95620,LOIVIE,Bergamot & White Rose,2023.0,ci_c56b3b5c17ef,1,True,False,,,8,6,False,231.0,,,0.00398406374501992,0.003436426116838488,0.0030211480362537764,0.0,0.003436426116838488,0.003436426116838488,True,204,RESERVE,PURCHASE_RRF_FILL
fragrantica:12299,12299,Montale,Musk to Musk,2010.0,ci_b5092ea1a84d,1,True,False,,,8,6,False,,,231.0,0.00398406374501992,0.003436426116838488,0.0030211480362537764,0.003436426116838488,0.003436426116838488,0.0,True,205,RESERVE,PURCHASE_RRF_FILL
fragrantica:2432,2432,The Body Shop,White Musk,1981.0,ci_a7bda112211a,1,True,False,,,8,19,False,232.0,,,0.003968253968253968,0.003424657534246575,0.0030120481927710845,0.0,0.003424657534246575,0.003424657534246575,True,206,RESERVE,PURCHASE_RRF_FILL
fragrantica:125266,125266,SW19,8am,2025.0,ci_6ce8b5ca257a,1,True,False,,,8,8,False,233.0,,,0.003952569169960474,0.0034129692832764505,0.003003003003003003,0.0,0.0034129692832764505,0.0034129692832764505,True,207,RESERVE,PURCHASE_RRF_FILL
fragrantica:9222,9222,Montale,Roses Elixir,2010.0,ci_02bfc852a873,1,True,False,,,8,11,False,,,234.0,0.003937007874015748,0.003401360544217687,0.0029940119760479044,0.003401360544217687,0.003401360544217687,0.0,True,208,RESERVE,PURCHASE_RRF_FILL
fragrantica:2318,2318,Versace,Versace Pour Homme,2008.0,ci_a808a5a9dea4,1,True,False,,,8,11,False,235.0,,,0.00392156862745098,0.003389830508474576,0.0029850746268656717,0.0,0.003389830508474576,0.003389830508474576,True,209,RESERVE,PURCHASE_RRF_FILL
fragrantica:94900,94900,RboW,Case Study #11 Monsoon,2023.0,ci_56df94402d2d,1,True,False,,,8,9,False,,235.0,,0.00392156862745098,0.003389830508474576,0.0029850746268656717,0.003389830508474576,0.0,0.003389830508474576,True,210,RESERVE,PURCHASE_RRF_FILL
fragrantica:3772,3772,Montale,Crystal Flowers,2007.0,ci_ba040a294bf0,1,True,False,,,8,5,False,,,235.0,0.00392156862745098,0.003389830508474576,0.0029850746268656717,0.003389830508474576,0.003389830508474576,0.0,True,211,RESERVE,PURCHASE_RRF_FILL
fragrantica:46099,46099,Montale,Sweet Peony,2017.0,ci_d84388df7a7e,1,True,False,,,8,9,False,,,236.0,0.00390625,0.0033783783783783786,0.002976190476190476,0.0033783783783783786,0.0033783783783783786,0.0,True,212,RESERVE,PURCHASE_RRF_FILL
fragrantica:39123,39123,Calvin Klein,CK One Gold,2016.0,ci_77bccd934bf9,1,True,False,,,8,9,False,,237.0,,0.0038910505836575876,0.003367003367003367,0.002967359050445104,0.003367003367003367,0.0,0.003367003367003367,True,213,RESERVE,PURCHASE_RRF_FILL
fragrantica:11896,11896,Rance 1795,Le Roi Empereur,2011.0,ci_5ae531dd8075,1,True,False,,,8,12,False,,,237.0,0.0038910505836575876,0.003367003367003367,0.002967359050445104,0.003367003367003367,0.003367003367003367,0.0,True,214,RESERVE,PURCHASE_RRF_FILL
fragrantica:84095,84095,Sabrina Carpenter,Sweet Tooth Caramel Dream,2023.0,ci_ddce5bc87547,1,True,False,,,8,14,False,,238.0,,0.003875968992248062,0.003355704697986577,0.0029585798816568047,0.003355704697986577,0.0,0.003355704697986577,True,215,RESERVE,PURCHASE_RRF_FILL
fragrantica:49029,49029,Mancera,Gold Incense,2018.0,ci_ae479988a6d6,1,True,False,,,8,11,False,,,238.0,0.003875968992248062,0.003355704697986577,0.0029585798816568047,0.003355704697986577,0.003355704697986577,0.0,True,216,RESERVE,PURCHASE_RRF_FILL
fragrantica:35971,35971,Elizabeth Arden,Green Tea Nectarine Blossom,2016.0,ci_6e45f24474bd,1,True,False,,,8,8,False,242.0,,,0.003816793893129771,0.0033112582781456954,0.0029239766081871343,0.0,0.0033112582781456954,0.0033112582781456954,True,217,RESERVE,PURCHASE_RRF_FILL
fragrantica:9559,9559,Montale,Aoud Forest,2009.0,ci_2faf29e0440f,1,True,False,,,8,9,False,,,242.0,0.003816793893129771,0.0033112582781456954,0.0029239766081871343,0.0033112582781456954,0.0033112582781456954,0.0,True,218,RESERVE,PURCHASE_RRF_FILL
fragrantica:11793,11793,Jaguar,Jaguar Classic Black,2009.0,ci_10ec36e81e9c,1,True,False,,,8,14,False,,,243.0,0.0038022813688212928,0.0033003300330033004,0.0029154518950437317,0.0033003300330033004,0.0033003300330033004,0.0,True,219,RESERVE,PURCHASE_RRF_FILL
fragrantica:110370,110370,Holibanum,Limeade,2023.0,ci_d2de71c7a308,1,True,False,,,8,3,False,,246.0,,0.0037593984962406013,0.0032679738562091504,0.002890173410404624,0.0032679738562091504,0.0,0.0032679738562091504,True,220,RESERVE,PURCHASE_RRF_FILL
