map_identity_id,fragrantica_id,fragrantica_brand,fragrantica_name,fragrantica_year,commercial_identity_ids,commercial_identity_count,has_purchase_signal,has_hwahae_signal,best_hwahae_rank,purchase_overlap_statuses,accord_count,note_count,map_identity_conflict,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,purchase_rrf_k20,purchase_rrf_k60,purchase_rrf_k100,purchase_rrf_without_musinsa,purchase_rrf_without_oliveyoung,purchase_rrf_without_lotte,map_ready,selection_rank,selection_status,selection_basis
fragrantica:63828,63828,Banana Republic,Tobacco & Tonka Bean,2019.0,ci_52cf9a832163,1,True,False,,,8,6,False,,,212.0,0.004310344827586207,0.003676470588235294,0.003205128205128205,0.003676470588235294,0.003676470588235294,0.0,True,201.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:72448,72448,Lalique,Soleil Vibrant,2022.0,ci_d4d00261f05c,1,True,False,,,8,10,False,,,213.0,0.004291845493562232,0.003663003663003663,0.003194888178913738,0.003663003663003663,0.003663003663003663,0.0,True,202.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:55783,55783,Lalique,Soleil,2019.0,ci_647462aaf9a7,1,True,False,,,8,12,False,,,214.0,0.004273504273504274,0.0036496350364963502,0.0031847133757961785,0.0036496350364963502,0.0036496350364963502,0.0,True,203.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:637,637,Versace,Blue Jeans,1994.0,ci_c4a5a43bd1ec,1,True,False,,,8,24,False,217.0,,,0.004219409282700422,0.0036101083032490976,0.0031545741324921135,0.0,0.0036101083032490976,0.0036101083032490976,True,204.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:4859,4859,Grès,Cabotine Rose,2003.0,ci_436c24e79e33,1,True,False,,,8,16,False,,,217.0,0.004219409282700422,0.0036101083032490976,0.0031545741324921135,0.0036101083032490976,0.0036101083032490976,0.0,True,205.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:55532,55532,Grès,Cabochard Chérie,2019.0,ci_a08338f33701,1,True,False,,,8,9,False,,,219.0,0.0041841004184100415,0.0035842293906810036,0.003134796238244514,0.0035842293906810036,0.0035842293906810036,0.0,True,206.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:62839,62839,Memo Paris,Odéon,2020.0,ci_1f097a903a19,1,True,False,,,8,8,False,,223.0,,0.00411522633744856,0.0035335689045936395,0.0030959752321981426,0.0035335689045936395,0.0,0.0035335689045936395,True,207.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:15210,15210,Mancera,Roses Vanille,2011.0,ci_addb5a20b96f,1,True,False,,,8,5,False,,,223.0,0.00411522633744856,0.0035335689045936395,0.0030959752321981426,0.0035335689045936395,0.0035335689045936395,0.0,True,208.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:101595,101595,Narciso Rodriguez,Narciso Rodriguez For Her Intense,2025.0,ci_560e6d97c163,1,True,False,,,8,6,False,,224.0,,0.004098360655737705,0.0035211267605633804,0.0030864197530864196,0.0035211267605633804,0.0,0.0035211267605633804,True,209.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:12301,12301,Montale,Pretty Fruity,2011.0,ci_f24c84468cb7,1,True,False,,,8,6,False,,,226.0,0.0040650406504065045,0.0034965034965034965,0.003067484662576687,0.0034965034965034965,0.0034965034965034965,0.0,True,210.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:96021,96021,Narciso Rodriguez,All Of Me Intense,2024.0,ci_4f36549015dc,1,True,False,,,8,8,False,,227.0,,0.004048582995951417,0.003484320557491289,0.0030581039755351682,0.003484320557491289,0.0,0.003484320557491289,True,211.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:83028,83028,Lanvin,Sweet Jasmine,2023.0,ci_d726eb9cd3a9,1,True,False,,,8,7,False,,228.0,,0.004032258064516129,0.003472222222222222,0.003048780487804878,0.003472222222222222,0.0,0.003472222222222222,True,212.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:46663,46663,Mancera,Red Tobacco,2017.0,ci_8fce3d2bf820,1,True,False,,,8,16,False,,,228.0,0.004032258064516129,0.003472222222222222,0.003048780487804878,0.003472222222222222,0.003472222222222222,0.0,True,213.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:118435,118435,Youssoful,Emporia Cotton,,ci_3038ed5e0910,1,True,False,,,8,9,False,230.0,,,0.004,0.0034482758620689655,0.0030303030303030303,0.0,0.0034482758620689655,0.0034482758620689655,True,214.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:61046,61046,Mancera,Vetiver Sensuel,2020.0,ci_d949fba63554,1,True,False,,,8,13,False,,,230.0,0.004,0.0034482758620689655,0.0030303030303030303,0.0034482758620689655,0.0034482758620689655,0.0,True,215.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:95620,95620,LOIVIE,Bergamot & White Rose,2023.0,ci_c56b3b5c17ef,1,True,False,,,8,6,False,231.0,,,0.00398406374501992,0.003436426116838488,0.0030211480362537764,0.0,0.003436426116838488,0.003436426116838488,True,216.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:12299,12299,Montale,Musk to Musk,2010.0,ci_b5092ea1a84d,1,True,False,,,8,6,False,,,231.0,0.00398406374501992,0.003436426116838488,0.0030211480362537764,0.003436426116838488,0.003436426116838488,0.0,True,217.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:2432,2432,The Body Shop,White Musk,1981.0,ci_a7bda112211a,1,True,False,,,8,19,False,232.0,,,0.003968253968253968,0.003424657534246575,0.0030120481927710845,0.0,0.003424657534246575,0.003424657534246575,True,218.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:125266,125266,SW19,8am,2025.0,ci_6ce8b5ca257a,1,True,False,,,8,8,False,233.0,,,0.003952569169960474,0.0034129692832764505,0.003003003003003003,0.0,0.0034129692832764505,0.0034129692832764505,True,219.0,RESERVE,PURCHASE_RRF_FILL
fragrantica:9222,9222,Montale,Roses Elixir,2010.0,ci_02bfc852a873,1,True,False,,,8,11,False,,,234.0,0.003937007874015748,0.003401360544217687,0.0029940119760479044,0.003401360544217687,0.003401360544217687,0.0,True,220.0,RESERVE,PURCHASE_RRF_FILL
