map_identity_id,fragrantica_id,fragrantica_brand,fragrantica_name,fragrantica_year,commercial_identity_ids,commercial_identity_count,has_purchase_signal,has_hwahae_signal,best_hwahae_rank,purchase_overlap_statuses,accord_count,note_count,map_identity_conflict,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,purchase_rrf_k20,purchase_rrf_k60,purchase_rrf_k100,purchase_rrf_without_musinsa,purchase_rrf_without_oliveyoung,purchase_rrf_without_lotte,map_ready,selection_rank,selection_status,selection_basis
fragrantica:71607,71607,Calvin Klein,CK Everyone Eau de Parfum,2022.0,ci_c854a702a4f1,1,True,False,,,8,3,False,,190.0,,0.004761904761904762,0.004,0.0034482758620689655,0.004,0.0,0.004,True,201,RESERVE,PURCHASE_RRF_FILL
fragrantica:59840,59840,Parfums Berdoues,Guaria Morada,2020.0,ci_73a08f4ff6ee,1,True,False,,,8,3,False,,,192.0,0.0047169811320754715,0.003968253968253968,0.003424657534246575,0.003968253968253968,0.003968253968253968,0.0,True,202,RESERVE,PURCHASE_RRF_FILL
fragrantica:115545,115545,Versace,Crystal Emerald,2025.0,ci_30d2393db880,1,True,False,,,8,10,False,197.0,,,0.004608294930875576,0.0038910505836575876,0.003367003367003367,0.0,0.0038910505836575876,0.0038910505836575876,True,203,RESERVE,PURCHASE_RRF_FILL
fragrantica:76413,76413,TUMI,Kinetic [--:-- GMT],2022.0,ci_f53b2c73d710,1,True,False,,,8,10,False,,,198.0,0.0045871559633027525,0.003875968992248062,0.003355704697986577,0.003875968992248062,0.003875968992248062,0.0,True,204,RESERVE,PURCHASE_RRF_FILL
fragrantica:68367,68367,Ariana Grande,Thank U Next 2.0,2021.0,ci_eb2f443e9a0f,1,True,False,,,8,8,False,,200.0,,0.004545454545454545,0.0038461538461538464,0.0033333333333333335,0.0038461538461538464,0.0,0.0038461538461538464,True,205,RESERVE,PURCHASE_RRF_FILL
fragrantica:70278,70278,TUMI,Continuum,2021.0,ci_c36740a80f2a,1,True,False,,,8,9,False,,,202.0,0.0045045045045045045,0.003816793893129771,0.0033112582781456954,0.003816793893129771,0.003816793893129771,0.0,True,206,RESERVE,PURCHASE_RRF_FILL
fragrantica:93863,93863,SW19,3pm,2024.0,ci_17c80f7171f7,1,True,False,,,8,10,False,203.0,,,0.004484304932735426,0.0038022813688212928,0.0033003300330033004,0.0,0.0038022813688212928,0.0038022813688212928,True,207,RESERVE,PURCHASE_RRF_FILL
fragrantica:82586,82586,Clean,Apple Blossom,2023.0,ci_6b5af3b2a5b1,1,True,False,,,8,10,False,,203.0,,0.004484304932735426,0.0038022813688212928,0.0033003300330033004,0.0038022813688212928,0.0,0.0038022813688212928,True,208,RESERVE,PURCHASE_RRF_FILL
fragrantica:62770,62770,TUMI,Unwind,2020.0,ci_080f658678f2,1,True,False,,,8,8,False,,,207.0,0.004405286343612335,0.003745318352059925,0.003257328990228013,0.003745318352059925,0.003745318352059925,0.0,True,209,RESERVE,PURCHASE_RRF_FILL
fragrantica:877,877,Kenneth Cole,Black,2004.0,ci_6b6e6390b821,1,True,False,,,8,14,False,,,208.0,0.0043859649122807015,0.0037313432835820895,0.003246753246753247,0.0037313432835820895,0.0037313432835820895,0.0,True,210,RESERVE,PURCHASE_RRF_FILL
fragrantica:72448,72448,Lalique,Soleil Vibrant,2022.0,ci_d4d00261f05c,1,True,False,,,8,10,False,,,213.0,0.004291845493562232,0.003663003663003663,0.003194888178913738,0.003663003663003663,0.003663003663003663,0.0,True,211,RESERVE,PURCHASE_RRF_FILL
fragrantica:637,637,Versace,Blue Jeans,1994.0,ci_c4a5a43bd1ec,1,True,False,,,8,24,False,217.0,,,0.004219409282700422,0.0036101083032490976,0.0031545741324921135,0.0,0.0036101083032490976,0.0036101083032490976,True,212,RESERVE,PURCHASE_RRF_FILL
fragrantica:4859,4859,Grès,Cabotine Rose,2003.0,ci_436c24e79e33,1,True,False,,,8,16,False,,,217.0,0.004219409282700422,0.0036101083032490976,0.0031545741324921135,0.0036101083032490976,0.0036101083032490976,0.0,True,213,RESERVE,PURCHASE_RRF_FILL
