fragrantica_id,accord_name,strength,rank
65738,powdery,100,1
65738,woody,95,2
65738,aromatic,91,3
65738,fresh spicy,53,4
65738,white floral,49,5
65738,vanilla,20,6
65738,amber,14,7
65738,sweet,11,8
83,citrus,100,1
83,green,89,2
83,aromatic,61,3
83,fresh spicy,47,4
83,fresh,38,5
83,ozonic,15,6
83,white floral,15,7
83,floral,12,8
74041,salty,100,1
74041,aromatic,90,2
74041,musky,90,3
74041,herbal,63,4
74041,floral,54,5
74041,marine,50,6
74041,mineral,49,7
74041,soft spicy,45,8
132132,fresh,100,1
132132,floral,74,2
132132,fruity,64,3
132132,sweet,56,4
132132,citrus,41,5
132132,musky,40,6
132132,woody,40,7
132132,white floral,40,8
9110,floral,100,1
9110,fresh,54,2
9110,green,30,3
9110,fruity,14,4
9110,musky,13,5
9110,soft spicy,11,6
9110,rose,11,7
9110,fresh spicy,9,8
10131,musky,100,1
10131,amber,74,2
10131,woody,51,3
10131,animalic,29,4
10131,fruity,24,5
10131,floral,21,6
10131,powdery,21,7
10131,balsamic,18,8
14214,rose,100,1
14214,fruity,58,2
14214,floral,44,3
14214,fresh spicy,36,4
14214,aromatic,32,5
14214,musky,29,6
14214,citrus,27,7
14214,tropical,25,8
32134,citrus,100,1
32134,aromatic,92,2
32134,fresh spicy,89,3
32134,green,74,4
32134,woody,46,5
32134,earthy,39,6
32134,fresh,34,7
32134,warm spicy,29,8
20542,musky,100,1
20542,fresh,84,2
20542,white floral,74,3
20542,aldehydic,72,4
20542,rose,63,5
20542,powdery,61,6
20542,floral,43,7
20542,soapy,37,8
6686,fresh,100,1
6686,aldehydic,95,2
6686,musky,67,3
6686,powdery,65,4
6686,floral,64,5
6686,rose,50,6
6686,violet,39,7
6686,woody,35,8
68905,powdery,100,1
68905,vanilla,99,2
68905,rose,75,3
68905,floral,65,4
68905,fruity,54,5
68905,sweet,51,6
68905,fresh,46,7
68905,iris,43,8
78945,floral,100,1
78945,rose,71,2
78945,fresh,46,3
78945,musky,33,4
78945,citrus,32,5
78945,sweet,20,6
78945,powdery,19,7
78945,fresh spicy,15,8
72040,green,100,1
72040,woody,87,2
72040,fresh,61,3
72040,sweet,43,4
72040,fruity,41,5
72040,lactonic,36,6
72040,powdery,6,7
72040,bitter,5,8
75979,white floral,100,1
75979,musky,75,2
75979,rose,40,3
75979,powdery,35,4
75979,fresh,29,5
75979,floral,25,6
75979,green,17,7
75979,animalic,16,8
6188,musky,100,1
6188,white floral,77,2
6188,sweet,52,3
6188,powdery,52,4
6188,citrus,50,5
6188,yellow floral,38,6
6188,woody,33,7
6188,animalic,28,8
8441,floral,100,1
8441,green,80,2
8441,soft spicy,22,3
8441,fruity,19,4
8441,aromatic,18,5
8441,woody,15,6
8441,fresh,12,7
8441,sweet,6,8
15134,fruity,100,1
15134,fresh spicy,90,2
15134,aromatic,69,3
15134,citrus,67,4
15134,woody,56,5
15134,sweet,40,6
15134,camphor,39,7
15134,floral,22,8
6458,woody,100,1
6458,aromatic,92,2
6458,earthy,71,3
6458,violet,58,4
6458,floral,51,5
6458,powdery,48,6
6458,fresh,31,7
6458,green,25,8
68919,woody,100,1
68919,floral,77,2
68919,musky,77,3
68919,aromatic,58,4
68919,fruity,50,5
68919,green,48,6
68919,powdery,46,7
68919,soft spicy,46,8
276,citrus,100,1
276,green,60,2
