fragrantica_id,neighbor_fragrantica_id,similarity,rank
65738,114281,0.5276,1
65738,50789,0.4272,2
65738,3575,0.4111,3
65738,890,0.4108,4
65738,99134,0.4041,5
65738,31247,0.4032,6
65738,3172,0.4003,7
65738,4023,0.3747,8
65738,64167,0.3745,9
65738,109563,0.3741,10
83,276,0.5215,1
83,32134,0.4706,2
83,43531,0.4608,3
83,31436,0.4606,4
83,45029,0.4595,5
83,42944,0.4524,6
83,5585,0.4454,7
83,46623,0.4433,8
83,79437,0.4304,9
83,2271,0.4266,10
74041,95642,0.3059,1
74041,74636,0.2784,2
74041,3024,0.2655,3
74041,68919,0.2482,4
74041,47891,0.2417,5
74041,106299,0.2144,6
74041,10131,0.2105,7
74041,96192,0.2098,8
74041,1198,0.2047,9
74041,4849,0.2021,10
132132,95034,0.4868,1
132132,21547,0.4575,2
132132,104123,0.4305,3
132132,82586,0.4279,4
132132,48478,0.4228,5
132132,38914,0.4215,6
132132,653,0.4162,7
132132,45711,0.4117,8
132132,3779,0.4117,9
132132,632,0.3974,10
9110,632,0.4374,1
9110,1000,0.4337,2
9110,8441,0.4198,3
9110,18767,0.4142,4
9110,536,0.408,5
9110,78945,0.4034,6
9110,21547,0.3909,7
9110,184,0.3859,8
9110,63829,0.3732,9
9110,10314,0.3673,10
10131,27040,0.3437,1
10131,50790,0.318,2
10131,68919,0.3114,3
10131,131717,0.3039,4
10131,96192,0.3035,5
10131,109564,0.303,6
10131,124051,0.296,7
10131,114281,0.2944,8
10131,6188,0.2865,9
10131,32523,0.2838,10
14214,50787,0.5142,1
14214,45711,0.4799,2
14214,62372,0.4502,3
14214,52359,0.4241,4
14214,25836,0.4194,5
14214,18042,0.4038,6
14214,4849,0.4014,7
14214,63829,0.3966,8
14214,5484,0.3838,9
14214,184,0.3776,10
32134,5585,0.5494,1
32134,64092,0.4908,2
32134,35456,0.4868,3
32134,103564,0.4787,4
32134,83,0.4706,5
32134,50786,0.4502,6
32134,30796,0.4343,7
32134,46623,0.4102,8
32134,276,0.4086,9
32134,115746,0.408,10
20542,109565,0.5502,1
20542,75979,0.5089,2
20542,6686,0.4769,3
20542,122211,0.4588,4
20542,68416,0.4363,5
20542,131717,0.4332,6
20542,93865,0.3881,7
20542,45711,0.3775,8
20542,63829,0.3534,9
20542,131985,0.3506,10
6686,109565,0.5484,1
6686,20542,0.4769,2
6686,45711,0.4691,3
6686,131717,0.4485,4
6686,63829,0.4134,5
6686,18767,0.397,6
6686,122211,0.3951,7
6686,68416,0.3716,8
6686,78945,0.3686,9
6686,536,0.3632,10
68905,18042,0.4732,1
68905,10728,0.4114,2
68905,3779,0.3993,3
68905,1000,0.3959,4
68905,72,0.388,5
68905,111273,0.3873,6
68905,45711,0.3752,7
68905,95035,0.3748,8
68905,48478,0.3714,9
68905,31661,0.3674,10
78945,45711,0.5585,1
78945,63829,0.498,2
78945,18767,0.4944,3
78945,25836,0.4792,4
78945,632,0.4639,5
78945,4849,0.4212,6
78945,52359,0.4165,7
78945,18042,0.4125,8
78945,21547,0.4119,9
78945,9110,0.4034,10
72040,3865,0.7615,1
72040,121230,0.3973,2
72040,73092,0.3935,3
72040,94718,0.3415,4
72040,115747,0.3411,5
72040,31436,0.295,6
72040,123059,0.2898,7
72040,95034,0.2847,8
72040,275,0.2667,9
72040,132132,0.2643,10
75979,131985,0.5646,1
75979,16931,0.5123,2
75979,20542,0.5089,3
75979,6188,0.5006,4
75979,17798,0.4803,5
75979,122211,0.4689,6
75979,536,0.4423,7
75979,4849,0.4317,8
75979,68416,0.4306,9
75979,72606,0.4194,10
6188,75979,0.5006,1
6188,16931,0.4827,2
6188,10728,0.4654,3
6188,124051,0.4543,4
6188,131985,0.4392,5
6188,90739,0.437,6
6188,84224,0.4224,7
6188,50789,0.4224,8
6188,4849,0.3993,9
6188,56076,0.3948,10
8441,9110,0.4198,1
8441,536,0.392,2
8441,25836,0.3708,3
8441,10314,0.3675,4
8441,1000,0.3649,5
8441,1929,0.3547,6
8441,43531,0.3398,7
8441,75642,0.3318,8
8441,68919,0.3233,9
8441,632,0.3231,10
15134,11784,0.4281,1
15134,44174,0.4005,2
15134,644,0.3984,3
15134,42670,0.3902,4
15134,114188,0.383,5
15134,30796,0.3801,6
15134,84224,0.3789,7
15134,18,0.3702,8
15134,5585,0.3684,9
15134,95034,0.3661,10
6458,64167,0.3962,1
6458,31247,0.3951,2
6458,890,0.3912,3
6458,109564,0.3909,4
6458,50788,0.3818,5
6458,103276,0.3813,6
6458,1483,0.3703,7
6458,65738,0.3672,8
6458,27040,0.357,9
6458,12201,0.3541,10
68919,109564,0.4582,1
68919,27040,0.4016,2
68919,31247,0.3588,3
68919,114281,0.3563,4
68919,64022,0.3533,5
68919,129391,0.3495,6
68919,94718,0.3429,7
68919,1929,0.3389,8
68919,6458,0.3353,9
68919,1000,0.3351,10
276,83,0.5215,1
276,2271,0.4871,2
276,46623,0.4841,3
276,31436,0.4837,4
276,42944,0.478,5
276,275,0.4689,6
276,30796,0.4633,7
276,485,0.4576,8
276,8339,0.4504,9
276,12192,0.447,10
1483,30796,0.542,1
1483,4023,0.477,2
1483,485,0.4573,3
1483,3172,0.4494,4
1483,104985,0.439,5
1483,50789,0.4377,6
1483,48434,0.429,7
1483,50225,0.4281,8
1483,644,0.4212,9
1483,50786,0.4153,10
56741,50384,0.5174,1
56741,31661,0.4788,2
56741,39970,0.4342,3
56741,76824,0.4105,4
56741,3779,0.41,5
56741,42782,0.4012,6
56741,29165,0.389,7
56741,39761,0.3833,8
56741,95035,0.3733,9
56741,37603,0.3625,10
1360,122211,0.3783,1
1360,87956,0.3676,2
1360,109565,0.3535,3
1360,68416,0.3381,4
1360,6686,0.3367,5
1360,1924,0.3176,6
1360,56076,0.3122,7
1360,60320,0.3114,8
1360,37602,0.3048,9
1360,20542,0.3043,10
131717,109565,0.4817,1
131717,6686,0.4485,2
131717,20542,0.4332,3
131717,129391,0.4066,4
131717,93865,0.405,5
131717,116224,0.3918,6
131717,64093,0.3863,7
131717,122211,0.3861,8
131717,120743,0.3809,9
131717,27040,0.364,10
607,74636,0.497,1
607,3024,0.4314,2
607,52180,0.4158,3
607,75731,0.405,4
607,30796,0.4048,5
607,30567,0.4006,6
607,46623,0.3858,7
607,611,0.3853,8
607,90739,0.3811,9
607,644,0.3801,10
39970,95035,0.5175,1
39970,76824,0.5042,2
39970,31661,0.4991,3
39970,50384,0.4674,4
39970,95156,0.4424,5
39970,68367,0.4404,6
39970,56741,0.4342,7
39970,3779,0.4212,8
39970,38914,0.3939,9
39970,42782,0.3902,10
31661,3779,0.5315,1
31661,95034,0.5032,2
31661,39970,0.4991,3
31661,29165,0.4973,4
31661,68367,0.4844,5
31661,56741,0.4788,6
31661,50384,0.4632,7
31661,38914,0.4435,8
31661,52359,0.4208,9
31661,39761,0.4174,10
611,50789,0.48,1
611,42670,0.459,2
611,75731,0.4533,3
611,2271,0.438,4
611,30796,0.4335,5
611,90739,0.4318,6
611,1483,0.4133,7
611,84224,0.4063,8
611,30567,0.4025,9
611,8339,0.3979,10
30796,1483,0.542,1
30796,92647,0.5232,2
30796,8339,0.5156,3
30796,72062,0.5119,4
30796,50789,0.4827,5
30796,54976,0.4779,6
30796,42670,0.4769,7
30796,485,0.4736,8
30796,276,0.4633,9
30796,104985,0.4616,10
184,9405,0.5408,1
184,4849,0.4944,2
184,632,0.4484,3
184,42944,0.432,4
184,25836,0.417,5
184,21547,0.4115,6
184,49827,0.4007,7
184,9110,0.3859,8
184,69742,0.3833,9
184,82586,0.3794,10
12192,132011,0.6036,1
12192,42944,0.5195,2
12192,5534,0.4951,3
12192,8339,0.4943,4
12192,90739,0.4942,5
12192,54976,0.492,6
12192,2271,0.4868,7
12192,50789,0.4675,8
12192,46623,0.4669,9
12192,98469,0.4626,10
48478,90739,0.536,1
48478,95034,0.4907,2
48478,9405,0.4808,3
48478,84224,0.4749,4
48478,49827,0.4693,5
48478,3779,0.4655,6
48478,69742,0.4542,7
48478,42670,0.4541,8
48478,5534,0.4541,9
48478,52359,0.4335,10
18,23032,0.43,1
18,5585,0.4081,2
18,30567,0.4006,3
18,83,0.3999,4
18,2271,0.3915,5
18,46623,0.3885,6
18,644,0.3787,7
18,25836,0.3759,8
18,132011,0.3747,9
18,32134,0.3745,10
56077,56076,0.4712,1
56077,90739,0.465,2
56077,68416,0.4491,3
56077,64015,0.4322,4
56077,16931,0.4184,5
56077,5534,0.4184,6
56077,12192,0.4067,7
56077,42944,0.4033,8
56077,98469,0.3929,9
56077,49827,0.3923,10
46187,109564,0.4427,1
46187,115747,0.4404,2
46187,85144,0.4165,3
46187,94718,0.4051,4
46187,32523,0.3858,5
46187,12201,0.3783,6
46187,31247,0.3684,7
46187,4023,0.366,8
46187,64167,0.3564,9
46187,73092,0.3516,10
68578,95156,0.4212,1
68578,69742,0.4054,2
68578,49827,0.4047,3
68578,17798,0.4013,4
68578,9405,0.3971,5
68578,38914,0.396,6
68578,60320,0.3851,7
68578,75642,0.3842,8
68578,6420,0.3818,9
68578,122669,0.3808,10
27040,96192,0.4181,1
27040,1000,0.4124,2
27040,68919,0.4016,3
27040,116224,0.3889,4
27040,6420,0.3851,5
27040,64093,0.38,6
27040,72,0.3661,7
27040,131717,0.364,8
27040,6686,0.3583,9
27040,6458,0.357,10
52359,4849,0.5402,1
52359,95034,0.5352,2
52359,18042,0.5044,3
52359,69742,0.4859,4
52359,25836,0.4682,5
52359,42670,0.4519,6
52359,9405,0.4518,7
52359,29165,0.4505,8
52359,104123,0.4428,9
52359,48478,0.4335,10
29165,3779,0.5685,1
29165,31661,0.4973,2
29165,38914,0.4834,3
29165,46300,0.4751,4
29165,95034,0.4586,5
29165,52359,0.4505,6
29165,95035,0.4282,7
29165,72381,0.4228,8
29165,68367,0.416,9
29165,10314,0.4159,10
12201,129391,0.4539,1
12201,31247,0.4242,2
12201,116224,0.3869,3
12201,72796,0.3866,4
12201,46187,0.3783,5
12201,109564,0.3759,6
12201,3172,0.3758,7
12201,94718,0.3707,8
12201,103276,0.3699,9
12201,74107,0.3678,10
9405,4849,0.5656,1
9405,184,0.5408,2
9405,17798,0.5062,3
9405,42944,0.4815,4
9405,48478,0.4808,5
9405,49827,0.475,6
9405,75642,0.4724,7
9405,1924,0.4655,8
9405,52359,0.4518,9
9405,96192,0.4406,10
64167,109563,0.481,1
64167,890,0.4366,2
64167,3172,0.4337,3
64167,31247,0.4247,4
64167,109564,0.4243,5
64167,129391,0.4155,6
64167,50788,0.4083,7
64167,1929,0.4044,8
64167,6458,0.3962,9
64167,85144,0.3854,10
131985,75979,0.5646,1
131985,16931,0.4632,2
131985,6188,0.4392,3
131985,536,0.4382,4
131985,17798,0.4291,5
131985,75642,0.4269,6
131985,87956,0.4153,7
131985,4849,0.4079,8
131985,72606,0.3904,9
131985,44894,0.3798,10
10314,3779,0.5739,1
10314,82586,0.4634,2
10314,21547,0.4559,3
10314,25836,0.4395,4
10314,18042,0.4265,5
10314,29165,0.4159,6
10314,9405,0.4128,7
10314,6420,0.4124,8
10314,18767,0.4063,9
10314,52359,0.4061,10
653,132132,0.4162,1
653,72381,0.4101,2
653,104123,0.3874,3
653,123059,0.384,4
653,75979,0.3791,5
653,60320,0.3762,6
653,3779,0.3748,7
653,87956,0.3722,8
653,95156,0.3696,9
653,75642,0.3693,10
3779,10314,0.5739,1
3779,29165,0.5685,2
3779,31661,0.5315,3
3779,46300,0.4857,4
3779,38914,0.4851,5
3779,82586,0.4799,6
3779,21547,0.4769,7
3779,48478,0.4655,8
3779,95034,0.4572,9
3779,25836,0.427,10
536,17798,0.5139,1
536,87956,0.4694,2
536,75642,0.4601,3
536,75979,0.4423,4
536,131985,0.4382,5
536,18767,0.4229,6
536,9405,0.4195,7
536,1929,0.4101,8
536,9110,0.408,9
536,8441,0.392,10
68416,122211,0.4829,1
68416,109565,0.4804,2
68416,56077,0.4491,3
68416,20542,0.4363,4
68416,75979,0.4306,5
68416,48478,0.4158,6
68416,90739,0.4067,7
68416,16931,0.3946,8
68416,42944,0.3872,9
68416,90834,0.3782,10
632,21547,0.7797,1
632,78945,0.4639,2
632,184,0.4484,3
632,9110,0.4374,4
632,9405,0.4372,5
632,18767,0.4067,6
632,132132,0.3974,7
632,25836,0.3949,8
632,63829,0.3934,9
632,1000,0.3758,10
44894,16931,0.5196,1
44894,56076,0.4473,2
44894,37602,0.4345,3
44894,74739,0.3938,4
44894,17798,0.393,5
44894,131985,0.3798,6
44894,90834,0.3777,7
44894,75642,0.372,8
44894,75979,0.3618,9
44894,98469,0.3418,10
3575,4023,0.4769,1
3575,3172,0.4673,2
3575,114281,0.4518,3
3575,54785,0.4504,4
3575,50788,0.4503,5
3575,52180,0.4497,6
3575,99134,0.441,7
3575,644,0.4355,8
3575,50786,0.4224,9
3575,890,0.4151,10
12310,93865,0.3955,1
12310,73661,0.3499,2
12310,124051,0.3328,3
12310,23032,0.3192,4
12310,129391,0.3126,5
12310,46300,0.2965,6
12310,275,0.2952,7
12310,64093,0.2948,8
12310,131985,0.2919,9
12310,104123,0.2877,10
38914,3779,0.4851,1
38914,29165,0.4834,2
38914,95156,0.4734,3
38914,95034,0.4578,4
38914,31661,0.4435,5
38914,68367,0.4229,6
38914,74739,0.4215,7
38914,132132,0.4215,8
38914,123059,0.409,9
38914,48478,0.4088,10
73661,1924,0.4414,1
73661,6420,0.4343,2
73661,104123,0.4235,3
73661,108587,0.412,4
73661,69742,0.4063,5
73661,48478,0.385,6
73661,46300,0.3844,7
73661,123059,0.367,8
73661,68367,0.3653,9
73661,18042,0.3627,10
50384,56741,0.5174,1
50384,76824,0.5104,2
50384,39970,0.4674,3
50384,31661,0.4632,4
50384,42782,0.4328,5
50384,95035,0.3647,6
50384,37603,0.3624,7
50384,95156,0.3269,8
50384,57384,0.3114,9
50384,39761,0.3105,10
17798,75642,0.5467,1
17798,536,0.5139,2
17798,9405,0.5062,3
17798,75979,0.4803,4
17798,87956,0.4491,5
17798,1924,0.4342,6
17798,131985,0.4291,7
17798,16931,0.4121,8
17798,68578,0.4013,9
17798,72606,0.3976,10
56076,16931,0.506,1
56076,74739,0.4951,2
56076,37602,0.4813,3
56076,56077,0.4712,4
56076,1924,0.459,5
56076,44894,0.4473,6
56076,64015,0.4437,7
56076,90834,0.437,8
56076,123059,0.4337,9
56076,90739,0.4218,10
5484,50787,0.4416,1
5484,14214,0.3838,2
5484,62372,0.3642,3
5484,45711,0.364,4
5484,78945,0.3302,5
5484,63829,0.3247,6
5484,25836,0.3075,7
5484,2271,0.3027,8
5484,72606,0.2967,9
5484,1929,0.295,10
5585,32134,0.5494,1
5585,46623,0.5398,2
5585,35456,0.519,3
5585,92647,0.4688,4
5585,30567,0.4586,5
5585,106298,0.4571,6
5585,103564,0.4568,7
5585,83,0.4454,8
5585,30796,0.4446,9
5585,69281,0.4441,10
109563,275,0.5019,1
109563,35456,0.4967,2
109563,64167,0.481,3
109563,3172,0.4643,4
109563,50788,0.4466,5
109563,69281,0.4442,6
109563,1929,0.4276,7
109563,890,0.4271,8
109563,43531,0.4152,9
109563,3575,0.4054,10
42944,4849,0.5263,1
42944,12192,0.5195,2
42944,72062,0.5155,3
42944,49827,0.4893,4
42944,9405,0.4815,5
42944,2271,0.4801,6
42944,276,0.478,7
42944,5534,0.4765,8
42944,98469,0.4702,9
42944,50789,0.4604,10
75642,17798,0.5467,1
75642,9405,0.4724,2
75642,87956,0.4649,3
75642,536,0.4601,4
75642,16931,0.4511,5
75642,49827,0.4394,6
75642,1924,0.4299,7
75642,131985,0.4269,8
75642,90834,0.4107,9
75642,50225,0.3937,10
11784,15134,0.4281,1
11784,42670,0.3986,2
11784,72381,0.3856,3
11784,109563,0.3787,4
11784,52180,0.3732,5
11784,89712,0.3693,6
11784,29165,0.3688,7
11784,108962,0.3632,8
11784,44174,0.361,9
11784,65792,0.3587,10
25836,78945,0.4792,1
25836,52359,0.4682,2
25836,4849,0.4551,3
25836,10314,0.4395,4
25836,2271,0.4316,5
25836,3779,0.427,6
25836,9405,0.4234,7
25836,14214,0.4194,8
25836,184,0.417,9
