fragrantica_id,brand,name,year,gender,map_x,map_y,primary_family_key,korea_selection_rank,korea_selection_basis
65738,Diptyque,Orphéon Eau de Parfum,2021,unisex,0.09163,0.04484,MUSK,1,HWAHAE_MAP_READY_INCLUSION
83,Elizabeth Arden,Green Tea,1999,female,0.1863,0.31502,GREEN,2,HWAHAE_MAP_READY_INCLUSION
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,2022,unisex,0.01608,0.32643,AQUATIC,3,HWAHAE_MAP_READY_INCLUSION
132132,Daniel's Truth,Signature Bombshelluth,2023,unisex,0.6705,0.47961,FLORAL,4,HWAHAE_MAP_READY_INCLUSION
9110,Lanvin,Eclat d'Arpege,2010,female,0.95509,0.70456,FLORAL,5,HWAHAE_MAP_READY_INCLUSION
10131,Le Labo,Another 13,2010,unisex,0.63675,0.7604,MUSK,6,HWAHAE_MAP_READY_INCLUSION
14214,Diptyque,Eau Rose,2012,female,0.84188,0.70505,FLORAL,7,HWAHAE_MAP_READY_INCLUSION
32134,Aesop,Tacit,2015,unisex,0.21002,0.22799,GREEN,8,HWAHAE_MAP_READY_INCLUSION
20542,Maison Martin Margiela,Lazy Sunday Morning,2013,unisex,0.77779,0.82398,FLORAL,9,HWAHAE_MAP_READY_INCLUSION
6686,Byredo,Blanche,2009,female,0.77809,0.82144,FLORAL,10,HWAHAE_MAP_READY_INCLUSION
68905,Dior,Miss Dior Eau de Parfum (2021),2021,female,0.85847,0.52564,FLORAL,11,HWAHAE_MAP_READY_INCLUSION
78945,Dior,Miss Dior Blooming Bouquet (2023),2023,female,0.90778,0.74806,FLORAL,12,HWAHAE_MAP_READY_INCLUSION
72040,Diptyque,Philosykos Eau de Toilette,1996,unisex,0.39288,0.21506,GREEN,13,HWAHAE_MAP_READY_INCLUSION
75979,Forment,Cotton Hug,2022,unisex,0.76055,0.8072,FLORAL,14,HWAHAE_MAP_READY_INCLUSION
6188,Kiehl's,Original Musk,2004,unisex,0.69126,0.77461,MUSK,15,HWAHAE_MAP_READY_INCLUSION
8441,Byredo,La Tulipe,2010,female,0.95909,0.67398,FLORAL,16,HWAHAE_MAP_READY_INCLUSION
15134,Jo Malone London,Blackberry & Bay,2012,female,0.38016,0.25362,GREEN,17,HWAHAE_MAP_READY_INCLUSION
6458,Byredo,Bal d'Afrique,2009,unisex,0.08275,0.0306,WOODY,18,HWAHAE_MAP_READY_INCLUSION
68919,Dashu,Acqua Dive,2021,unisex,0.07627,0.04418,MUSK,19,HWAHAE_MAP_READY_INCLUSION
276,Calvin Klein,CK One,1994,unisex,0.21622,0.33486,CITRUS,20,HWAHAE_MAP_READY_INCLUSION
1483,Chanel,Chance Eau Fraiche,2007,female,0.39403,0.42248,WOODY,21,HWAHAE_MAP_READY_INCLUSION
56741,Ariana Grande,"Thank U, Next",2019,female,0.70323,0.23405,GOURMAND,22,HWAHAE_MAP_READY_INCLUSION
1360,Chanel,Chanel N°5 Eau Premiere,2008,female,0.95033,0.53632,FLORAL,23,HWAHAE_MAP_READY_INCLUSION
131717,Diptyque,Fleur de Peau,2018,unisex,0.71009,0.8227,MUSK,24,HWAHAE_MAP_READY_INCLUSION
607,Chanel,Allure Homme Sport,2004,male,0.19923,0.41107,CITRUS,25,HWAHAE_MAP_READY_INCLUSION
39970,Ariana Grande,Sweet Like Candy,2016,female,0.69554,0.21724,GOURMAND,26,HWAHAE_MAP_READY_INCLUSION
31661,Ariana Grande,Ari,2015,female,0.69936,0.34246,GOURMAND,27,HWAHAE_MAP_READY_INCLUSION
611,Chanel,Coco Mademoiselle,2001,female,0.40062,0.37086,WOODY,28,HWAHAE_MAP_READY_INCLUSION
30796,Chanel,Chance Eau Vive,2015,female,0.36895,0.44057,CITRUS,29,HWAHAE_MAP_READY_INCLUSION
184,Lancôme,Miracle,2000,female,0.86721,0.64422,FLORAL,30,HWAHAE_MAP_READY_INCLUSION
12192,Tom Ford,Neroli Portofino,2011,unisex,0.27569,0.51197,CITRUS,31,HWAHAE_MAP_READY_INCLUSION
48478,Lanvin,Modern Princess Eau Sensuelle,2018,female,0.61144,0.52043,MUSK,32,HWAHAE_MAP_READY_INCLUSION
18,Hermès,Un Jardin Sur Le Nil,2005,unisex,0.18037,0.3429,GREEN,33,HWAHAE_MAP_READY_INCLUSION
56077,Yves Saint Laurent,Libre,2019,female,0.73234,0.6276,GREEN,34,HWAHAE_MAP_READY_INCLUSION
46187,Jo Malone London,English Oak & Hazelnut,2017,unisex,0.18006,0.02848,WOODY,35,HWAHAE_MAP_READY_INCLUSION
68578,Gucci,Flora Gorgeous Gardenia,2021,female,0.88245,0.54592,FLORAL,36,HWAHAE_MAP_READY_INCLUSION
27040,Byredo,Mojave Ghost,2014,unisex,0.71097,0.79242,FLORAL,37,HWAHAE_MAP_READY_INCLUSION
52359,Chanel,Chance Eau Tendre Eau de Parfum,2019,female,0.79854,0.64409,FLORAL,38,HWAHAE_MAP_READY_INCLUSION
29165,Jimmy Choo,Jimmy Choo Blossom,2015,female,0.6967,0.40803,FRUITY,39,HWAHAE_MAP_READY_INCLUSION
12201,Le Labo,Santal 33,2011,unisex,0.14201,0.01187,WOODY,40,HWAHAE_MAP_READY_INCLUSION
9405,Lanvin,Marry Me,2010,female,0.91274,0.65078,FLORAL,41,HWAHAE_MAP_READY_INCLUSION
64167,Aesop,Rozu,2020,unisex,0.11299,0.04423,WOODY,42,HWAHAE_MAP_READY_INCLUSION
131985,Huxley,Moroccan Gardener,,unisex,0.96177,0.61053,FLORAL,43,HWAHAE_MAP_READY_INCLUSION
10314,Jo Malone London,English Pear & Freesia,2010,female,0.748,0.53154,FLORAL,44,HWAHAE_MAP_READY_INCLUSION
653,Salvatore Ferragamo,Incanto Charms,2006,female,0.69887,0.45857,FRUITY,45,HWAHAE_MAP_READY_INCLUSION
3779,Lanvin,Jeanne Lanvin,2008,female,0.71164,0.43677,FRUITY,46,HWAHAE_MAP_READY_INCLUSION
536,Estée Lauder,Pleasures,1995,female,0.97463,0.6654,FLORAL,47,HWAHAE_MAP_READY_INCLUSION
68416,Clean,Pure Soap,2021,unisex,0.78725,0.81274,FLORAL,48,HWAHAE_MAP_READY_INCLUSION
632,Versace,Bright Crystal,2006,female,0.9251,0.70044,FLORAL,49,HWAHAE_MAP_READY_INCLUSION
44894,Gucci,Gucci Bloom,2017,female,1.0,0.6263,FLORAL,50,HWAHAE_MAP_READY_INCLUSION
3575,Byredo,Gypsy Water,2008,unisex,0.33316,0.03538,AMBER,51,HWAHAE_MAP_READY_INCLUSION
12310,Jo Malone London,Wild Bluebell,2011,female,0.64768,0.67888,MUSK,52,HWAHAE_MAP_READY_INCLUSION
38914,Yves Saint Laurent,Mon Paris,2016,female,0.72839,0.38953,FRUITY,53,HWAHAE_MAP_READY_INCLUSION
73661,Santa Maria Novella,Angeli di Firenze,2006,unisex,0.69629,0.5144,AQUATIC,54,HWAHAE_MAP_READY_INCLUSION
50384,Ariana Grande,Cloud,2018,female,0.70329,0.19145,GOURMAND,55,HWAHAE_MAP_READY_INCLUSION
17798,Byredo,Inflorescence,2013,female,0.99497,0.65527,FLORAL,56,HWAHAE_MAP_READY_INCLUSION
56076,Chanel,Gabrielle Essence,2019,female,0.9376,0.54124,FLORAL,57,HWAHAE_MAP_READY_INCLUSION
5484,Jo Malone London,Red Roses,2001,female,0.87397,0.72538,FLORAL,58,HWAHAE_MAP_READY_INCLUSION
5585,Jo Malone London,Lime Basil & Mandarin,1999,unisex,0.20859,0.26775,GREEN,59,HWAHAE_MAP_READY_INCLUSION
109563,Sennok,After Bath,,unisex,0.153,0.16623,GREEN,60,HWAHAE_MAP_READY_INCLUSION
42944,Calvin Klein,CK All,2017,unisex,0.26456,0.49978,FLORAL,61,HWAHAE_MAP_READY_INCLUSION
75642,Dior,J'adore Parfum d'Eau,2022,female,0.99117,0.64876,FLORAL,62,HWAHAE_MAP_READY_INCLUSION
11784,Montblanc,Legend,2011,male,0.41347,0.15471,GREEN,63,HWAHAE_MAP_READY_INCLUSION
25836,Burberry,My Burberry,2014,female,0.86067,0.65098,FLORAL,64,HWAHAE_MAP_READY_INCLUSION
275,Calvin Klein,CK be,1996,unisex,0.14022,0.23795,GREEN,65,HWAHAE_MAP_READY_INCLUSION
108962,Tamburins,Pumkini,2025,unisex,0.40739,0.12862,GOURMAND,66,HWAHAE_MAP_READY_INCLUSION
23032,Clean,Cool Cotton,2013,unisex,0.1615,0.34954,MUSK,67,HWAHAE_MAP_READY_INCLUSION
10464,Frederic Malle,Portrait of a Lady,2010,female,0.43222,0.00411,AMBER,68,HWAHAE_MAP_READY_INCLUSION
18767,Jo Malone London,Peony & Blush Suede,2013,female,0.91948,0.72634,FLORAL,69,HWAHAE_MAP_READY_INCLUSION
72062,Dior,Dior Homme Cologne 2022,2022,male,0.28012,0.45586,CITRUS,70,HWAHAE_MAP_READY_INCLUSION
72606,Yves Saint Laurent,Mon Paris Lumière,2022,female,0.93929,0.65842,FLORAL,71,HWAHAE_MAP_READY_INCLUSION
31861,Dior,Sauvage,2015,male,0.28889,0.06064,AMBER,72,HWAHAE_MAP_READY_INCLUSION
79437,Jo Malone London,Earl Grey & Cucumber,2022,unisex,0.10206,0.30921,AQUATIC,73,HWAHAE_MAP_READY_INCLUSION
52002,Montblanc,Explorer,2019,male,0.30195,0.05276,AMBER,74,HWAHAE_MAP_READY_INCLUSION
12426,Prada,Prada Candy,2011,female,0.66822,0.15237,GOURMAND,75,HWAHAE_MAP_READY_INCLUSION
2271,Lanvin,Rumeur 2 Rose,2006,female,0.30934,0.5113,CITRUS,76,HWAHAE_MAP_READY_INCLUSION
3865,Diptyque,Philosykos Eau de Parfum,1996,unisex,0.41735,0.20819,GOURMAND,77,HWAHAE_MAP_READY_INCLUSION
5534,John Varvatos,Artisan,2009,male,0.25855,0.42372,CITRUS,78,PURCHASE_RRF_FILL
644,Versace,Versace Man Eau Fraiche,2006,male,0.29591,0.3652,CITRUS,79,PURCHASE_RRF_FILL
2186,Montale,Chocolate Greedy,2007,unisex,0.65579,0.14,GOURMAND,80,PURCHASE_RRF_FILL
92647,Versace,Eros Energy,2024,male,0.3029,0.39537,CITRUS,81,PURCHASE_RRF_FILL
65792,Jaguar,Jaguar Classic Electric Sky,2020,male,0.09731,0.20467,AMBER,82,PURCHASE_RRF_FILL
96192,Lalique,Soleil Lunar,2024,female,0.73757,0.76003,FLORAL,83,PURCHASE_RRF_FILL
39181,Mancera,Aoud Lemon Mint,2016,unisex,0.38263,0.07949,GOURMAND,84,PURCHASE_RRF_FILL
53671,Parfums Berdoues,Azur Riviera,2019,unisex,0.00218,0.32473,AQUATIC,85,PURCHASE_RRF_FILL
64022,Banana Republic,Metal Rain,2020,unisex,0.11752,0.25316,GREEN,86,PURCHASE_RRF_FILL
37603,Nishane,Fan Your Flames,2016,unisex,0.57454,0.08259,GOURMAND,87,PURCHASE_RRF_FILL
74740,Banana Republic,Midnight Hour,2022,unisex,0.4243,0.18002,AMBER,88,PURCHASE_RRF_FILL
45029,Banana Republic,90 Pure White,2017,unisex,0.11871,0.29338,GREEN,89,PURCHASE_RRF_FILL
106298,BMW Fragrances,Bergamood,2025,unisex,0.22497,0.36554,GREEN,90,PURCHASE_RRF_FILL
1923,Rance 1795,Le Vainqueur,2005,male,0.04174,0.25673,AQUATIC,91,PURCHASE_RRF_FILL
93865,SW19,Midnight,,unisex,0.67731,0.78086,MUSK,92,PURCHASE_RRF_FILL
95034,Youssoful,Saint Moritz,2021,unisex,0.61624,0.44711,FRUITY,93,PURCHASE_RRF_FILL
82586,Clean,Apple Blossom,2023,unisex,0.71767,0.50293,FRUITY,94,PURCHASE_RRF_FILL
116396,Montale,Be My Plum,2025,unisex,0.93278,0.5763,FLORAL,95,PURCHASE_RRF_FILL
74107,Mancera,Jasmin Exclusif,2022,unisex,0.14411,0.007,WOODY,96,PURCHASE_RRF_FILL
1929,Rance 1795,Josephine,2005,female,0.88036,0.6437,FLORAL,97,PURCHASE_RRF_FILL
90739,Montale,Bubble Forever,2024,unisex,0.40993,0.53459,CITRUS,98,PURCHASE_RRF_FILL
44174,Nishane,Hacivat,2017,unisex,0.2497,0.11893,WOODY,99,PURCHASE_RRF_FILL
35456,John Varvatos,Artisan Blu,2016,male,0.17121,0.21726,GREEN,100,PURCHASE_RRF_FILL
30567,Nishane,Wulóng Chá,2015,unisex,0.29264,0.43084,CITRUS,101,PURCHASE_RRF_FILL
8339,John Varvatos,Artisan Black,2010,male,0.31038,0.39414,CITRUS,102,PURCHASE_RRF_FILL
54976,Rance 1795,Désirée,2019,female,0.30756,0.53432,FLORAL,103,PURCHASE_RRF_FILL
104985,Dolce&Gabbana,Light Blue Eau de Toilette,2025,female,0.43771,0.42202,CITRUS,104,PURCHASE_RRF_FILL
87956,Rance 1795,Mathilde,2023,female,0.99857,0.63828,FLORAL,105,PURCHASE_RRF_FILL
95642,Issey Miyake,Le Sel d’Issey,2024,male,0.0,0.29508,AQUATIC,106,PURCHASE_RRF_FILL
50790,Essential Parfums,The Musc,2018,unisex,0.64528,0.76364,MUSK,107,PURCHASE_RRF_FILL
50786,Essential Parfums,Orange X Santal,2018,unisex,0.27491,0.13821,WOODY,108,PURCHASE_RRF_FILL
121230,Elizabeth Arden,Green Tea Strawberry Basil,2025,female,0.41909,0.20122,GREEN,109,PURCHASE_RRF_FILL
3024,Clean,Clean Warm Cotton,2007,female,0.04305,0.35088,CITRUS,110,PURCHASE_RRF_FILL
73092,Essential Parfums,Fig Infusion,2022,unisex,0.41771,0.28485,WOODY,111,PURCHASE_RRF_FILL
106299,BMW Fragrances,Amberness,2025,unisex,0.3217,0.02885,AMBER,112,PURCHASE_RRF_FILL
31436,Parfums Berdoues,Assam of India,2015,unisex,0.21071,0.3318,GREEN,113,PURCHASE_RRF_FILL
890,Ralph Lauren,Polo,1978,male,0.1613,0.09127,WOODY,114,PURCHASE_RRF_FILL
72796,Mancera,Intense Cedrat Boise,2021,male,0.22905,0.08199,WOODY,115,PURCHASE_RRF_FILL
98468,Adidas,Spark Up,2024,unisex,0.2658,0.40143,CITRUS,116,PURCHASE_RRF_FILL
59392,Banana Republic,Dark Cherry & Amber,2019,unisex,0.81135,0.3976,GOURMAND,117,PURCHASE_RRF_FILL
60320,Replay,Signature Lovers for Woman,2020,female,0.8421,0.46061,FLORAL,118,PURCHASE_RRF_FILL
54885,Mancera,Instant Crush,2019,unisex,0.43496,0.0044,AMBER,119,PURCHASE_RRF_FILL
122211,Narciso Rodriguez,Pure Musc Blanc For Her,2026,female,0.77056,0.82744,MUSK,120,PURCHASE_RRF_FILL
10728,Rance 1795,Helene,2010,female,0.87634,0.49507,FLORAL,121,PURCHASE_RRF_FILL
76893,Mancera,Tonka Cola,2022,unisex,0.48295,0.04049,AMBER,122,PURCHASE_RRF_FILL
94718,Kenneth Cole,Mankind Rise,2022,male,0.25123,0.14516,WOODY,123,PURCHASE_RRF_FILL
115749,BMW Fragrances,BMW M 2025,2025,unisex,0.3148,0.0358,AMBER,124,PURCHASE_RRF_FILL
109565,Sennok,Soap Clean Soap,,unisex,0.77159,0.83048,MUSK,125,PURCHASE_RRF_FILL
75731,Mancera,Fabulous Yuzu,2022,unisex,0.25541,0.38049,CITRUS,126,PURCHASE_RRF_FILL
4849,Philosophy,Amazing Grace,1996,female,0.8256,0.70498,FLORAL,127,PURCHASE_RRF_FILL
42782,Mancera,Coco Vanille,2016,female,0.7113,0.20912,GOURMAND,128,PURCHASE_RRF_FILL
16657,Versace,Eros,2012,male,0.41349,0.12265,GREEN,129,PURCHASE_RRF_FILL
122669,Coach,Coach Cherry,2026,female,0.86094,0.43256,GOURMAND,130,PURCHASE_RRF_FILL
76824,Sabrina Carpenter,Sweet Tooth,2022,female,0.69045,0.17714,GOURMAND,131,PURCHASE_RRF_FILL
42670,Mancera,Sicily,2016,unisex,0.49038,0.42533,CITRUS,132,PURCHASE_RRF_FILL
18042,Mancera,Roses Greedy,2012,unisex,0.8234,0.57428,FLORAL,133,PURCHASE_RRF_FILL
99134,Luafee,"Oh, Love",2024,female,0.29765,0.52651,AMBER,134,PURCHASE_RRF_FILL
74636,Mancera,French Riviera,2022,unisex,0.03634,0.33707,AQUATIC,135,PURCHASE_RRF_FILL
1198,Ralph Lauren,Polo Blue,2003,male,0.04162,0.25902,AQUATIC,136,PURCHASE_RRF_FILL
4023,Montblanc,Starwalker,2005,male,0.27309,0.0847,WOODY,137,PURCHASE_RRF_FILL
43531,Etat Libre d'Orange,You Or Someone Like You,2017,unisex,0.16209,0.25877,GREEN,138,PURCHASE_RRF_FILL
129391,Calvin Klein,CK One Night Essence,2026,unisex,0.10359,0.02592,MUSK,139,PURCHASE_RRF_FILL
123059,RboW,Tokyo Fig,2025,female,0.6304,0.43403,FLORAL,140,PURCHASE_RRF_FILL
69742,Lanvin,Sunny Magnolia,2021,female,0.681,0.48987,FLORAL,141,PURCHASE_RRF_FILL
50789,Essential Parfums,Nice Bergamote,2018,unisex,0.29631,0.55064,FLORAL,142,PURCHASE_RRF_FILL
6420,Rance 1795,Rue Rance Eau De La Couronne,2009,female,0.76923,0.55496,FLORAL,143,PURCHASE_RRF_FILL
3172,Rance 1795,Francois Charles,2007,male,0.26692,0.05008,AMBER,144,PURCHASE_RRF_FILL
64015,Jimmy Choo,I Want Choo,2020,female,0.90334,0.48857,FLORAL,145,PURCHASE_RRF_FILL
1924,Rance 1795,Eugenie,2006,female,0.80537,0.57932,FLORAL,146,PURCHASE_RRF_FILL
16931,Lalique,L'Amour,2013,female,0.94556,0.62246,FLORAL,147,PURCHASE_RRF_FILL
115747,BMW Fragrances,BMW M  1985,2025,unisex,0.29602,0.1461,WOODY,148,PURCHASE_RRF_FILL
115746,BMW Fragrances,BMW M 1972,2025,unisex,0.23059,0.27202,GREEN,149,PURCHASE_RRF_FILL
95035,Youssoful,Berry Sexy,2021,unisex,0.70778,0.23054,GOURMAND,150,PURCHASE_RRF_FILL
50225,Banana Republic,Neroli Woods,2018,unisex,0.28713,0.54189,FLORAL,151,PURCHASE_RRF_FILL
37602,Nishane,Hundred Silent Ways,2016,unisex,0.92183,0.50768,FLORAL,152,PURCHASE_RRF_FILL
75969,Jimmy Choo,I Want Choo Forever,2022,female,0.69647,0.19421,GOURMAND,153,PURCHASE_RRF_FILL
64093,Nishane,Nanshe,2020,unisex,0.6695,0.80413,MUSK,154,PURCHASE_RRF_FILL
109564,Sennok,Slow September,2023,unisex,0.15552,0.02094,WOODY,155,PURCHASE_RRF_FILL
95156,Jimmy Choo,I Want Choo Le Parfum,2024,female,0.75152,0.39281,GOURMAND,156,PURCHASE_RRF_FILL
31247,Narciso Rodriguez,Narciso Rodriguez for Him Bleu Noir,2015,male,0.16868,0.06809,WOODY,157,PURCHASE_RRF_FILL
1000,Burberry,Weekend for Women,1997,female,0.83978,0.58493,FLORAL,158,PURCHASE_RRF_FILL
103276,Essential Parfums,Velvet Iris,2025,unisex,0.08547,0.0,FLORAL,159,PURCHASE_RRF_FILL
111273,Chloé,Chloé Le Parfum,2025,female,0.87786,0.46254,FLORAL,160,PURCHASE_RRF_FILL
57088,Essential Parfums,Divine Vanille,2019,unisex,0.49602,0.03099,AMBER,161,PURCHASE_RRF_FILL
50787,Essential Parfums,Rose Magnetic,2018,unisex,0.8435,0.69644,FLORAL,162,PURCHASE_RRF_FILL
72,Kenzo,Flower by Kenzo,2000,female,0.80608,0.60502,FLORAL,163,PURCHASE_RRF_FILL
50788,Essential Parfums,Mon Vetiver,2018,unisex,0.17442,0.16904,GREEN,164,PURCHASE_RRF_FILL
68367,Ariana Grande,Thank U Next 2.0,2021,female,0.68194,0.40707,FRUITY,165,PURCHASE_RRF_FILL
815,Burberry,Touch for Men,2000,male,0.04638,0.24615,AQUATIC,166,PURCHASE_RRF_FILL
85144,Essential Parfums,Patchouli Mania,2023,unisex,0.17485,0.02392,WOODY,167,PURCHASE_RRF_FILL
90834,Essential Parfums,Néroli Botanica,2024,unisex,0.32205,0.57304,FLORAL,168,PURCHASE_RRF_FILL
57384,Montale,Arabians Tonka,2019,unisex,0.5453,0.05748,GOURMAND,169,PURCHASE_RRF_FILL
46623,John Varvatos,Artisan Pure,2017,male,0.26608,0.38721,CITRUS,170,PURCHASE_RRF_FILL
108587,Yugen,Inspire,2023,unisex,0.71649,0.47992,AQUATIC,171,PURCHASE_RRF_FILL
84224,Ex Nihilo,Blue Talisman,2023,unisex,0.48674,0.41524,CITRUS,172,PURCHASE_RRF_FILL
39761,Lush,29 High Street,2013,unisex,0.69415,0.24171,GOURMAND,173,PURCHASE_RRF_FILL
70985,Maison Martin Margiela,When the Rain Stops,2021,female,0.00375,0.27452,AQUATIC,174,PURCHASE_RRF_FILL
52180,Versace,Eros Flame,2018,male,0.41279,0.06311,CITRUS,175,PURCHASE_RRF_FILL
72381,Stéphane Humbert Lucas 777,God of Fire,2022,unisex,0.59397,0.3991,FRUITY,176,PURCHASE_RRF_FILL
485,Dolce&Gabbana,Light Blue,2001,female,0.38684,0.40982,CITRUS,177,PURCHASE_RRF_FILL
116224,Nishane,Meant To Be Seen,2025,unisex,0.67705,0.83056,FLORAL,178,PURCHASE_RRF_FILL
45711,Philosophy,Amazing Grace Ballet Rose,2017,female,0.88188,0.74203,FLORAL,179,PURCHASE_RRF_FILL
103564,Maison Martin Margiela,Never-ending Summer,2025,unisex,0.24517,0.22659,WOODY,180,PURCHASE_RRF_FILL
63829,Banana Republic,Peony & Peppercorn,2019,unisex,0.88236,0.76072,FLORAL,181,PURCHASE_RRF_FILL
69281,Bentley,Momentum Unbreakable Eau de Parfum,2021,male,0.15165,0.14569,WOODY,182,PURCHASE_RRF_FILL
89712,Jaguar,Jaguar Era Reloaded,2024,male,0.45118,0.04163,GOURMAND,183,PURCHASE_RRF_FILL
54785,Nishane,Ani,2019,unisex,0.42915,0.01895,AMBER,184,PURCHASE_RRF_FILL
47891,Maison Martin Margiela,Sailing Day,2017,unisex,0.00822,0.31597,AQUATIC,185,PURCHASE_RRF_FILL
48434,Chloé,Nomade,2018,female,0.40583,0.31515,WOODY,186,PURCHASE_RRF_FILL
64092,Nishane,EGE / ΑΙΓΑΙΟ,2020,unisex,0.14362,0.2443,GREEN,187,PURCHASE_RRF_FILL
62372,Chloé,Chloé Rose Tangerine,2020,female,0.81933,0.68615,FLORAL,188,PURCHASE_RRF_FILL
74739,Banana Republic,Velvet Pomegranate,2022,unisex,0.9177,0.50625,FLORAL,189,PURCHASE_RRF_FILL
120743,Maison Martin Margiela,Up At Dawn,2025,unisex,0.70736,0.82931,WOODY,190,PURCHASE_RRF_FILL
32523,Mercedes-Benz,Mercedes Benz Man,2015,male,0.22955,0.1107,WOODY,191,PURCHASE_RRF_FILL
49827,Replay,Replay Signature Secret,2018,female,0.87737,0.61003,FLORAL,192,PURCHASE_RRF_FILL
124051,Postes,From.Saint-Tropez,,unisex,0.65654,0.7328,MUSK,193,PURCHASE_RRF_FILL
46300,Mancera,Musky Garden,2017,female,0.68964,0.41965,MUSK,194,PURCHASE_RRF_FILL
21547,Versace,Bright Crystal Absolu,2013,female,0.76728,0.54945,FLORAL,195,PURCHASE_RRF_FILL
104123,Clean,Strawberry Fields,2025,unisex,0.66741,0.45357,MUSK,196,PURCHASE_RRF_FILL
132011,Huxley,Port Breathe,,unisex,0.24503,0.47544,CITRUS,197,PURCHASE_RRF_FILL
114281,Tenui,Bare,,unisex,0.07371,0.06772,MUSK,198,PURCHASE_RRF_FILL
114188,Kuoca,Wild Peach,2025,unisex,0.40234,0.2906,CITRUS,199,PURCHASE_RRF_FILL
98469,Adidas,Happy Feels,2024,unisex,0.32946,0.56034,FLORAL,200,PURCHASE_RRF_FILL
