brand,korea_brand,perfume_count,best_korea_rank,main_family,perfume_names
Mancera,,11,84,구르망,Aoud Lemon Mint · Jasmin Exclusif · Intense Cedrat Boise · Instant Crush · Tonka Cola · Fabulous Yuzu · Coco Vanille · Sicily · Roses Greedy · French Riviera · Musky Garden
Essential Parfums,,10,107,플로럴,The Musc · Orange X Santal · Fig Infusion · Nice Bergamote · Velvet Iris · Divine Vanille · Rose Magnetic · Mon Vetiver · Patchouli Mania · Néroli Botanica
Jo Malone London,,9,3,플로럴,Wood Sage & Sea Salt Cologne · Blackberry & Bay · English Oak & Hazelnut · English Pear & Freesia · Wild Bluebell · Red Roses · Lime Basil & Mandarin · Peony & Blush Suede · Earl Grey & Cucumber
Nishane,,8,87,플로럴,Fan Your Flames · Hacivat · Wulóng Chá · Hundred Silent Ways · Nanshe · Meant To Be Seen · Ani · EGE / ΑΙΓΑΙΟ
Rance 1795,,8,91,플로럴,Le Vainqueur · Josephine · Désirée · Mathilde · Helene · Rue Rance Eau De La Couronne · Francois Charles · Eugenie
Chanel,,7,21,플로럴,Chance Eau Fraiche · Chanel N°5 Eau Premiere · Allure Homme Sport · Coco Mademoiselle · Chance Eau Vive · Chance Eau Tendre Eau de Parfum · Gabrielle Essence
Banana Republic,,7,86,플로럴,Metal Rain · Midnight Hour · 90 Pure White · Dark Cherry & Amber · Neroli Woods · Peony & Peppercorn · Velvet Pomegranate
Lanvin,,6,5,플로럴,Eclat d'Arpege · Modern Princess Eau Sensuelle · Marry Me · Jeanne Lanvin · Rumeur 2 Rose · Sunny Magnolia
Byredo,,6,10,플로럴,Blanche · La Tulipe · Bal d'Afrique · Mojave Ghost · Gypsy Water · Inflorescence
Versace,,6,49,시트러스,Bright Crystal · Versace Man Eau Fraiche · Eros Energy · Eros · Eros Flame · Bright Crystal Absolu
Diptyque,,5,1,머스크·파우더리,Orphéon Eau de Parfum · Eau Rose · Philosykos Eau de Toilette · Fleur de Peau · Philosykos Eau de Parfum
Maison Martin Margiela,,5,9,아쿠아틱,Lazy Sunday Morning · When the Rain Stops · Never-ending Summer · Sailing Day · Up At Dawn
Dior,,5,11,플로럴,Miss Dior Eau de Parfum (2021) · Miss Dior Blooming Bouquet (2023) · J'adore Parfum d'Eau · Dior Homme Cologne 2022 · Sauvage
Ariana Grande,,5,22,구르망,"Thank U, Next · Sweet Like Candy · Ari · Cloud · Thank U Next 2.0"
Clean,,5,48,머스크·파우더리,Pure Soap · Cool Cotton · Apple Blossom · Clean Warm Cotton · Strawberry Fields
BMW Fragrances,,5,90,그린·아로마틱,Bergamood · Amberness · BMW M 2025 · BMW M  1985 · BMW M 1972
