fragrantica_id,brand,name,note,note_type,rank
65738,Diptyque,Orphéon Eau de Parfum,Juniper Berries,top,1
65738,Diptyque,Orphéon Eau de Parfum,Jasmine,middle,2
65738,Diptyque,Orphéon Eau de Parfum,Powdery Notes,base,3
65738,Diptyque,Orphéon Eau de Parfum,Cedar,base,4
65738,Diptyque,Orphéon Eau de Parfum,Tonka Bean,base,5
83,Elizabeth Arden,Green Tea,Lemon,top,1
83,Elizabeth Arden,Green Tea,Bergamot,top,2
83,Elizabeth Arden,Green Tea,Mint,top,3
83,Elizabeth Arden,Green Tea,Orange Peel,top,4
83,Elizabeth Arden,Green Tea,Rhubarb,top,5
83,Elizabeth Arden,Green Tea,Jasmine,middle+base,6
83,Elizabeth Arden,Green Tea,Musk,middle+base,7
83,Elizabeth Arden,Green Tea,Oakmoss,middle+base,8
83,Elizabeth Arden,Green Tea,Fennel,middle,9
83,Elizabeth Arden,Green Tea,Carnation,middle,10
83,Elizabeth Arden,Green Tea,White Amber,middle,11
83,Elizabeth Arden,Green Tea,Green Tea,base,12
83,Elizabeth Arden,Green Tea,Celery Seeds,base,13
83,Elizabeth Arden,Green Tea,Caraway,base,14
83,Elizabeth Arden,Green Tea,Cloves,base,15
83,Elizabeth Arden,Green Tea,Amber,base,16
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,Ambrette (Musk Mallow),top,1
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,Sea Salt,middle,2
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,Mineral notes,middle,3
74041,Jo Malone London,Wood Sage & Sea Salt Cologne,Sage,base,4
132132,Daniel's Truth,Signature Bombshelluth,Passionfruit,top,1
132132,Daniel's Truth,Signature Bombshelluth,Citrus,top,2
132132,Daniel's Truth,Signature Bombshelluth,Blueberry,middle,3
132132,Daniel's Truth,Signature Bombshelluth,Orchid,middle,4
132132,Daniel's Truth,Signature Bombshelluth,Peony,middle,5
132132,Daniel's Truth,Signature Bombshelluth,Lily of the Valley,middle,6
132132,Daniel's Truth,Signature Bombshelluth,White Musk,base,7
132132,Daniel's Truth,Signature Bombshelluth,Amber,base,8
132132,Daniel's Truth,Signature Bombshelluth,Woodsy Notes,base,9
9110,Lanvin,Eclat d'Arpege,Green Lilac,top,1
9110,Lanvin,Eclat d'Arpege,Petitgrain,top,2
9110,Lanvin,Eclat d'Arpege,Green Tea,middle,3
9110,Lanvin,Eclat d'Arpege,Peach Blossom,middle,4
9110,Lanvin,Eclat d'Arpege,Red Peony,middle,5
9110,Lanvin,Eclat d'Arpege,Wisteria,middle,6
9110,Lanvin,Eclat d'Arpege,Chinese Osmanthus,middle,7
9110,Lanvin,Eclat d'Arpege,Musk,base,8
9110,Lanvin,Eclat d'Arpege,Cedar,base,9
9110,Lanvin,Eclat d'Arpege,Amber,base,10
10131,Le Labo,Another 13,Pear,top,1
10131,Le Labo,Another 13,Apple,top,2
10131,Le Labo,Another 13,Citruses,top,3
10131,Le Labo,Another 13,Ambrette (Musk Mallow),middle,4
10131,Le Labo,Another 13,Amyl Salicylate,middle,5
10131,Le Labo,Another 13,Moss,middle,6
10131,Le Labo,Another 13,Jasmine,middle,7
10131,Le Labo,Another 13,Iso E Super,base,8
10131,Le Labo,Another 13,Cetalox,base,9
10131,Le Labo,Another 13,Helvetolide,base,10
10131,Le Labo,Another 13,Ambrettolide,base,11
14214,Diptyque,Eau Rose,Litchi,top,1
14214,Diptyque,Eau Rose,Black Currant,top,2
14214,Diptyque,Eau Rose,Bergamot,top,3
14214,Diptyque,Eau Rose,Rose,middle,4
14214,Diptyque,Eau Rose,Geranium,middle,5
14214,Diptyque,Eau Rose,Jasmine,middle,6
14214,Diptyque,Eau Rose,Musk,base,7
14214,Diptyque,Eau Rose,White Honey,base,8
14214,Diptyque,Eau Rose,Virginia Cedar,base,9
32134,Aesop,Tacit,Yuzu,top,1
32134,Aesop,Tacit,Citruses,top,2
32134,Aesop,Tacit,Basil,middle,3
32134,Aesop,Tacit,Vetiver,base,4
32134,Aesop,Tacit,Cloves,base,5
20542,Maison Martin Margiela,Lazy Sunday Morning,Aldehydes,top,1
20542,Maison Martin Margiela,Lazy Sunday Morning,Lily-of-the-Valley,top,2
20542,Maison Martin Margiela,Lazy Sunday Morning,Pear,top,3
20542,Maison Martin Margiela,Lazy Sunday Morning,Rose,middle,4
20542,Maison Martin Margiela,Lazy Sunday Morning,Iris,middle,5
20542,Maison Martin Margiela,Lazy Sunday Morning,Orange Blossom,middle,6
20542,Maison Martin Margiela,Lazy Sunday Morning,White Musk,base,7
20542,Maison Martin Margiela,Lazy Sunday Morning,Ambrette (Musk Mallow),base,8
20542,Maison Martin Margiela,Lazy Sunday Morning,Indonesian Patchouli Leaf,base,9
6686,Byredo,Blanche,Aldehydes,top,1
6686,Byredo,Blanche,Rose,top,2
6686,Byredo,Blanche,Pink Pepper,top,3
6686,Byredo,Blanche,Peony,middle,4
6686,Byredo,Blanche,Violet,middle,5
6686,Byredo,Blanche,African Orange Flower,middle,6
6686,Byredo,Blanche,Musk,base,7
6686,Byredo,Blanche,Woodsy Notes,base,8
6686,Byredo,Blanche,Sandalwood,base,9
68905,Dior,Miss Dior Eau de Parfum (2021),Iris,top,1
68905,Dior,Miss Dior Eau de Parfum (2021),Peony,top,2
68905,Dior,Miss Dior Eau de Parfum (2021),Lily-of-the-Valley,top,3
68905,Dior,Miss Dior Eau de Parfum (2021),Rose,middle,4
