note_a,note_b,ppmi,cooccur,df_a,df_b
Red Lantern,Tanghulu,13.397,1,1,1
Chhaang,Me bsangs,12.951,1,1,1
Me bsangs,Western redcedar,12.951,1,1,1
Bitter melon,Duck Poo Oolong (Ya Shi Xiang),12.951,1,1,1
Pizza,Tomato Sauce,12.951,1,1,1
Chhaang,Western redcedar,12.951,1,1,1
Kiwi Jam,Orange Marmalade,12.951,1,1,1
Grisalva,Obsidial ®,12.768,1,2,1
Rowanberry,Strawberry Plant,12.614,1,2,1
Kenya Rosewood,Paraguayan Green Sandalwood,12.586,1,1,1
Barrenwort,Selaginella tamariscina,12.586,1,1,1
Gyokuro Tea,Jin Xuan tea leaves,12.586,1,1,1
Cedar,Sandalwood,0.095,7584,22305,34292
Oud,Agarwood (Oud),0.0,6,3780,5939
Bergamot,Lemon,0.343,6963,36337,14685
Jasmine,Tuberose,0.52,3091,33686,6058
Vanilla,Tonka Bean,0.4,6537,35628,14188
