fragrantica_id,x_rot,y_rot
65738,-0.338312,0.138725
83,-0.418894,-0.128986
74041,-0.310060,-0.312156
132132,0.360555,0.113714
9110,0.408417,-0.069443
10131,0.163292,-0.015384
14214,0.498505,-0.018939
32134,-0.376733,-0.079330
20542,0.135396,-0.093864
6686,0.135409,-0.099380
68905,0.318502,0.049698
78945,0.449811,-0.051639
72040,0.130301,0.294106
75979,0.232166,-0.160658
6188,0.189751,-0.124265
8441,0.403829,-0.087210
15134,-0.164605,0.002006
6458,-0.360850,0.185010
68919,-0.286039,0.214607
276,-0.369831,-0.146882
1483,-0.219398,-0.056688
56741,0.301065,0.330467
1360,0.147704,-0.137506
131717,0.123906,-0.057251
607,-0.277919,-0.244434
39970,0.270813,0.283931
31661,0.318815,0.261231
611,-0.115658,-0.111363
30796,-0.180988,-0.132037
184,0.346230,-0.056907
12192,-0.133083,-0.214083
48478,0.232351,0.024703
18,-0.360272,-0.144011
56077,0.098093,-0.210252
46187,-0.297045,0.160661
68578,0.300121,0.118955
27040,0.224520,-0.003074
52359,0.360590,-0.004060
29165,0.328466,0.218322
12201,-0.216957,0.186153
9405,0.324900,-0.093363
64167,-0.373830,0.159252
131985,0.271511,-0.174980
10314,0.419146,0.095182
653,0.266027,0.153568
3779,0.361461,0.193397
536,0.338543,-0.175409
68416,0.108457,-0.139591
632,0.414673,-0.041187
44894,0.187601,-0.226267
3575,-0.314967,0.043940
12310,0.111467,0.040659
38914,0.312125,0.200294
73661,0.413739,0.121713
50384,0.280079,0.341641
17798,0.307947,-0.172155
56076,0.155099,-0.233096
5484,0.503688,-0.023342
5585,-0.339260,-0.115716
109563,-0.411907,0.066615
42944,-0.084337,-0.213612
75642,0.305199,-0.186572
11784,-0.167768,-0.007557
25836,0.418181,-0.019734
275,-0.474167,-0.032252
108962,-0.286738,-0.017308
23032,-0.470724,-0.104624
10464,-0.043878,0.190067
18767,0.457040,-0.061864
72062,-0.134405,-0.188991
72606,0.291094,-0.108062
31861,-0.365089,0.008240
79437,-0.445004,-0.091408
52002,-0.362380,0.004559
12426,0.100082,0.042096
2271,-0.179074,-0.185223
3865,0.117602,0.301601
5534,-0.189105,-0.220911
644,-0.289186,-0.097032
2186,0.065503,0.227307
92647,-0.229615,-0.180825
65792,-0.428810,0.012818
96192,0.259961,-0.033403
39181,-0.300319,-0.162328
53671,-0.290586,-0.306429
64022,-0.495952,-0.026843
37603,0.268132,0.344710
74740,0.180544,0.180993
45029,-0.496083,-0.043145
106298,-0.274433,-0.134313
1923,-0.477359,0.023758
93865,0.082493,0.011042
95034,0.348790,0.124011
82586,0.395078,0.108805
116396,0.182445,-0.227853
74107,-0.161990,0.160324
1929,0.396375,-0.125933
90739,-0.009471,-0.193756
44174,-0.140125,0.036277
35456,-0.376520,0.003706
30567,-0.234031,-0.154542
8339,-0.208906,-0.162500
54976,-0.145865,-0.191363
104985,-0.211163,-0.030629
87956,0.325002,-0.204465
95642,-0.295739,-0.297424
50790,0.098054,-0.010945
50786,-0.312969,0.008952
121230,0.169044,0.287292
3024,-0.264286,-0.266969
73092,-0.123393,0.091019
106299,-0.391701,0.011143
31436,-0.397465,-0.155166
890,-0.378139,0.130524
72796,-0.189366,0.136923
98468,-0.253384,-0.190624
59392,0.356577,0.080594
60320,0.293465,0.171916
54885,-0.050541,0.186936
122211,0.123106,-0.119958
10728,0.048907,0.091286
76893,0.038388,0.205324
94718,-0.229676,0.107860
115749,-0.399838,0.035479
109565,0.118372,-0.101511
75731,-0.274951,-0.176615
4849,0.327607,-0.071520
42782,0.280934,0.359252
16657,-0.384917,-0.083592
122669,0.280603,0.075284
76824,0.260273,0.338140
42670,-0.119292,-0.023662
18042,0.336449,0.014370
99134,-0.111659,-0.156301
74636,-0.280905,-0.284454
1198,-0.496513,0.004444
4023,-0.266982,0.049222
43531,-0.439837,-0.084464
129391,-0.225948,0.205333
123059,0.258980,0.145131
69742,0.349705,0.036922
50789,-0.094166,-0.127327
6420,0.402843,0.069819
3172,-0.343282,0.053954
64015,0.120862,-0.203659
1924,0.311784,-0.122736
16931,0.184422,-0.215917
115747,-0.254143,0.123880
115746,-0.321585,-0.102660
95035,0.240623,0.288201
50225,0.011445,-0.244823
37602,0.169745,-0.221117
75969,0.165354,0.232409
64093,0.055295,0.062460
109564,-0.312911,0.185343
95156,0.284333,0.178174
31247,-0.321284,0.186811
1000,0.391178,0.022391
103276,-0.220522,0.217674
111273,0.285761,0.064387
57088,0.029676,0.210465
50787,0.504421,-0.015379
72,0.296750,0.010411
50788,-0.380570,0.085975
68367,0.334298,0.222030
815,-0.486001,0.020091
85144,-0.306216,0.168128
90834,0.021770,-0.243339
57384,0.102304,0.235373
46623,-0.273103,-0.200946
108587,0.430475,0.144339
84224,-0.124333,-0.044001
39761,0.306184,0.260050
70985,-0.474141,0.043970
52180,-0.305718,-0.155022
72381,0.222712,0.185414
485,-0.246652,-0.058615
116224,-0.204571,0.224675
45711,0.478031,-0.040791
103564,-0.342439,-0.046804
63829,0.437956,-0.062254
69281,-0.404838,0.082010
89712,-0.086400,0.123769
54785,-0.059467,0.177200
47891,-0.298820,-0.296637
48434,-0.124605,0.036285
64092,-0.426925,-0.075727
62372,0.510654,-0.006981
74739,0.158704,-0.229842
120743,0.216218,-0.050446
32523,-0.234570,0.110061
49827,0.282750,-0.046560
124051,0.119545,-0.002671
46300,0.372106,0.192795
21547,0.418488,0.050944
104123,0.359681,0.156373
132011,-0.169189,-0.207237
114281,-0.342792,0.124186
114188,-0.114381,0.037763
98469,-0.014604,-0.226937
