axis,case,fragrantica_id,brand,name,axis_value,target,target_value
y,축은 상위인데 투표는 하위,72040,Diptyque,Philosykos Eau de Toilette,0.2941,warmth,-0.6364
y,축은 상위인데 투표는 하위,29165,Jimmy Choo,Jimmy Choo Blossom,0.2183,warmth,-0.6676
y,축은 상위인데 투표는 하위,653,Salvatore Ferragamo,Incanto Charms,0.1536,warmth,-0.7702
y,축은 상위인데 투표는 하위,3779,Lanvin,Jeanne Lanvin,0.1934,warmth,-0.6328
y,축은 상위인데 투표는 하위,121230,Elizabeth Arden,Green Tea Strawberry Basil,0.2873,warmth,-0.7183
y,축은 상위인데 투표는 하위,72381,Stéphane Humbert Lucas 777,God of Fire,0.1854,warmth,-0.6263
y,축은 상위인데 투표는 하위,104123,Clean,Strawberry Fields,0.1564,warmth,-0.7982
x,축은 상위인데 투표는 하위,9110,Lanvin,Eclat d'Arpege,0.4084,masculine,-0.8125
x,축은 상위인데 투표는 하위,68905,Dior,Miss Dior Eau de Parfum (2021),0.3185,masculine,-0.9339
x,축은 상위인데 투표는 하위,78945,Dior,Miss Dior Blooming Bouquet (2023),0.4498,masculine,-0.9438
x,축은 상위인데 투표는 하위,56741,Ariana Grande,"Thank U, Next",0.3011,masculine,-0.8917
x,축은 상위인데 투표는 하위,31661,Ariana Grande,Ari,0.3188,masculine,-0.9395
x,축은 상위인데 투표는 하위,184,Lancôme,Miracle,0.3462,masculine,-0.9332
x,축은 상위인데 투표는 하위,68578,Gucci,Flora Gorgeous Gardenia,0.3001,masculine,-0.9076
x,축은 상위인데 투표는 하위,52359,Chanel,Chance Eau Tendre Eau de Parfum,0.3606,masculine,-0.9243
x,축은 상위인데 투표는 하위,29165,Jimmy Choo,Jimmy Choo Blossom,0.3285,masculine,-0.9655
x,축은 상위인데 투표는 하위,9405,Lanvin,Marry Me,0.3249,masculine,-0.9569
x,축은 상위인데 투표는 하위,3779,Lanvin,Jeanne Lanvin,0.3615,masculine,-0.9413
x,축은 상위인데 투표는 하위,536,Estée Lauder,Pleasures,0.3385,masculine,-0.9026
x,축은 상위인데 투표는 하위,632,Versace,Bright Crystal,0.4147,masculine,-0.9301
x,축은 상위인데 투표는 하위,38914,Yves Saint Laurent,Mon Paris,0.3121,masculine,-0.9313
x,축은 상위인데 투표는 하위,75642,Dior,J'adore Parfum d'Eau,0.3052,masculine,-0.9042
x,축은 상위인데 투표는 하위,25836,Burberry,My Burberry,0.4182,masculine,-0.8593
x,축은 상위인데 투표는 하위,18767,Jo Malone London,Peony & Blush Suede,0.457,masculine,-0.8271
x,축은 상위인데 투표는 하위,72606,Yves Saint Laurent,Mon Paris Lumière,0.2911,masculine,-0.8831
x,축은 상위인데 투표는 하위,1929,Rance 1795,Josephine,0.3964,masculine,-0.87
x,축은 상위인데 투표는 하위,60320,Replay,Signature Lovers for Woman,0.2935,masculine,-0.9559
x,축은 상위인데 투표는 하위,4849,Philosophy,Amazing Grace,0.3276,masculine,-0.8356
x,축은 상위인데 투표는 하위,69742,Lanvin,Sunny Magnolia,0.3497,masculine,-0.8742
x,축은 상위인데 투표는 하위,1924,Rance 1795,Eugenie,0.3118,masculine,-0.8864
x,축은 상위인데 투표는 하위,95156,Jimmy Choo,I Want Choo Le Parfum,0.2843,masculine,-0.8555
x,축은 상위인데 투표는 하위,1000,Burberry,Weekend for Women,0.3912,masculine,-0.8504
x,축은 상위인데 투표는 하위,72,Kenzo,Flower by Kenzo,0.2967,masculine,-0.8661
x,축은 상위인데 투표는 하위,68367,Ariana Grande,Thank U Next 2.0,0.3343,masculine,-0.8612
x,축은 상위인데 투표는 하위,45711,Philosophy,Amazing Grace Ballet Rose,0.478,masculine,-0.9292
x,축은 상위인데 투표는 하위,62372,Chloé,Chloé Rose Tangerine,0.5107,masculine,-0.901
x,축은 상위인데 투표는 하위,21547,Versace,Bright Crystal Absolu,0.4185,masculine,-0.9383
