axis,end,fragrantica_id,brand,name,axis_value,warmth,masculine
y,high,42782,Mancera,Coco Vanille,0.3593,-0.1991,
y,high,37603,Nishane,Fan Your Flames,0.3447,0.4791,
y,high,50384,Ariana Grande,Cloud,0.3416,0.1037,
y,high,76824,Sabrina Carpenter,Sweet Tooth,0.3381,0.179,
y,high,56741,Ariana Grande,"Thank U, Next",0.3305,-0.3954,
y,high,3865,Diptyque,Philosykos Eau de Parfum,0.3016,-0.5956,
y,high,72040,Diptyque,Philosykos Eau de Toilette,0.2941,-0.6364,
y,high,95035,Youssoful,Berry Sexy,0.2882,-0.5122,
y,high,121230,Elizabeth Arden,Green Tea Strawberry Basil,0.2873,-0.7183,
y,high,39970,Ariana Grande,Sweet Like Candy,0.2839,-0.2678,
y,low,56076,Chanel,Gabrielle Essence,-0.2331,-0.1085,
y,low,90834,Essential Parfums,Néroli Botanica,-0.2433,-0.5822,
y,low,607,Chanel,Allure Homme Sport,-0.2444,-0.5112,
y,low,50225,Banana Republic,Neroli Woods,-0.2448,-0.6841,
y,low,3024,Clean,Clean Warm Cotton,-0.267,-0.3781,
y,low,74636,Mancera,French Riviera,-0.2845,-0.8119,
y,low,47891,Maison Martin Margiela,Sailing Day,-0.2966,-0.86,
y,low,95642,Issey Miyake,Le Sel d’Issey,-0.2974,-0.5652,
y,low,53671,Parfums Berdoues,Azur Riviera,-0.3064,-0.744,
y,low,74041,Jo Malone London,Wood Sage & Sea Salt Cologne,-0.3122,-0.4935,
x,high,62372,Chloé,Chloé Rose Tangerine,0.5107,,-0.901
x,high,50787,Essential Parfums,Rose Magnetic,0.5044,,-0.6602
x,high,5484,Jo Malone London,Red Roses,0.5037,,-0.7727
x,high,14214,Diptyque,Eau Rose,0.4985,,-0.7552
x,high,45711,Philosophy,Amazing Grace Ballet Rose,0.478,,-0.9292
x,high,18767,Jo Malone London,Peony & Blush Suede,0.457,,-0.8271
x,high,78945,Dior,Miss Dior Blooming Bouquet (2023),0.4498,,-0.9438
x,high,63829,Banana Republic,Peony & Peppercorn,0.438,,-0.7477
x,high,108587,Yugen,Inspire,0.4305,,
x,high,10314,Jo Malone London,English Pear & Freesia,0.4191,,-0.6925
x,low,43531,Etat Libre d'Orange,You Or Someone Like You,-0.4398,,-0.0598
x,low,79437,Jo Malone London,Earl Grey & Cucumber,-0.445,,-0.1552
x,low,23032,Clean,Cool Cotton,-0.4707,,-0.1117
x,low,70985,Maison Martin Margiela,When the Rain Stops,-0.4741,,0.0338
x,low,275,Calvin Klein,CK be,-0.4742,,0.2686
x,low,1923,Rance 1795,Le Vainqueur,-0.4774,,0.5909
x,low,815,Burberry,Touch for Men,-0.486,,0.5746
x,low,64022,Banana Republic,Metal Rain,-0.496,,0.3701
x,low,45029,Banana Republic,90 Pure White,-0.4961,,-0.0062
x,low,1198,Ralph Lauren,Polo Blue,-0.4965,,0.8089
